,Conta,Descrição,31/12/2013,31/12/2012,31/12/2011,01/01/2013 a 31/12/2013,01/01/2012 a 31/12/2012,01/01/2011 a 31/12/2011
0,1,Ativo Total,15.882,41.004,52.058,,,
1,1.01,Ativo Circulante,10.162,31.294,41.903,,,
2,1.01.01,Caixa e Equivalentes de Caixa,8.762,30.35,41.486999999999995,,,
3,1.01.01.01,Caixa e Bancos,74.0,23.0,2.0,,,
4,1.01.01.02,Títulos e Valores Mobiliários,8.687999999999999,30.326999999999998,41.485,,,
5,1.01.02,Aplicações Financeiras,,,,,,
6,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
7,1.01.02.01.01,Títulos para Negociação,,,,,,
8,1.01.02.01.02,Títulos Disponíveis para Venda,,,,,,
9,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
10,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,,,
11,1.01.03,Contas a Receber,,,,,,
12,1.01.03.01,Clientes,,,,,,
13,1.01.03.02,Outras Contas a Receber,,,,,,
14,1.01.03.02.01,Empréstimos a receber,,,,,,
15,1.01.04,Estoques,,,,,,
16,1.01.05,Ativos Biológicos,,,,,,
17,1.01.06,Tributos a Recuperar,1.298,859.0,351.0,,,
18,1.01.06.01,Tributos Correntes a Recuperar,1.298,859.0,351.0,,,
19,1.01.07,Despesas Antecipadas,66.0,51.0,64.0,,,
20,1.01.08,Outros Ativos Circulantes,36.0,34.0,1.0,,,
21,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
22,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
23,1.01.08.03,Outros,,,,,,
24,1.02,Ativo Não Circulante,5.72,9.71,10.155,,,
25,1.02.01,Ativo Realizável a Longo Prazo,5.507000000000001,7.301,5.114,,,
26,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
27,1.02.01.01.01,Títulos para Negociação,,,,,,
28,1.02.01.01.02,Títulos Disponíveis para Venda,,,,,,
29,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
30,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,,,
31,1.02.01.03,Contas a Receber,,,,,,
32,1.02.01.03.01,Clientes,,,,,,
33,1.02.01.03.02,Outras Contas a Receber,,,,,,
34,1.02.01.04,Estoques,,,,,,
35,1.02.01.05,Ativos Biológicos,,,,,,
36,1.02.01.06,Tributos Diferidos,,,,,,
37,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,,,,,,
38,1.02.01.07,Despesas Antecipadas,144.0,143.0,142.0,,,
39,1.02.01.07.01,Depósito caução aluguel,144.0,143.0,142.0,,,
40,1.02.01.08,Créditos com Partes Relacionadas,268.0,2.124,0.0,,,
41,1.02.01.08.01,Créditos com Coligadas,268.0,0.0,0.0,,,
42,1.02.01.08.02,Créditos com Controladas,,,,,,
43,1.02.01.08.03,Créditos com Controladores,,,,,,
44,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,,,
45,1.02.01.09,Outros Ativos Não Circulantes,5.095,5.034,4.9719999999999995,,,
46,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,,,
47,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,,,
48,1.02.01.09.03,Outras contas a receber,3.967,3.967,3.967,,,
49,1.02.01.09.04,Depósitos judiciais,1.128,1.067,1.005,,,
50,1.02.02,Investimentos,0.0,2.065,4.564,,,
51,1.02.02.01,Participações Societárias,,,,,,
52,1.02.02.01.01,Participações em Coligadas,,,,,,
53,1.02.02.01.02,Participações em Controladas,,,,,,
54,1.02.02.01.03,Participações em Controladas em Conjunto,,,,,,
55,1.02.02.01.04,Outras Participações Societárias,,,,,,
56,1.02.02.02,Propriedades para Investimento,,,,,,
57,1.02.03,Imobilizado,213.0,344.0,477.0,,,
58,1.02.03.01,Imobilizado em Operação,213.0,344.0,477.0,,,
59,1.02.03.02,Imobilizado Arrendado,,,,,,
60,1.02.03.03,Imobilizado em Andamento,,,,,,
