,Conta,Descrição,31/12/2014,31/12/2013,31/12/2012,01/01/2014 a 31/12/2014,01/01/2013 a 31/12/2013,01/01/2012 a 31/12/2012
0,1,Ativo Total,1.844,15.882,41.004,,,
1,1.01,Ativo Circulante,631.0,10.162,31.294,,,
2,1.01.01,Caixa e Equivalentes de Caixa,68.0,8.762,30.35,,,
3,1.01.01.01,Caixa e Bancos,0.0,74.0,23.0,,,
4,1.01.01.02,Títulos e Valores Mobiliários,0.0,8.687999999999999,30.326999999999998,,,
5,1.01.02,Aplicações Financeiras,,,,,,
6,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
7,1.01.02.01.01,Títulos para Negociação,,,,,,
8,1.01.02.01.02,Títulos Disponíveis para Venda,,,,,,
9,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
10,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,,,
11,1.01.03,Contas a Receber,,,,,,
12,1.01.03.01,Clientes,,,,,,
13,1.01.03.02,Outras Contas a Receber,,,,,,
14,1.01.03.02.01,Empréstimos a receber,,,,,,
15,1.01.04,Estoques,,,,,,
16,1.01.05,Ativos Biológicos,,,,,,
17,1.01.06,Tributos a Recuperar,470.0,1.298,859.0,,,
18,1.01.06.01,Tributos Correntes a Recuperar,470.0,1.298,859.0,,,
19,1.01.07,Despesas Antecipadas,42.0,66.0,51.0,,,
20,1.01.08,Outros Ativos Circulantes,51.0,36.0,34.0,,,
21,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
22,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
23,1.01.08.03,Outros,51.0,0.0,0.0,,,
24,1.02,Ativo Não Circulante,1.213,5.72,9.71,,,
25,1.02.01,Ativo Realizável a Longo Prazo,1.197,5.507000000000001,7.301,,,
26,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
27,1.02.01.01.01,Títulos para Negociação,,,,,,
28,1.02.01.01.02,Títulos Disponíveis para Venda,,,,,,
29,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
30,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,,,
31,1.02.01.03,Contas a Receber,,,,,,
32,1.02.01.03.01,Clientes,,,,,,
33,1.02.01.03.02,Outras Contas a Receber,,,,,,
34,1.02.01.04,Estoques,,,,,,
35,1.02.01.05,Ativos Biológicos,,,,,,
36,1.02.01.06,Tributos Diferidos,,,,,,
37,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,,,,,,
38,1.02.01.07,Despesas Antecipadas,1.0,144.0,143.0,,,
39,1.02.01.07.01,Depósito caução aluguel,1.0,144.0,143.0,,,
