,Conta,Descrição,31/12/2019,31/12/2018,31/12/2017,01/01/2019 a 31/12/2019,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017
0,1,Ativo Total,7.457.627,6.354.508,5.523.290,,,
1,1.01,Ativo Circulante,1.449.582,1.393.190,1.415.112,,,
2,1.01.01,Caixa e Equivalentes de Caixa,10.080,103.591,44.294,,,
3,1.01.02,Aplicações Financeiras,1.117.550,848.268,1.067.545,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,201.116,149.991,670.946,,,
5,1.01.02.01.01,Títulos para Negociação,,,,,,
6,1.01.02.01.02,Títulos Designados a Valor Justo,,,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,916.434,698.277,396.599,,,
8,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
9,1.01.03,Contas a Receber,252.430,378.042,255.270,,,
10,1.01.03.01,Clientes,252.430,378.042,255.270,,,
11,1.01.03.01.01,Contas a Receber de Clientes,252.430,378.042,255.270,,,
12,1.01.03.02,Outras Contas a Receber,,,,,,
13,1.01.03.02.01,Contas a Receber de Partes Relacionadas,,,,,,
14,1.01.04,Estoques,,,,,,
15,1.01.05,Ativos Biológicos,,,,,,
16,1.01.06,Tributos a Recuperar,14.607,13.822,30.078,,,
17,1.01.06.01,Tributos Correntes a Recuperar,14.607,13.822,30.078,,,
18,1.01.06.01.01,Tributos e Contribuições Sociais Compensáveis,14.607,13.822,30.078,,,
19,1.01.07,Despesas Antecipadas,,,,,,
20,1.01.08,Outros Ativos Circulantes,54.915,49.467,17.925,,,
21,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
22,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
23,1.01.08.03,Outros,54.915,49.467,17.925,,,
24,1.01.08.03.02,Instrumentos Financeiros Derivativos,,,,,,
25,1.01.08.03.03,Cauções e Depósitos Vinculados,39.388,35.410,678,,,
26,1.01.08.03.04,Outros Ativos,15.527,14.057,17.247,,,
27,1.02,Ativo Não Circulante,6.008.045,4.961.318,4.108.178,,,
28,1.02.01,Ativo Realizável a Longo Prazo,187.175,208.321,292.629,,,
29,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,,,,,,
30,1.02.01.01.01,Títulos Designados a Valor Justo,,,,,,
31,1.02.01.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,,,,,,
32,1.02.01.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
33,1.02.01.04,Contas a Receber,13.075,13.075,13.075,,,
34,1.02.01.04.01,Clientes,13.075,13.075,13.075,,,
35,1.02.01.04.02,Outras Contas a Receber,,,,,,
36,1.02.01.05,Estoques,,,,,,
37,1.02.01.06,Ativos Biológicos,,,,,,
38,1.02.01.07,Tributos Diferidos,,,,,,
39,1.02.01.07.01,Imposto de Renda e Contribuição Social Diferidos,,,,,,
40,1.02.01.07.04,Créditos Fiscais de Ágios Incorporados,,,,,,
41,1.02.01.08,Despesas Antecipadas,,,,,,
42,1.02.01.09,Créditos com Partes Relacionadas,,,,,,
43,1.02.01.09.01,Créditos com Coligadas,,,,,,
44,1.02.01.09.02,Créditos com Controladas,,,,,,
45,1.02.01.09.03,Créditos com Controladores,,,,,,
46,1.02.01.09.04,Créditos com Outras Partes Relacionadas,,,,,,
47,1.02.01.10,Outros Ativos Não Circulantes,174.100,195.246,279.554,,,
48,1.02.01.10.01,Ativos Não-Correntes a Venda,,,,,,
49,1.02.01.10.02,Ativos de Operações Descontinuadas,,,,,,
50,1.02.01.10.04,Cauções e Depósitos Vinculados,51.441,69.641,138.003,,,
51,1.02.01.10.06,Tributos e Contribuições Sociais Compensáveis,,,,,,
52,1.02.01.10.07,Contas a Receber de Partes Relacionadas,,,,,,
53,1.02.01.10.08,Créditos Fiscais de Ágios Incorporados,107.483,123.576,140.922,,,
54,1.02.01.10.09,Outros Ativos,15.176,2.029,629,,,
55,1.02.02,Investimentos,2.971.023,1.797.605,745.222,,,
56,1.02.02.01,Participações Societárias,2.971.023,1.797.605,745.222,,,
57,1.02.02.01.01,Participações em Coligadas,,,,,,
58,1.02.02.01.02,Participações em Controladas,2.971.023,1.797.605,745.222,,,
59,1.02.02.01.03,Participações em Controladas em Conjunto,,,,,,
60,1.02.02.01.04,Outros Investimentos,,,,,,
61,1.02.02.02,Propriedades para Investimento,,,,,,
62,1.02.03,Imobilizado,2.808.342,2.912.681,3.028.051,,,
63,1.02.03.01,Imobilizado em Operação,2.726.591,2.877.990,2.940.028,,,
64,1.02.03.01.01,Imobilizado em Serviço,2.724.492,2.875.891,2.942.710,,,
65,1.02.03.01.02,Obrigações Especiais,0,0,-4.781,,,
66,1.02.03.01.03,Imóveis Destinados a Uso Futuro,2.099,2.099,2.099,,,
67,1.02.03.02,Direito de Uso em Arrendamento,6.238,752,749,,,
68,1.02.03.03,Imobilizado em Andamento,75.513,33.939,87.274,,,
69,1.02.04,Intangível,41.505,42.711,42.276,,,
70,1.02.04.01,Intangíveis,41.505,42.711,42.276,,,
71,1.02.04.01.01,Contrato de Concessão,,,,,,
72,1.02.04.01.02,Uso do Bem Público,26.902,29.592,32.283,,,
73,1.02.04.01.03,Outros Intangíveis,14.603,13.119,9.993,,,
0,2,Passivo Total,7.457.627,6.354.508,5.523.290,,,
1,2.01,Passivo Circulante,1.765.299,1.257.114,1.858.688,,,
2,2.01.01,Obrigações Sociais e Trabalhistas,,,,,,
3,2.01.01.01,Obrigações Sociais,,,,,,
4,2.01.01.02,Obrigações Trabalhistas,,,,,,
5,2.01.02,Fornecedores,1.190.419,1.047.239,801.407,,,
6,2.01.02.01,Fornecedores Nacionais,1.190.419,1.047.239,801.407,,,
7,2.01.02.02,Fornecedores Estrangeiros,,,,,,
8,2.01.03,Obrigações Fiscais,20.775,47.429,37.533,,,
9,2.01.03.01,Obrigações Fiscais Federais,19.645,47.066,34.349,,,
10,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,,,,,,
11,2.01.03.01.02,Outros Tributos a Pagar,,,,,,
12,2.01.03.02,Obrigações Fiscais Estaduais,965,232,2.365,,,
13,2.01.03.03,Obrigações Fiscais Municipais,165,131,819,,,
14,2.01.04,Empréstimos e Financiamentos,425.420,57.701,954.970,,,
15,2.01.04.01,Empréstimos e Financiamentos,425.420,57.701,954.970,,,
16,2.01.04.01.01,Em Moeda Nacional,425.420,57.701,954.970,,,
17,2.01.04.01.02,Em Moeda Estrangeira,,,,,,
18,2.01.04.02,Debêntures,,,,,,
19,2.01.04.03,Financiamento por Arrendamento,,,,,,
20,2.01.05,Outras Obrigações,125.091,100.812,61.711,,,
21,2.01.05.01,Passivos com Partes Relacionadas,,,,,,
22,2.01.05.01.01,Débitos com Coligadas,,,,,,
23,2.01.05.01.02,Débitos com Controladas,,,,,,
24,2.01.05.01.03,Débitos com Controladores,,,,,,
25,2.01.05.01.04,Débitos com Outras Partes Relacionadas,,,,,,
26,2.01.05.02,Outros,125.091,100.812,61.711,,,
27,2.01.05.02.01,Dividendos e JCP a Pagar,38.867,41.585,11.646,,,
28,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,,,,,,
29,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,,,,,,
30,2.01.05.02.04,Passivo de Arrendamento,714,0,0,,,
31,2.01.05.02.07,Encargos Setoriais,18.299,11.921,20.283,,,
32,2.01.05.02.08,Outras Obrigações,67.211,47.306,29.782,,,
33,2.01.06,Provisões,3.594,3.933,3.067,,,
34,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,3.594,3.933,3.067,,,
35,2.01.06.01.01,Provisões Fiscais,,,,,,
36,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,,,,,,
37,2.01.06.01.03,Provisões para Benefícios a Empregados,,,,,,
38,2.01.06.01.04,Provisões Cíveis,,,,,,
39,2.01.06.01.05,Provisões para Processos Judiciais e Outros,3.594,3.933,3.067,,,
40,2.01.06.02,Outras Provisões,,,,,,
41,2.01.06.02.01,Provisões para Garantias,,,,,,
42,2.01.06.02.02,Provisões para Reestruturação,,,,,,
43,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,,,,,,
44,2.01.06.02.04,Provisões para Passivos Ambientais,,,,,,
45,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,,,
46,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,,,,,,
47,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,,,,,,
48,2.02,Passivo Não Circulante,4.241.158,3.573.920,2.106.912,,,
