,Conta,Descrição,31/12/2015,31/12/2014,01/01/2015 a 31/12/2015,01/01/2014 a 31/12/2014
0,1,Ativo Total,89.374,83.91,,
1,1.01,Ativo Circulante,74.00399999999999,61.521,,
2,1.01.01,Caixa e Equivalentes de Caixa,42.263999999999996,29.284000000000002,,
3,1.01.02,Aplicações Financeiras,,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,
5,1.01.02.01.01,Títulos para Negociação,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
8,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,
9,1.01.03,Contas a Receber,4.186,4.553999999999999,,
10,1.01.03.01,Clientes,4.186,4.553999999999999,,
11,1.01.03.02,Outras Contas a Receber,,,,
12,1.01.04,Estoques,0.0,214.0,,
13,1.01.05,Ativos Biológicos,,,,
14,1.01.06,Tributos a Recuperar,126.0,349.0,,
15,1.01.06.01,Tributos Correntes a Recuperar,126.0,349.0,,
16,1.01.07,Despesas Antecipadas,88.0,165.0,,
17,1.01.08,Outros Ativos Circulantes,27.34,26.955,,
18,1.01.08.01,Ativos Não-Correntes a Venda,,,,
19,1.01.08.02,Ativos de Operações Descontinuadas,,,,
20,1.01.08.03,Outros,27.34,26.955,,
21,1.01.08.03.01,Serviços em curso,,,,
22,1.01.08.03.02,Concessão do serviço público (ativo financeiro),27.34,26.955,,
23,1.01.08.03.03,Adiantamento a fornecedores,,,,
24,1.02,Ativo Não Circulante,15.37,22.389,,
25,1.02.01,Ativo Realizável a Longo Prazo,15.37,22.389,,
26,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,237.0,720.0,,
27,1.02.01.01.01,Títulos para Negociação,,,,
28,1.02.01.01.02,Títulos Disponíveis para Venda,,,,
29,1.02.01.01.03,Títulos e Valores Mobiliários,237.0,720.0,,
30,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
31,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,
32,1.02.01.03,Contas a Receber,,,,
33,1.02.01.03.01,Clientes,,,,
34,1.02.01.03.02,Outras Contas a Receber,,,,
35,1.02.01.04,Estoques,,,,
36,1.02.01.05,Ativos Biológicos,,,,
37,1.02.01.06,Tributos Diferidos,,,,
38,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,,,,
39,1.02.01.07,Despesas Antecipadas,,,,
40,1.02.01.08,Créditos com Partes Relacionadas,,,,
41,1.02.01.08.01,Créditos com Coligadas,,,,
42,1.02.01.08.02,Créditos com Controladas,,,,
43,1.02.01.08.03,Créditos com Controladores,,,,
44,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,
45,1.02.01.09,Outros Ativos Não Circulantes,15.133,21.669,,
46,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,
47,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,
48,1.02.01.09.03,Depósitos judiciais,120.0,96.0,,
49,1.02.01.09.04,Concessão do serviço público (ativo financeiro),14.63,21.444000000000003,,
50,1.02.01.09.05,Outros investimentos,101.0,101.0,,
