,Conta,Descrição,31/12/2016,31/12/2015,31/12/2014,01/01/2016 a 31/12/2016,01/01/2015 a 31/12/2015,01/01/2014 a 31/12/2014
0,1,Ativo Total,87.616,89.374,83.91,,,
1,1.01,Ativo Circulante,68.881,74.00399999999999,61.521,,,
2,1.01.01,Caixa e Equivalentes de Caixa,35.306999999999995,42.263999999999996,29.284000000000002,,,
3,1.01.02,Aplicações Financeiras,467.0,0.0,0.0,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,467.0,0.0,0.0,,,
5,1.01.02.01.01,Títulos para Negociação,,,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,,,
7,1.01.02.01.03,Títulos e valores mobiliários,467.0,0.0,0.0,,,
8,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
9,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,,,
10,1.01.03,Contas a Receber,4.47,4.186,4.553999999999999,,,
11,1.01.03.01,Clientes,4.47,4.186,4.553999999999999,,,
12,1.01.03.02,Outras Contas a Receber,,,,,,
13,1.01.04,Estoques,0.0,0.0,214.0,,,
14,1.01.05,Ativos Biológicos,,,,,,
15,1.01.06,Tributos a Recuperar,80.0,126.0,349.0,,,
16,1.01.06.01,Tributos Correntes a Recuperar,80.0,126.0,349.0,,,
17,1.01.07,Despesas Antecipadas,4.0,88.0,165.0,,,
18,1.01.08,Outros Ativos Circulantes,28.553,27.34,26.955,,,
19,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
20,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
21,1.01.08.03,Outros,28.553,27.34,26.955,,,
22,1.01.08.03.01,Serviços em curso,,,,,,
23,1.01.08.03.02,Concessão do serviço público (ativo financeiro),28.553,27.34,26.955,,,
24,1.01.08.03.03,Adiantamento a fornecedores,,,,,,
25,1.02,Ativo Não Circulante,18.735,15.37,22.389,,,
26,1.02.01,Ativo Realizável a Longo Prazo,18.735,15.37,22.389,,,
27,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,5.224,237.0,720.0,,,
28,1.02.01.01.01,Títulos para Negociação,,,,,,
29,1.02.01.01.02,Títulos Disponíveis para Venda,,,,,,
30,1.02.01.01.03,Títulos e Valores Mobiliários,5.224,237.0,720.0,,,
31,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
32,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,,,
33,1.02.01.03,Contas a Receber,,,,,,
34,1.02.01.03.01,Clientes,,,,,,
35,1.02.01.03.02,Outras Contas a Receber,,,,,,
36,1.02.01.04,Estoques,,,,,,
37,1.02.01.05,Ativos Biológicos,,,,,,
38,1.02.01.06,Tributos Diferidos,,,,,,
39,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,,,,,,
40,1.02.01.07,Despesas Antecipadas,,,,,,
41,1.02.01.08,Créditos com Partes Relacionadas,,,,,,
42,1.02.01.08.01,Créditos com Coligadas,,,,,,
43,1.02.01.08.02,Créditos com Controladas,,,,,,
44,1.02.01.08.03,Créditos com Controladores,,,,,,
45,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,,,
46,1.02.01.09,Outros Ativos Não Circulantes,13.511,15.133,21.669,,,
47,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,,,
48,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,,,
49,1.02.01.09.03,Depósitos judiciais,173.0,120.0,96.0,,,
50,1.02.01.09.04,Concessão do serviço público (ativo financeiro),13.049000000000001,14.63,21.444000000000003,,,
51,1.02.01.09.05,Outros ativos não circulantes,0.0,101.0,101.0,,,
52,1.02.01.09.06,Impostos e contribuições a recuperar,289.0,282.0,28.0,,,
53,1.02.02,Investimentos,,,,,,
54,1.02.02.01,Participações Societárias,,,,,,
55,1.02.02.01.01,Participações em Coligadas,,,,,,
56,1.02.02.01.02,Participações em Controladas,,,,,,
57,1.02.02.01.03,Participações em Controladas em Conjunto,,,,,,
58,1.02.02.01.04,Outras Participações Societárias,,,,,,
59,1.02.02.02,Propriedades para Investimento,,,,,,
60,1.02.03,Imobilizado,,,,,,
61,1.02.03.01,Imobilizado em Operação,,,,,,
62,1.02.03.02,Imobilizado Arrendado,,,,,,
63,1.02.03.03,Imobilizado em Andamento,,,,,,
