,Conta,Descrição,31/12/2018,31/12/2017,31/12/2016,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016
0,1,Ativo Total,17.882,21.658,17.94,,,
1,1.01,Ativo Circulante,17.882,21.658,17.94,,,
2,1.01.01,Caixa e Equivalentes de Caixa,13.806,18.261,14.718,,,
3,1.01.01.01,Depósitos Bancários,402.0,92.0,51.0,,,
4,1.01.01.02,Aplicações Financeiras,13.404000000000002,18.169,14.667,,,
5,1.01.02,Aplicações Financeiras,,,,,,
6,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,,,,,,
7,1.01.02.01.01,Títulos para Negociação,,,,,,
8,1.01.02.01.02,Títulos Designados a Valor Justo,,,,,,
9,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,,,,,,
10,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
11,1.01.03,Contas a Receber,,,,,,
12,1.01.03.01,Clientes,,,,,,
13,1.01.03.02,Outras Contas a Receber,,,,,,
14,1.01.04,Estoques,,,,,,
15,1.01.05,Ativos Biológicos,,,,,,
16,1.01.06,Tributos a Recuperar,4.0760000000000005,3.397,3.222,,,
17,1.01.06.01,Tributos Correntes a Recuperar,4.0760000000000005,3.397,3.222,,,
18,1.01.07,Despesas Antecipadas,,,,,,
19,1.01.08,Outros Ativos Circulantes,,,,,,
20,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
21,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
22,1.01.08.03,Outros,,,,,,
23,1.02,Ativo Não Circulante,,,,,,
24,1.02.01,Ativo Realizável a Longo Prazo,,,,,,
25,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,,,,,,
26,1.02.01.01.01,Títulos Designados a Valor Justo,,,,,,
27,1.02.01.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,,,,,,
28,1.02.01.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
29,1.02.01.04,Contas a Receber,,,,,,
30,1.02.01.04.01,Clientes,,,,,,
31,1.02.01.04.02,Outras Contas a Receber,,,,,,
32,1.02.01.05,Estoques,,,,,,
33,1.02.01.06,Ativos Biológicos,,,,,,
34,1.02.01.07,Tributos Diferidos,,,,,,
35,1.02.01.07.01,Imposto de Renda e Contribuição Social Diferidos,,,,,,
36,1.02.01.08,Despesas Antecipadas,,,,,,
37,1.02.01.09,Créditos com Partes Relacionadas,,,,,,
38,1.02.01.09.01,Créditos com Coligadas,,,,,,
39,1.02.01.09.02,Créditos com Controladas,,,,,,
40,1.02.01.09.03,Créditos com Controladores,,,,,,
41,1.02.01.09.04,Créditos com Outras Partes Relacionadas,,,,,,
42,1.02.01.10,Outros Ativos Não Circulantes,,,,,,
43,1.02.01.10.01,Ativos Não-Correntes a Venda,,,,,,
44,1.02.01.10.02,Ativos de Operações Descontinuadas,,,,,,
45,1.02.02,Investimentos,,,,,,
46,1.02.02.01,Participações Societárias,,,,,,
47,1.02.02.01.01,Participações em Coligadas,,,,,,
48,1.02.02.01.02,Participações em Controladas,,,,,,
49,1.02.02.01.03,Participações em Controladas em Conjunto,,,,,,
50,1.02.02.01.04,Outros Investimentos,,,,,,
51,1.02.02.02,Propriedades para Investimento,,,,,,
52,1.02.03,Imobilizado,,,,,,
53,1.02.03.01,Imobilizado em Operação,,,,,,
54,1.02.03.02,Direito de Uso em Andamento,,,,,,
55,1.02.03.03,Imobilizado em Andamento,,,,,,
56,1.02.04,Intangível,,,,,,
57,1.02.04.01,Intangíveis,,,,,,
58,1.02.04.01.01,Contrato de Concessão,,,,,,
0,2,Passivo Total,17.882,21.658,17.940,,,
1,2.01,Passivo Circulante,199,10,155,,,
2,2.01.01,Obrigações Sociais e Trabalhistas,,,,,,
3,2.01.01.01,Obrigações Sociais,,,,,,
4,2.01.01.02,Obrigações Trabalhistas,,,,,,
5,2.01.02,Fornecedores,,,,,,
6,2.01.02.01,Fornecedores Nacionais,,,,,,
7,2.01.02.02,Fornecedores Estrangeiros,,,,,,
8,2.01.03,Obrigações Fiscais,199,10,155,,,
9,2.01.03.01,Obrigações Fiscais Federais,199,10,155,,,
10,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,,,,,,
11,2.01.03.01.02,Impostos e Contribuição Retidos a Recolher,199,10,155,,,
12,2.01.03.02,Obrigações Fiscais Estaduais,,,,,,
13,2.01.03.03,Obrigações Fiscais Municipais,,,,,,
14,2.01.04,Empréstimos e Financiamentos,,,,,,
15,2.01.04.01,Empréstimos e Financiamentos,,,,,,
