,Conta,Descrição,31/12/2010,31/12/2009,31/12/2008,01/01/2010 a 31/12/2010,01/12/2009 a 31/12/2009,01/12/2008 a 31/12/2008
0,1,Ativo Total,609.964,575.289,536.746,,,
1,1.01,Ativo Circulante,6.131,9.459,12.585999999999999,,,
2,1.01.01,Caixa e Equivalentes de Caixa,11.0,20.0,34.0,,,
3,1.01.02,Aplicações Financeiras,6.12,9.439,12.552,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,6.12,9.439,12.552,,,
5,1.01.02.01.01,Títulos para Negociação,,,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,6.12,9.439,12.552,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
8,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,,,
9,1.01.03,Contas a Receber,,,,,,
10,1.01.03.01,Clientes,,,,,,
11,1.01.03.02,Outras Contas a Receber,,,,,,
12,1.01.04,Estoques,,,,,,
13,1.01.05,Ativos Biológicos,,,,,,
14,1.01.06,Tributos a Recuperar,,,,,,
15,1.01.06.01,Tributos Correntes a Recuperar,,,,,,
16,1.01.07,Despesas Antecipadas,,,,,,
17,1.01.08,Outros Ativos Circulantes,,,,,,
18,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
19,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
20,1.01.08.03,Outros,,,,,,
21,1.02,Ativo Não Circulante,603.8330000000001,565.83,524.16,,,
22,1.02.01,Ativo Realizável a Longo Prazo,3.199,2.92,4.115,,,
23,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
24,1.02.01.01.01,Títulos para Negociação,,,,,,
25,1.02.01.01.02,Títulos Disponíveis para Venda,,,,,,
26,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
27,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,,,
28,1.02.01.03,Contas a Receber,,,,,,
29,1.02.01.03.01,Clientes,,,,,,
30,1.02.01.03.02,Outras Contas a Receber,,,,,,
31,1.02.01.04,Estoques,,,,,,
32,1.02.01.05,Ativos Biológicos,,,,,,
33,1.02.01.06,Tributos Diferidos,,,,,,
34,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,,,,,,
35,1.02.01.07,Despesas Antecipadas,,,,,,
36,1.02.01.08,Créditos com Partes Relacionadas,,,,,,
37,1.02.01.08.01,Créditos com Coligadas,,,,,,
38,1.02.01.08.02,Créditos com Controladas,,,,,,
39,1.02.01.08.03,Créditos com Controladores,,,,,,
40,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,,,
