,Conta,Descrição,31/12/2016,31/12/2015,31/12/2014,01/01/2016 a 31/12/2016,01/01/2015 a 31/12/2015,01/01/2014 a 31/12/2014
0,1,Ativo Total,2.549.881,2.239.037,1.904.444,,,
1,1.01,Ativo Circulante,301.492,265.274,206.297,,,
2,1.01.01,Caixa e Equivalentes de Caixa,95.544,82.369,29.198,,,
3,1.01.02,Aplicações Financeiras,0,0,12.954,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
5,1.01.02.01.01,Títulos para Negociação,,,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
8,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,,,
9,1.01.03,Contas a Receber,139.019,124.244,121.001,,,
10,1.01.03.01,Clientes,139.019,124.244,121.001,,,
11,1.01.03.01.01,Contas a Receber,139.019,124.244,121.001,,,
12,1.01.03.02,Outras Contas a Receber,,,,,,
13,1.01.04,Estoques,4.117,2.186,832,,,
14,1.01.05,Ativos Biológicos,,,,,,
15,1.01.06,Tributos a Recuperar,12.467,14.076,12.156,,,
16,1.01.06.01,Tributos Correntes a Recuperar,12.467,14.076,12.156,,,
17,1.01.06.01.01,Tributos a recuperar,12.467,13.538,12.156,,,
18,1.01.06.01.02,Imposto de renda e contribuição social a compensar,0,538,0,,,
19,1.01.07,Despesas Antecipadas,1.985,1.274,3.624,,,
20,1.01.08,Outros Ativos Circulantes,48.360,41.125,26.532,,,
21,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
22,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
23,1.01.08.03,Outros,48.360,41.125,26.532,,,
24,1.01.08.03.01,Títulos a receber de partes relacionadas,1.241,647,1.342,,,
25,1.01.08.03.02,Dividendos,42.608,34.653,22.997,,,
26,1.01.08.03.03,Outros créditos,4.511,5.825,2.193,,,
27,1.02,Ativo Não Circulante,2.248.389,1.973.763,1.698.147,,,
28,1.02.01,Ativo Realizável a Longo Prazo,54.505,52.829,36.785,,,
29,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
30,1.02.01.01.01,Títulos para Negociação,,,,,,
31,1.02.01.01.02,Títulos Disponíveis para Venda,,,,,,
32,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
33,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,,,
34,1.02.01.03,Contas a Receber,,,,,,
35,1.02.01.03.01,Clientes,,,,,,
36,1.02.01.03.02,Outras Contas a Receber,,,,,,
37,1.02.01.04,Estoques,,,,,,
38,1.02.01.05,Ativos Biológicos,,,,,,
39,1.02.01.06,Tributos Diferidos,20.994,23.290,10.067,,,
40,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,20.994,23.290,10.067,,,
41,1.02.01.07,Despesas Antecipadas,,,,,,
