,Conta,Descrição,31/12/2017,31/12/2016,31/12/2015,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016,01/01/2015 a 31/12/2015
0,1,Ativo Total,3.197.384,2.871.434,2.835.095,,,
1,1.01,Ativo Circulante,273.562,90.361,170.872,,,
2,1.01.01,Caixa e Equivalentes de Caixa,273.327,90.124,170.687,,,
3,1.01.02,Aplicações Financeiras,,,,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
5,1.01.02.01.01,Títulos para Negociação,,,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
8,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,,,
9,1.01.03,Contas a Receber,,,,,,
10,1.01.03.01,Clientes,,,,,,
11,1.01.03.01.01,Contas a receber Liquidas,,,,,,
12,1.01.03.02,Outras Contas a Receber,,,,,,
13,1.01.04,Estoques,,,,,,
14,1.01.05,Ativos Biológicos,,,,,,
15,1.01.06,Tributos a Recuperar,227,220,166,,,
16,1.01.06.01,Tributos Correntes a Recuperar,227,220,166,,,
17,1.01.06.01.01,Impostos a Recuperar,227,220,166,,,
18,1.01.07,Despesas Antecipadas,8,17,19,,,
19,1.01.08,Outros Ativos Circulantes,,,,,,
20,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
21,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
22,1.01.08.03,Outros,,,,,,
23,1.02,Ativo Não Circulante,2.923.822,2.781.073,2.664.223,,,
24,1.02.01,Ativo Realizável a Longo Prazo,30.851,29.661,22.437,,,
25,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
26,1.02.01.01.01,Títulos para Negociação,,,,,,
27,1.02.01.01.02,Títulos Disponíveis para Venda,,,,,,
28,1.02.01.01.03,Aplicações financeiras vinculadas,,,,,,
29,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
30,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,,,
31,1.02.01.03,Contas a Receber,,,,,,
32,1.02.01.03.01,Clientes,,,,,,
33,1.02.01.03.02,Outras Contas a Receber,,,,,,
34,1.02.01.04,Estoques,,,,,,
35,1.02.01.04.01,Emprestimos aos Condominios,,,,,,
36,1.02.01.05,Ativos Biológicos,,,,,,
37,1.02.01.06,Tributos Diferidos,,,,,,
38,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,,,,,,
39,1.02.01.07,Despesas Antecipadas,,,,,,
40,1.02.01.07.01,Depositos Judiciais,,,,,,
41,1.02.01.07.02,Outros créditos,,,,,,
42,1.02.01.08,Créditos com Partes Relacionadas,,,,,,
43,1.02.01.08.01,Créditos com Coligadas,,,,,,
44,1.02.01.08.02,Créditos com Controladas,,,,,,
45,1.02.01.08.03,Créditos com Controladores,,,,,,
46,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,,,
47,1.02.01.09,Outros Ativos Não Circulantes,30.851,29.661,22.437,,,
48,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,,,
49,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,,,
50,1.02.01.09.03,Depósitos Judiciais,2.597,2.479,2.340,,,
51,1.02.01.09.04,Impostos a Recuperar,28.254,27.182,20.097,,,
52,1.02.02,Investimentos,2.892.971,2.751.412,2.641.786,,,
53,1.02.02.01,Participações Societárias,,,,,,
54,1.02.02.01.01,Participações em Coligadas,,,,,,
55,1.02.02.01.02,Participações em Controladas,,,,,,
56,1.02.02.01.03,Participações em Controladas em Conjunto,,,,,,
57,1.02.02.01.04,Outras Participações Societárias,,,,,,
58,1.02.02.02,Propriedades para Investimento,,,,,,
59,1.02.03,Imobilizado,,,,,,
60,1.02.03.01,Imobilizado em Operação,,,,,,
61,1.02.03.02,Imobilizado Arrendado,,,,,,
62,1.02.03.03,Imobilizado em Andamento,,,,,,
63,1.02.04,Intangível,,,,,,
64,1.02.04.01,Intangíveis,,,,,,
65,1.02.04.01.01,Contrato de Concessão,,,,,,
66,1.02.05,Diferido,,,,,,
0,2,Passivo Total,3.197.384,2.871.434,2.835.095,,,
1,2.01,Passivo Circulante,207.517,100.307,98.138,,,
