,Conta,Descrição,31/12/2015,31/12/2014,31/12/2013,01/01/2015 a 31/12/2015,01/01/2014 a 31/12/2014,01/01/2013 a 31/12/2013
0,1,Ativo Total,3.106.748,3.035.242,2.946.099,,,
1,1.01,Ativo Circulante,1.526.867,1.468.711,1.777.924,,,
2,1.01.01,Caixa e Equivalentes de Caixa,220.465,193.901,90.446,,,
3,1.01.02,Aplicações Financeiras,93.267,144.505,635.467,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,93.267,144.505,635.467,,,
5,1.01.02.01.01,Títulos para Negociação,,,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,93.267,144.505,635.467,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
8,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,,,
9,1.01.03,Contas a Receber,727.949,762.185,705.629,,,
10,1.01.03.01,Clientes,727.949,762.185,705.629,,,
11,1.01.03.02,Outras Contas a Receber,,,,,,
12,1.01.04,Estoques,351.266,304.055,265.234,,,
13,1.01.05,Ativos Biológicos,,,,,,
14,1.01.06,Tributos a Recuperar,51.718,38.780,37.146,,,
15,1.01.06.01,Tributos Correntes a Recuperar,51.718,38.780,37.146,,,
16,1.01.07,Despesas Antecipadas,4.523,4.302,5.037,,,
17,1.01.07.01,Despesas Antecipadas,4.102,3.626,3.849,,,
18,1.01.07.02,Despesas Antecipadas com Propaganda,421,676,1.188,,,
19,1.01.08,Outros Ativos Circulantes,77.679,20.983,38.965,,,
20,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
21,1.01.08.02,Ativos de Operações Descontinuadas,54.667,0,0,,,
22,1.01.08.03,Outros,23.012,20.983,38.965,,,
23,1.01.08.03.01,Adiantamento a Fornecedores,6.549,2.344,3.000,,,
24,1.01.08.03.02,Contas a Receber Funcionários,6.519,5.693,3.906,,,
25,1.01.08.03.03,Dividendos a Receber,0,0,17.953,,,
26,1.01.08.03.04,Ganhos não Realizados em Operações com Derivativos,1.397,6.776,11.860,,,
27,1.01.08.03.05,Outros,8.547,6.170,2.246,,,
28,1.02,Ativo Não Circulante,1.579.881,1.566.531,1.168.175,,,
