,Conta,Descrição,31/12/2019,31/12/2018,01/01/2019 a 31/12/2019,01/01/2018 a 31/12/2018
0,1,Ativo Total,3.667.409,3.322.511,,
1,1.01,Ativo Circulante,2.034.705,1.686.449,,
2,1.01.01,Caixa e Equivalentes de Caixa,440.551,367.006,,
3,1.01.02,Aplicações Financeiras,0,22.156,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,0,22.156,,
5,1.01.02.01.01,Títulos para Negociação,0,22.156,,
6,1.01.02.01.02,Títulos Designados a Valor Justo,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,,,,
8,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
9,1.01.03,Contas a Receber,885.918,797.589,,
10,1.01.03.01,Clientes,885.918,797.589,,
11,1.01.03.02,Outras Contas a Receber,,,,
12,1.01.04,Estoques,507.530,431.634,,
13,1.01.05,Ativos Biológicos,,,,
14,1.01.06,Tributos a Recuperar,26.987,43.118,,
15,1.01.06.01,Tributos Correntes a Recuperar,26.987,43.118,,
16,1.01.07,Despesas Antecipadas,5.551,7.004,,
17,1.01.08,Outros Ativos Circulantes,168.168,17.942,,
18,1.01.08.01,Ativos Não-Correntes a Venda,150.584,0,,
19,1.01.08.02,Ativos de Operações Descontinuadas,,,,
20,1.01.08.03,Outros,17.584,17.942,,
21,1.01.08.03.01,Adiantamento a Fornecedores,7.843,5.389,,
22,1.01.08.03.02,Contas a Receber Funcionários,7.691,8.266,,
23,1.01.08.03.03,Dividendos a Receber,,,,
24,1.01.08.03.04,Ganhos não Realizados em Operações com Derivativos,0,466,,
25,1.01.08.03.05,Outros,2.050,3.821,,
26,1.02,Ativo Não Circulante,1.632.704,1.636.062,,
27,1.02.01,Ativo Realizável a Longo Prazo,393.043,481.735,,
28,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,11.689,0,,
29,1.02.01.01.01,Títulos Designados a Valor Justo,11.689,0,,
30,1.02.01.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,,,,
31,1.02.01.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
32,1.02.01.04,Contas a Receber,2.845,28.829,,
33,1.02.01.04.01,Clientes,2.845,28.829,,
34,1.02.01.04.02,Outras Contas a Receber,,,,
35,1.02.01.05,Estoques,,,,
36,1.02.01.06,Ativos Biológicos,,,,
37,1.02.01.07,Tributos Diferidos,35.749,71.794,,
38,1.02.01.07.01,Imposto de Renda e Contribuição Social Diferidos,35.749,71.794,,
39,1.02.01.08,Despesas Antecipadas,,,,
40,1.02.01.09,Créditos com Partes Relacionadas,25.758,138.954,,
41,1.02.01.09.01,Créditos com Coligadas,,,,
42,1.02.01.09.02,Créditos com Controladas,25.758,138.954,,
