,Conta,Descrição,31/12/2011,31/12/2010,01/01/2011 a 31/12/2011,01/01/2010 a 31/12/2010
0,1,Ativo Total,573.0980000000001,339.155,,
1,1.01,Ativo Circulante,320.98,329.855,,
2,1.01.01,Caixa e Equivalentes de Caixa,63.0,2.0,,
3,1.01.02,Aplicações Financeiras,316.305,323.84,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,316.305,323.84,,
5,1.01.02.01.01,Títulos para Negociação,316.305,323.84,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
8,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,
9,1.01.03,Contas a Receber,1.341,5.916,,
10,1.01.03.01,Clientes,,,,
11,1.01.03.02,Outras Contas a Receber,1.341,5.916,,
12,1.01.04,Estoques,,,,
13,1.01.05,Ativos Biológicos,,,,
14,1.01.06,Tributos a Recuperar,2.887,14.0,,
15,1.01.06.01,Tributos Correntes a Recuperar,2.887,14.0,,
16,1.01.07,Despesas Antecipadas,,,,
17,1.01.08,Outros Ativos Circulantes,384.0,83.0,,
18,1.01.08.01,Ativos Não-Correntes a Venda,,,,
19,1.01.08.02,Ativos de Operações Descontinuadas,,,,
20,1.01.08.03,Outros,,,,
21,1.02,Ativo Não Circulante,252.118,9.3,,
22,1.02.01,Ativo Realizável a Longo Prazo,296.0,55.0,,
23,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,
24,1.02.01.01.01,Títulos para Negociação,,,,
25,1.02.01.01.02,Títulos Disponíveis para Venda,,,,
26,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
27,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,
28,1.02.01.03,Contas a Receber,296.0,0.0,,
29,1.02.01.03.01,Clientes,296.0,0.0,,
30,1.02.01.03.02,Outras Contas a Receber,,,,
31,1.02.01.04,Estoques,,,,
32,1.02.01.05,Ativos Biológicos,,,,
33,1.02.01.06,Tributos Diferidos,,,,
34,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,,,,
35,1.02.01.07,Despesas Antecipadas,,,,
36,1.02.01.08,Créditos com Partes Relacionadas,0.0,55.0,,
37,1.02.01.08.01,Créditos com Coligadas,,,,
38,1.02.01.08.02,Créditos com Controladas,,,,
39,1.02.01.08.03,Créditos com Controladores,,,,
40,1.02.01.08.04,Créditos com Outras Partes Relacionadas,0.0,55.0,,
41,1.02.01.09,Outros Ativos Não Circulantes,,,,
42,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,
43,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,
44,1.02.02,Investimentos,251.25900000000001,9.226,,
45,1.02.02.01,Participações Societárias,251.25900000000001,9.226,,
46,1.02.02.01.01,Participações em Coligadas,,,,
47,1.02.02.01.02,Participações em Controladas,251.25900000000001,0.0,,
48,1.02.02.01.03,Participações em Controladas em Conjunto,,,,
49,1.02.02.01.04,Outras Participações Societárias,,,,
50,1.02.02.02,Propriedades para Investimento,,,,
51,1.02.03,Imobilizado,136.0,19.0,,
52,1.02.03.01,Imobilizado em Operação,136.0,19.0,,
53,1.02.03.02,Imobilizado Arrendado,,,,
54,1.02.03.03,Imobilizado em Andamento,,,,
55,1.02.04,Intangível,427.0,0.0,,
56,1.02.04.01,Intangíveis,427.0,0.0,,
57,1.02.04.01.01,Contrato de Concessão,,,,
58,1.02.05,Diferido,,,,
0,2,Passivo Total,573.0980000000001,339.155,,
1,2.01,Passivo Circulante,50.673,4.3660000000000005,,
2,2.01.01,Obrigações Sociais e Trabalhistas,108.0,0.0,,
3,2.01.01.01,Obrigações Sociais,,,,
