,Conta,Descrição,31/12/2014,31/12/2013,31/12/2012,01/01/2014 a 31/12/2014,01/01/2013 a 31/12/2013,01/01/2012 a 31/12/2012
0,1,Ativo Total,667.008,779.5169999999999,787.85,,,
1,1.01,Ativo Circulante,25.516,81.442,221.25400000000002,,,
2,1.01.01,Caixa e Equivalentes de Caixa,443.0,5.933,32.0,,,
3,1.01.02,Aplicações Financeiras,19.295,70.742,212.678,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,19.295,70.742,212.678,,,
5,1.01.02.01.01,Títulos para Negociação,,,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,,,
7,1.01.02.01.03,Titulos e valores mobiliários,19.295,70.742,212.678,,,
8,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
9,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,,,
10,1.01.03,Contas a Receber,,,,,,
11,1.01.03.01,Clientes,,,,,,
12,1.01.03.02,Outras Contas a Receber,,,,,,
13,1.01.04,Estoques,,,,,,
14,1.01.05,Ativos Biológicos,,,,,,
15,1.01.06,Tributos a Recuperar,5.528,4.738,6.102,,,
16,1.01.06.01,Tributos Correntes a Recuperar,5.528,4.738,6.102,,,
17,1.01.06.01.01,Impostos a recuperar,5.528,4.738,6.102,,,
18,1.01.07,Despesas Antecipadas,,,,,,
19,1.01.08,Outros Ativos Circulantes,250.0,29.0,2.4419999999999997,,,
20,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
21,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
22,1.01.08.03,Outros,250.0,29.0,2.4419999999999997,,,
23,1.01.08.03.01,Outros Ativos,250.0,29.0,2.4419999999999997,,,
24,1.02,Ativo Não Circulante,641.492,698.075,566.596,,,
25,1.02.01,Ativo Realizável a Longo Prazo,22.616,13.495999999999999,15.73,,,
26,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
27,1.02.01.01.01,Títulos para Negociação,,,,,,
28,1.02.01.01.02,Títulos Disponíveis para Venda,,,,,,
29,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
30,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,,,
31,1.02.01.03,Contas a Receber,,,,,,
32,1.02.01.03.01,Clientes,,,,,,
33,1.02.01.03.02,Outras Contas a Receber,,,,,,
34,1.02.01.04,Estoques,,,,,,
35,1.02.01.05,Ativos Biológicos,,,,,,
36,1.02.01.06,Tributos Diferidos,5.659,5.615,7.771,,,
37,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,5.659,5.615,7.771,,,
38,1.02.01.07,Despesas Antecipadas,,,,,,
39,1.02.01.08,Créditos com Partes Relacionadas,16.957,7.881,7.959,,,
40,1.02.01.08.01,Créditos com Coligadas,,,,,,
41,1.02.01.08.02,Créditos com Controladas,,,,,,
42,1.02.01.08.03,Créditos com Controladores,,,,,,
43,1.02.01.08.04,Créditos com Outras Partes Relacionadas,16.957,7.881,7.959,,,
44,1.02.01.09,Outros Ativos Não Circulantes,,,,,,
45,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,,,
46,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,,,
47,1.02.02,Investimentos,611.886,681.304,549.318,,,
48,1.02.02.01,Participações Societárias,,,,,,
49,1.02.02.01.01,Participações em Coligadas,,,,,,
50,1.02.02.01.02,Participações em Controladas,,,,,,
51,1.02.02.01.03,Participações em Controladas em Conjunto,,,,,,
52,1.02.02.01.04,Outras Participações Societárias,,,,,,
53,1.02.02.02,Propriedades para Investimento,611.886,681.304,549.318,,,
54,1.02.02.02.01,Investimentos,611.886,681.304,549.318,,,
55,1.02.03,Imobilizado,4.664,805.0,630.0,,,
56,1.02.03.01,Imobilizado em Operação,4.664,805.0,630.0,,,
57,1.02.03.01.01,Imobilizado,4.664,805.0,630.0,,,
58,1.02.03.02,Imobilizado Arrendado,,,,,,
59,1.02.03.03,Imobilizado em Andamento,,,,,,
60,1.02.04,Intangível,2.326,2.47,918.0,,,
61,1.02.04.01,Intangíveis,2.326,2.47,918.0,,,
62,1.02.04.01.01,Contrato de Concessão,,,,,,
63,1.02.05,Diferido,,,,,,
0,2,Passivo Total,667.008,779.5169999999999,787.85,,,
1,2.01,Passivo Circulante,76.9,88.697,82.36200000000001,,,
2,2.01.01,Obrigações Sociais e Trabalhistas,5.074,423.0,485.0,,,
3,2.01.01.01,Obrigações Sociais,,,,,,
4,2.01.01.02,Obrigações Trabalhistas,5.074,423.0,485.0,,,
5,2.01.02,Fornecedores,252.0,69.0,1.0,,,
6,2.01.02.01,Fornecedores Nacionais,252.0,69.0,1.0,,,
7,2.01.02.01.01,Fornecedores,252.0,69.0,1.0,,,
8,2.01.02.02,Fornecedores Estrangeiros,,,,,,
9,2.01.03,Obrigações Fiscais,580.0,810.0,54.0,,,
10,2.01.03.01,Obrigações Fiscais Federais,580.0,810.0,54.0,,,
11,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,129.0,581.0,0.0,,,
12,2.01.03.01.02,Obrigações Tributarias,451.0,229.0,54.0,,,
13,2.01.03.02,Obrigações Fiscais Estaduais,,,,,,
14,2.01.03.03,Obrigações Fiscais Municipais,,,,,,
15,2.01.04,Empréstimos e Financiamentos,,,,,,
16,2.01.04.01,Empréstimos e Financiamentos,,,,,,
17,2.01.04.01.01,Em Moeda Nacional,,,,,,
18,2.01.04.01.02,Em Moeda Estrangeira,,,,,,
19,2.01.04.02,Debêntures,,,,,,
20,2.01.04.03,Financiamento por Arrendamento Financeiro,,,,,,
21,2.01.05,Outras Obrigações,3.1910000000000003,0.0,26.377,,,
22,2.01.05.01,Passivos com Partes Relacionadas,0.0,0.0,300.0,,,
23,2.01.05.01.01,Débitos com Coligadas,,,,,,
24,2.01.05.01.02,Débitos com Controladas,,,,,,
25,2.01.05.01.03,Débitos com Controladores,,,,,,
26,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0,0.0,300.0,,,
27,2.01.05.02,Outros,3.1910000000000003,0.0,26.076999999999998,,,
28,2.01.05.02.01,Dividendos e JCP a Pagar,,,,,,
29,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,,,,,,
30,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,,,,,,
31,2.01.05.02.04,Dividendos a pagar,3.1910000000000003,0.0,26.076999999999998,,,
32,2.01.06,Provisões,67.803,87.395,55.445,,,
33,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,,,,,,
34,2.01.06.01.01,Provisões Fiscais,,,,,,
35,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,,,,,,
36,2.01.06.01.03,Provisões para Benefícios a Empregados,,,,,,
37,2.01.06.01.04,Provisões Cíveis,,,,,,
38,2.01.06.02,Outras Provisões,67.803,87.395,55.445,,,
39,2.01.06.02.01,Provisões para Garantias,,,,,,
40,2.01.06.02.02,Provisões para Reestruturação,,,,,,
41,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,,,,,,
42,2.01.06.02.04,Contas a pagar por aquisição de controladas,67.803,87.395,55.445,,,
43,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,,,
44,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,,,,,,
45,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,,,,,,
46,2.02,Passivo Não Circulante,121.311,187.63,201.709,,,
47,2.02.01,Empréstimos e Financiamentos,,,,,,
48,2.02.01.01,Empréstimos e Financiamentos,,,,,,
49,2.02.01.01.01,Em Moeda Nacional,,,,,,
50,2.02.01.01.02,Em Moeda Estrangeira,,,,,,
51,2.02.01.02,Debêntures,,,,,,
52,2.02.01.03,Financiamento por Arrendamento Financeiro,,,,,,
53,2.02.02,Outras Obrigações,,,,,,
54,2.02.02.01,Passivos com Partes Relacionadas,,,,,,
55,2.02.02.01.01,Débitos com Coligadas,,,,,,
56,2.02.02.01.02,Débitos com Controladas,,,,,,
57,2.02.02.01.03,Débitos com Controladores,,,,,,
58,2.02.02.01.04,Débitos com Outras Partes Relacionadas,,,,,,
59,2.02.02.02,Outros,,,,,,
60,2.02.02.02.01,Obrigações por Pagamentos Baseados em Ações,,,,,,
61,2.02.02.02.02,Adiantamento para Futuro Aumento de Capital,,,,,,
62,2.02.03,Tributos Diferidos,,,,,,
63,2.02.03.01,Imposto de Renda e Contribuição Social Diferidos,,,,,,
64,2.02.04,Provisões,121.311,187.63,201.709,,,
65,2.02.04.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,,,,,,
66,2.02.04.01.01,Provisões Fiscais,,,,,,
67,2.02.04.01.02,Provisões Previdenciárias e Trabalhistas,,,,,,
68,2.02.04.01.03,Provisões para Benefícios a Empregados,,,,,,
69,2.02.04.01.04,Provisões Cíveis,,,,,,
70,2.02.04.02,Outras Provisões,121.311,187.63,201.709,,,
71,2.02.04.02.01,Provisões para Garantias,,,,,,
72,2.02.04.02.02,Provisões para Reestruturação,,,,,,
73,2.02.04.02.03,Provisões para Passivos Ambientais e de Desativação,,,,,,
74,2.02.04.02.04,Contas a pagar por aquisição de controladas,121.311,187.63,201.709,,,
75,2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,,,
76,2.02.05.01,Passivos sobre Ativos Não-Correntes a Venda,,,,,,
77,2.02.05.02,Passivos sobre Ativos de Operações Descontinuadas,,,,,,
78,2.02.06,Lucros e Receitas a Apropriar,,,,,,
79,2.02.06.01,Lucros a Apropriar,,,,,,
80,2.02.06.02,Receitas a Apropriar,,,,,,
81,2.02.06.03,Subvenções de Investimento a Apropriar,,,,,,
82,2.03,Patrimônio Líquido,468.79699999999997,503.19,503.779,,,
83,2.03.01,Capital Social Realizado,318.384,318.376,318.30400000000003,,,
84,2.03.01.01,Capital social,318.384,318.376,318.30400000000003,,,
85,2.03.02,Reservas de Capital,-7.892,19.799,17.953,,,
86,2.03.02.01,Ágio na Emissão de Ações,,,,,,
87,2.03.02.02,Reserva Especial de Ágio na Incorporação,,,,,,
88,2.03.02.03,Alienação de Bônus de Subscrição,,,,,,
89,2.03.02.04,Opções Outorgadas,,,,,,
90,2.03.02.05,Ações em Tesouraria,-36.827,-8.676,-5.0,,,
91,2.03.02.06,Adiantamento para Futuro Aumento de Capital,,,,,,
92,2.03.02.07,Outros,,,,,,
93,2.03.02.08,Reserva de capital,28.935,28.475,17.958,,,
94,2.03.03,Reservas de Reavaliação,,,,,,
95,2.03.04,Reservas de Lucros,158.305,165.015,167.52200000000002,,,
96,2.03.04.01,Reserva Legal,,,,,,
97,2.03.04.02,Reserva Estatutária,,,,,,
98,2.03.04.03,Reserva para Contingências,,,,,,
99,2.03.04.04,Reserva de Lucros a Realizar,,,,,,
100,2.03.04.05,Reserva de Retenção de Lucros,,,,,,
101,2.03.04.06,Reserva Especial para Dividendos Não Distribuídos,,,,,,
102,2.03.04.07,Reserva de Incentivos Fiscais,,,,,,
103,2.03.04.08,Dividendo Adicional Proposto,,,,,,
104,2.03.04.09,Ações em Tesouraria,,,,,,
105,2.03.04.10,Ajuste de Avaliação Patrimonial,0.0,81.0,0.0,,,
106,2.03.04.11,Ágio na emissão de ações,115.22200000000001,88.03299999999999,57.058,,,
107,2.03.04.12,Reserva de Lucro,43.083,35.102,110.464,,,
108,2.03.04.13,Dividendos adicionais propostos,0.0,41.799,0.0,,,
109,2.03.05,Lucros/Prejuízos Acumulados,,,,,,
110,2.03.06,Ajustes de Avaliação Patrimonial,,,,,,
111,2.03.07,Ajustes Acumulados de Conversão,,,,,,
112,2.03.08,Outros Resultados Abrangentes,,,,,,
0,3.01,Receita de Venda de Bens e/ou Serviços,,,,,,
1,3.02,Custo dos Bens e/ou Serviços Vendidos,,,,,,
2,3.03,Resultado Bruto,,,,,,
3,3.04,Despesas/Receitas Operacionais,,,,-36.275999999999996,70.874,90.695
4,3.04.01,Despesas com Vendas,,,,,,
5,3.04.02,Despesas Gerais e Administrativas,,,,-36.275999999999996,70.874,90.695
6,3.04.02.01,"Remuneração, encargos sociais e beneficios",,,,-18.214000000000002,-7.004,-5.795
7,3.04.02.02,Remuneração baseada em ações,,,,-455.0,-10.488,-7.037999999999999
8,3.04.02.03,Serviços contratados,,,,-14.605,-5.263999999999999,-3.891
9,3.04.02.04,Depreciação e amortização,,,,-1.246,-527.0,-136.0
10,3.04.02.05,Equivalencia patrimonial,,,,26.476,103.319,110.22
11,3.04.02.06,"Outras despesas operacionais, líquida",,,,-22.893,-9.162,-2.665
12,3.04.02.07,Ajustes por perda de valor recuperável de ativos,,,,-5.3389999999999995,0.0,0.0
13,3.04.03,Perdas pela Não Recuperabilidade de Ativos,,,,,,
14,3.04.04,Outras Receitas Operacionais,,,,,,
15,3.04.05,Outras Despesas Operacionais,,,,,,
16,3.04.06,Resultado de Equivalência Patrimonial,,,,,,
17,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,,,,-36.275999999999996,70.874,90.695
18,3.06,Resultado Financeiro,,,,46.878,38.213,22.201999999999998
19,3.06.01,Receitas Financeiras,,,,46.961000000000006,38.556999999999995,22.531999999999996
20,3.06.02,Despesas Financeiras,,,,-83.0,-344.0,-330.0
21,3.07,Resultado Antes dos Tributos sobre o Lucro,,,,10.602,109.087,112.897
22,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,,,,0.0,-7.016,-3.0989999999999998
23,3.08.01,Corrente,,,,0.0,-4.904,-2.19
24,3.08.02,Diferido,,,,0.0,-2.112,-909.0
25,3.09,Resultado Líquido das Operações Continuadas,,,,10.602,102.071,109.79799999999999
26,3.10,Resultado Líquido de Operações Descontinuadas,,,,,,
27,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,,,,,,
28,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,,,,,,
29,3.11,Lucro/Prejuízo do Período,,,,10.602,102.071,109.79799999999999
30,3.99,Lucro por Ação - (Reais / Ação),,,,,,
31,3.99.01,Lucro Básico por Ação,,,,,,
32,3.99.01.01,ON,,,,11000.0,109000.0,120000.0
33,3.99.02,Lucro Diluído por Ação,,,,,,
34,3.99.02.01,ON,,,,10000.0,101000.0,112000.0
