,Conta,Descrição,31/12/2018,31/12/2017,31/12/2016,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016
0,1,Ativo Total,88.820.730,91.568.737,91.212.661,,,
1,1.01,Ativo Circulante,10.646.666,11.272.513,13.131.543,,,
2,1.01.01,Caixa e Equivalentes de Caixa,2.273.875,2.017.034,1.405.387,,,
3,1.01.02,Aplicações Financeiras,1.037.821,631.637,648.951,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,1.037.821,631.637,648.951,,,
5,1.01.02.01.01,Títulos para Negociação,1.037.821,631.637,648.951,,,
6,1.01.02.01.02,Títulos Designados a Valor Justo,,,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,,,,,,
8,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
9,1.01.03,Contas a Receber,2.864.662,3.055.953,2.183.510,,,
10,1.01.03.01,Clientes,1.817.189,1.731.329,1.418.145,,,
11,1.01.03.02,Outras Contas a Receber,1.047.473,1.324.624,765.365,,,
12,1.01.03.02.01,Contas a Receber de Partes Relacionadas,1.047.473,1.324.624,765.365,,,
13,1.01.04,Estoques,2.603.847,2.107.274,2.160.921,,,
14,1.01.04.01,Produtos Acabados,688.750,494.406,508.878,,,
15,1.01.04.02,Produtos em Elaboração,169.964,131.741,131.805,,,
16,1.01.04.03,Matérias Primas,1.535.982,1.297.172,1.342.919,,,
17,1.01.04.04,Materiais de Produção,414,220,536,,,
18,1.01.04.05,Almoxarifado e Outros,256.681,219.818,223.360,,,
19,1.01.04.06,Provisão para Perdas,-47.944,-36.083,-46.577,,,
20,1.01.05,Ativos Biológicos,,,,,,
21,1.01.06,Tributos a Recuperar,1.069.011,2.625.960,4.879.093,,,
22,1.01.06.01,Tributos Correntes a Recuperar,1.069.011,2.625.960,4.879.093,,,
23,1.01.06.01.01,Imposto de renda e Contribuição Social a Recuperar,820.039,2.407.282,4.424.755,,,
24,1.01.06.01.02,Impostos Indiretos a Recuperar,248.972,218.678,454.338,,,
25,1.01.07,Despesas Antecipadas,631.365,572.117,582.460,,,
26,1.01.07.01,Despesas antecipadas de Marketing,631.365,572.117,582.460,,,
27,1.01.08,Outros Ativos Circulantes,166.085,262.538,1.271.221,,,
28,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
29,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
30,1.01.08.03,Outros,166.085,262.538,1.271.221,,,
31,1.01.08.03.01,Instrumentos financeiros derivativos,0,0,197.630,,,
32,1.01.08.03.02,Juros a Receber,,,,,,
33,1.01.08.03.03,Outros Ativos,165.590,210.279,88.930,,,
34,1.01.08.03.04,Dividendos a receber,495,52.259,984.661,,,
35,1.02,Ativo Não Circulante,78.174.064,80.296.224,78.081.118,,,
