,Conta,Descrição,31/12/2010,31/12/2009,31/12/2008,01/01/2010 a 31/12/2010,01/01/2009 a 31/12/2009,01/01/2008 a 31/12/2008
0,1,Ativo Total,4.313.606,4.505.620,4.344.657,,,
1,1.01,Ativo Circulante,737.482,1.189.976,1.189.347,,,
2,1.01.01,Caixa e Equivalentes de Caixa,37.568,159.779,275.578,,,
3,1.01.02,Aplicações Financeiras,25.614,195.623,140.687,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
5,1.01.02.01.01,Títulos para Negociação,,,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,25.614,195.623,140.687,,,
8,1.01.02.02.01,Títulos Mantidos até o Vencimento,25.614,195.623,140.687,,,
9,1.01.03,Contas a Receber,508.287,671.682,654.584,,,
10,1.01.03.01,Clientes,508.278,670.084,654.141,,,
11,1.01.03.01.01,"Consumidores, Concessionários e Permissionários",636.822,758.612,749.511,,,
12,1.01.03.01.02,(-) Provisão para Créditos de Liquidação Duvidosa,-169.057,-119.876,-173.168,,,
13,1.01.03.01.03,Consumidores de Baixa Renda,14.234,17.097,16.771,,,
14,1.01.03.01.04,Ativos Regulatórios,3.181,4.141,54.463,,,
15,1.01.03.01.05,Cauções e Depósitos,23.098,10.110,6.564,,,
16,1.01.03.02,Outras Contas a Receber,9,1.598,443,,,
17,1.01.03.02.01,Partes Relacionadas,9,1.598,443,,,
18,1.01.04,Estoques,38,2.130,2.671,,,
19,1.01.05,Ativos Biológicos,,,,,,
20,1.01.06,Tributos a Recuperar,62.014,69.010,61.621,,,
21,1.01.06.01,Tributos Correntes a Recuperar,62.014,69.010,61.621,,,
22,1.01.07,Despesas Antecipadas,604,802,1.068,,,
23,1.01.08,Outros Ativos Circulantes,103.357,90.950,53.138,,,
24,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
25,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
26,1.01.08.03,Outros,103.357,90.950,53.138,,,
27,1.02,Ativo Não Circulante,3.576.124,3.315.644,3.155.310,,,
28,1.02.01,Ativo Realizável a Longo Prazo,1.104.017,951.272,923.473,,,
29,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
30,1.02.01.01.01,Títulos para Negociação,,,,,,
31,1.02.01.01.02,Títulos Disponíveis para Venda,,,,,,
32,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
33,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,,,
34,1.02.01.03,Contas a Receber,20.842,28.887,26.610,,,
35,1.02.01.03.01,Clientes,20.842,28.887,26.610,,,
36,1.02.01.03.02,Outras Contas a Receber,,,,,,
37,1.02.01.04,Estoques,,,,,,
38,1.02.01.05,Ativos Biológicos,,,,,,
39,1.02.01.06,Tributos Diferidos,405.849,373.294,439.354,,,
40,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,405.849,373.294,439.354,,,
41,1.02.01.07,Despesas Antecipadas,,,,,,
42,1.02.01.08,Créditos com Partes Relacionadas,715,724,747,,,
43,1.02.01.08.01,Créditos com Coligadas,,,,,,
44,1.02.01.08.02,Créditos com Controladas,,,,,,
45,1.02.01.08.03,Créditos com Controladores,,,,,,
46,1.02.01.08.04,Créditos com Outras Partes Relacionadas,715,724,747,,,
47,1.02.01.09,Outros Ativos Não Circulantes,676.611,548.367,456.762,,,
48,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,,,
49,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,,,
50,1.02.01.09.03,Ativos Regulatórios,,,,,,
51,1.02.01.09.04,Tributos a Compensar,80.237,80.138,71.855,,,
52,1.02.01.09.05,Depósitos Vinculados a Litígios,143.450,149.883,128.811,,,
53,1.02.01.09.06,Cauções e Depósitos,36.006,51.164,40.072,,,
54,1.02.01.09.07,Ativo Indenizável (Concessão),416.918,267.182,216.024,,,
55,1.02.02,Investimentos,,,,,,
56,1.02.02.01,Participações Societárias,,,,,,
