,Conta,Descrição,31/12/2018,31/12/2017,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017
0,1,Ativo Total,9.696.399,9.330.722,,
1,1.01,Ativo Circulante,2.096.037,2.156.080,,
2,1.01.01,Caixa e Equivalentes de Caixa,267.076,305.915,,
3,1.01.02,Aplicações Financeiras,81.777,120.091,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,81.777,120.091,,
5,1.01.02.01.01,Títulos para Negociação,,,,
6,1.01.02.01.02,Títulos Designados a Valor Justo,,,,
7,1.01.02.01.03,Títulos e Valores Mobiliários,81.777,120.091,,
8,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,,,,
9,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
10,1.01.03,Contas a Receber,1.521.119,1.335.793,,
11,1.01.03.01,Clientes,914.449,848.983,,
12,1.01.03.01.01,"Consumidores, Concessionários e Permissionários",1.631.701,1.517.519,,
13,1.01.03.01.02,(-) Provisaõ para Créditos de Liquidação Duvidosa,-724.356,-675.100,,
14,1.01.03.01.03,Subvenção de Baixa Renda,7.104,6.564,,
15,1.01.03.02,Outras Contas a Receber,606.670,486.810,,
16,1.01.03.02.01,Ativos financeiros setoriais,229.300,75.332,,
17,1.01.03.02.02,Subvenção CDE - Desconto Tarifário,322.098,346.447,,
18,1.01.03.02.03,Serviço em curso,55.270,65.029,,
19,1.01.03.02.04,Consumidores - serviços prestados,2,2,,
20,1.01.04,Estoques,,,,
21,1.01.05,Ativos Biológicos,,,,
22,1.01.06,Tributos a Recuperar,145.833,304.050,,
23,1.01.06.01,Tributos Correntes a Recuperar,145.833,304.050,,
24,1.01.07,Despesas Antecipadas,,,,
25,1.01.08,Outros Ativos Circulantes,80.232,90.231,,
26,1.01.08.01,Ativos Não-Correntes a Venda,,,,
27,1.01.08.02,Ativos de Operações Descontinuadas,,,,
28,1.01.08.03,Outros,80.232,90.231,,
29,1.01.08.03.01,Cauções e Depósitos,,,,
30,1.01.08.03.02,Outros Créditos,66.466,87.594,,
31,1.01.08.03.03,Instrumentos financeiros derivativos - Swap,13.766,2.637,,
32,1.02,Ativo Não Circulante,7.600.362,7.174.642,,
33,1.02.01,Ativo Realizável a Longo Prazo,4.188.415,3.696.744,,
34,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,,,,
35,1.02.01.01.01,Títulos Designados a Valor Justo,,,,
36,1.02.01.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,,,,
37,1.02.01.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
38,1.02.01.04,Contas a Receber,34.593,50.140,,
39,1.02.01.04.01,Clientes,34.593,50.140,,
40,1.02.01.04.02,Outras Contas a Receber,,,,
41,1.02.01.05,Estoques,,,,
42,1.02.01.06,Ativos Biológicos,,,,
43,1.02.01.07,Tributos Diferidos,322.338,420.095,,
44,1.02.01.07.01,Imposto de Renda e Contribuição Social Diferidos,322.338,420.095,,
45,1.02.01.08,Despesas Antecipadas,,,,
46,1.02.01.09,Créditos com Partes Relacionadas,,,,
47,1.02.01.09.01,Créditos com Coligadas,,,,
48,1.02.01.09.02,Créditos com Controladas,,,,
49,1.02.01.09.03,Créditos com Controladores,,,,
50,1.02.01.09.04,Créditos com Outras Partes Relacionadas,,,,
51,1.02.01.10,Outros Ativos Não Circulantes,3.831.484,3.226.509,,
52,1.02.01.10.01,Ativos Não-Correntes a Venda,,,,
53,1.02.01.10.02,Ativos de Operações Descontinuadas,,,,
54,1.02.01.10.03,Tributos a Compensar,104.458,106.406,,
55,1.02.01.10.04,Depósitos Vinculados a litígios,214.571,236.510,,
56,1.02.01.10.05,Serviço em curso,35.596,14.351,,
57,1.02.01.10.06,Ativo Indenizável (concessão),3.378.495,2.864.913,,
58,1.02.01.10.07,Instrumentos financeiros derivativos - Swap,98.364,4.329,,
59,1.02.02,Investimentos,,,,
60,1.02.02.01,Participações Societárias,,,,
61,1.02.02.01.01,Participações em Coligadas,,,,
62,1.02.02.01.02,Participações em Controladas,,,,
63,1.02.02.01.03,Participações em Controladas em Conjunto,,,,
64,1.02.02.01.04,Outros Investimentos,,,,
65,1.02.02.02,Propriedades para Investimento,,,,
66,1.02.03,Imobilizado,61.175,61.619,,
67,1.02.03.01,Imobilizado em Operação,47.613,47.090,,
68,1.02.03.01.01,Imobilizado em Operação,47.613,47.090,,
69,1.02.03.01.02,Bens de Renda,,,,
70,1.02.03.02,Direito de Uso em Andamento,,,,
71,1.02.03.03,Imobilizado em Andamento,13.562,14.529,,
72,1.02.04,Intangível,3.350.772,3.416.279,,
73,1.02.04.01,Intangíveis,3.350.772,3.416.279,,
74,1.02.04.01.01,Contrato de Concessão,2.541.981,2.672.155,,
75,1.02.04.01.02,Softwares,128.914,117.400,,
76,1.02.04.01.03,Bens de renda,2.395,2.813,,
77,1.02.04.01.04,Ativos Contratuais,677.482,623.911,,
0,2,Passivo Total,9.696.399,9.330.722,,
1,2.01,Passivo Circulante,3.244.933,2.685.422,,
2,2.01.01,Obrigações Sociais e Trabalhistas,48.143,43.072,,
3,2.01.01.01,Obrigações Sociais,,,,
4,2.01.01.02,Obrigações Trabalhistas,48.143,43.072,,
5,2.01.02,Fornecedores,758.868,900.125,,
6,2.01.02.01,Fornecedores Nacionais,758.868,900.125,,
7,2.01.02.01.01,Fornecedores Nacionais,731.353,882.126,,
8,2.01.02.01.02,Fornecedores Estrangeiros,0,3.989,,
