,Conta,Descrição,31/12/2014,31/12/2013,31/12/2012,01/01/2014 a 31/12/2014,01/01/2013 a 31/12/2013,01/01/2012 a 31/12/2012
0,1,Ativo Total,710.5830000000001,620.6030000000001,128.47899999999998,,,
1,1.01,Ativo Circulante,101.89399999999999,397.897,1.8159999999999998,,,
2,1.01.01,Caixa e Equivalentes de Caixa,3.304,2.647,123.0,,,
3,1.01.02,Aplicações Financeiras,35.185,385.64,0.0,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,35.185,385.64,0.0,,,
5,1.01.02.01.01,Títulos para Negociação,35.185,385.64,0.0,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
8,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,,,
9,1.01.03,Contas a Receber,56.494,9.587,1.617,,,
10,1.01.03.01,Clientes,9.088,4.122,1.405,,,
11,1.01.03.02,Outras Contas a Receber,47.406000000000006,5.465,212.0,,,
12,1.01.03.02.01,Adiantamentos diversos,6.456,211.0,212.0,,,
13,1.01.03.02.02,Dividendos a receber,40.95,5.254,0.0,,,
14,1.01.04,Estoques,,,,,,
15,1.01.05,Ativos Biológicos,,,,,,
16,1.01.06,Tributos a Recuperar,6.898,0.0,0.0,,,
17,1.01.06.01,Tributos Correntes a Recuperar,6.898,0.0,0.0,,,
18,1.01.07,Despesas Antecipadas,,,,,,
19,1.01.08,Outros Ativos Circulantes,13.0,23.0,76.0,,,
20,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
21,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
22,1.01.08.03,Outros,13.0,23.0,76.0,,,
23,1.02,Ativo Não Circulante,608.689,222.706,126.663,,,
24,1.02.01,Ativo Realizável a Longo Prazo,46.0,6.002999999999999,1.4480000000000002,,,
25,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
26,1.02.01.01.01,Títulos para Negociação,,,,,,
27,1.02.01.01.02,Títulos Disponíveis para Venda,,,,,,
28,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
29,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,,,
30,1.02.01.03,Contas a Receber,,,,,,
31,1.02.01.03.01,Clientes,,,,,,
32,1.02.01.03.02,Outras Contas a Receber,,,,,,
33,1.02.01.04,Estoques,,,,,,
34,1.02.01.05,Ativos Biológicos,,,,,,
35,1.02.01.06,Tributos Diferidos,,,,,,
36,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,,,,,,
37,1.02.01.07,Despesas Antecipadas,,,,,,
38,1.02.01.08,Créditos com Partes Relacionadas,0.0,5.345,133.0,,,
39,1.02.01.08.01,Créditos com Coligadas,,,,,,
40,1.02.01.08.02,Créditos com Controladas,0.0,5.345,133.0,,,
41,1.02.01.08.03,Créditos com Controladores,,,,,,
42,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,,,
43,1.02.01.09,Outros Ativos Não Circulantes,46.0,658.0,1.315,,,
44,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,,,
45,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,,,
46,1.02.01.09.03,Depósitos judiciais,32.0,30.0,18.0,,,
47,1.02.01.09.04,Impostos e contribuições a recuperar,0.0,614.0,1.281,,,
48,1.02.01.09.05,Outros,14.0,14.0,16.0,,,
49,1.02.02,Investimentos,599.9159999999999,211.976,122.304,,,
50,1.02.02.01,Participações Societárias,599.9159999999999,211.976,122.304,,,
51,1.02.02.01.01,Participações em Coligadas,,,,,,
52,1.02.02.01.02,Participações em Controladas,599.9159999999999,211.976,122.304,,,
53,1.02.02.01.03,Participações em Controladas em Conjunto,,,,,,
54,1.02.02.01.04,Outras Participações Societárias,,,,,,
55,1.02.02.02,Propriedades para Investimento,,,,,,
56,1.02.03,Imobilizado,2.813,2.204,1.589,,,
57,1.02.03.01,Imobilizado em Operação,2.813,2.204,1.589,,,
58,1.02.03.02,Imobilizado Arrendado,,,,,,
59,1.02.03.03,Imobilizado em Andamento,,,,,,
60,1.02.04,Intangível,5.914,2.523,1.3219999999999998,,,
61,1.02.04.01,Intangíveis,5.914,2.523,1.3219999999999998,,,
62,1.02.04.01.01,Contrato de Concessão,,,,,,
63,1.02.05,Diferido,,,,,,
64,2,Passivo Total,710.5830000000001,620.6030000000001,128.47899999999998,,,
65,2.01,Passivo Circulante,67.226,32.921,15.704,,,
66,2.01.01,Obrigações Sociais e Trabalhistas,8.611,4.224,2.206,,,
67,2.01.01.01,Obrigações Sociais,,,,,,
68,2.01.01.02,Obrigações Trabalhistas,8.611,4.224,2.206,,,
69,2.01.02,Fornecedores,2.044,2.467,474.0,,,
70,2.01.02.01,Fornecedores Nacionais,2.044,2.467,474.0,,,
71,2.01.02.02,Fornecedores Estrangeiros,,,,,,
72,2.01.03,Obrigações Fiscais,729.0,571.0,600.0,,,
73,2.01.03.01,Obrigações Fiscais Federais,729.0,571.0,600.0,,,
74,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,,,,,,
75,2.01.03.01.02,Impostos e contribuições a recolher,729.0,571.0,600.0,,,
76,2.01.03.02,Obrigações Fiscais Estaduais,,,,,,
77,2.01.03.03,Obrigações Fiscais Municipais,,,,,,
78,2.01.04,Empréstimos e Financiamentos,10.811,8.298,1.942,,,
79,2.01.04.01,Empréstimos e Financiamentos,10.811,8.298,1.942,,,
80,2.01.04.01.01,Em Moeda Nacional,10.811,8.298,1.942,,,
81,2.01.04.01.02,Em Moeda Estrangeira,,,,,,
82,2.01.04.02,Debêntures,,,,,,
83,2.01.04.03,Financiamento por Arrendamento Financeiro,,,,,,
84,2.01.05,Outras Obrigações,45.031000000000006,17.361,10.482000000000001,,,
85,2.01.05.01,Passivos com Partes Relacionadas,,,,,,
86,2.01.05.01.01,Débitos com Coligadas,,,,,,
87,2.01.05.01.02,Débitos com Controladas,,,,,,
88,2.01.05.01.03,Débitos com Controladores,,,,,,
89,2.01.05.01.04,Débitos com Outras Partes Relacionadas,,,,,,
90,2.01.05.02,Outros,45.031000000000006,17.361,10.482000000000001,,,
91,2.01.05.02.01,Dividendos e JCP a Pagar,,,,,,
92,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,39.185,9.116,736.0,,,
93,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,,,,,,
94,2.01.05.02.04,Adiantamento de clientes,,,,,,
95,2.01.05.02.05,Títulos a pagar,5.846,8.244,9.746,,,
96,2.01.05.02.06,Outros,0.0,1.0,0.0,,,
97,2.01.06,Provisões,,,,,,
98,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,,,,,,
99,2.01.06.01.01,Provisões Fiscais,,,,,,
100,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,,,,,,
101,2.01.06.01.03,Provisões para Benefícios a Empregados,,,,,,
102,2.01.06.01.04,Provisões Cíveis,,,,,,
103,2.01.06.02,Outras Provisões,,,,,,
104,2.01.06.02.01,Provisões para Garantias,,,,,,
105,2.01.06.02.02,Provisões para Reestruturação,,,,,,
106,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,,,,,,
107,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,,,
108,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,,,,,,
109,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,,,,,,
110,2.02,Passivo Não Circulante,47.055,104.42,94.41799999999999,,,
111,2.02.01,Empréstimos e Financiamentos,44.693999999999996,52.183,3.5189999999999997,,,
112,2.02.01.01,Empréstimos e Financiamentos,44.693999999999996,52.183,3.5189999999999997,,,
113,2.02.01.01.01,Em Moeda Nacional,44.693999999999996,52.183,3.5189999999999997,,,
114,2.02.01.01.02,Em Moeda Estrangeira,,,,,,
115,2.02.01.02,Debêntures,,,,,,
116,2.02.01.03,Financiamento por Arrendamento Financeiro,,,,,,
117,2.02.02,Outras Obrigações,0.0,48.873000000000005,47.471000000000004,,,
118,2.02.02.01,Passivos com Partes Relacionadas,0.0,0.0,44.768,,,
119,2.02.02.01.01,Débitos com Coligadas,,,,,,
120,2.02.02.01.02,Débitos com Controladas,0.0,0.0,44.768,,,
121,2.02.02.01.03,Débitos com Controladores,,,,,,
122,2.02.02.01.04,Débitos com Outras Partes Relacionadas,,,,,,
123,2.02.02.02,Outros,0.0,48.873000000000005,2.7030000000000003,,,
124,2.02.02.02.01,Obrigações por Pagamentos Baseados em Ações,,,,,,
125,2.02.02.02.02,Adiantamento para Futuro Aumento de Capital,,,,,,
126,2.02.02.02.03,Títulos a pagar,0.0,48.873000000000005,2.7030000000000003,,,
127,2.02.03,Tributos Diferidos,,,,,,
128,2.02.03.01,Imposto de Renda e Contribuição Social Diferidos,,,,,,
129,2.02.04,Provisões,2.3609999999999998,3.364,43.428000000000004,,,
130,2.02.04.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,2.3609999999999998,3.364,2.6919999999999997,,,
131,2.02.04.01.01,Provisões Fiscais,0.0,1.439,1.151,,,
132,2.02.04.01.02,Provisões Previdenciárias e Trabalhistas,2.3609999999999998,1.925,1.541,,,
133,2.02.04.01.03,Provisões para Benefícios a Empregados,,,,,,
134,2.02.04.01.04,Provisões Cíveis,,,,,,
135,2.02.04.02,Outras Provisões,0.0,0.0,40.736,,,
136,2.02.04.02.01,Provisões para Garantias,,,,,,
137,2.02.04.02.02,Provisões para Reestruturação,,,,,,
138,2.02.04.02.03,Provisões para Passivos Ambientais e de Desativação,,,,,,
139,2.02.04.02.04,Provisões para perda em investimento,0.0,0.0,40.736,,,
140,2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,,,
141,2.02.05.01,Passivos sobre Ativos Não-Correntes a Venda,,,,,,
142,2.02.05.02,Passivos sobre Ativos de Operações Descontinuadas,,,,,,
143,2.02.06,Lucros e Receitas a Apropriar,,,,,,
144,2.02.06.01,Lucros a Apropriar,,,,,,
145,2.02.06.02,Receitas a Apropriar,,,,,,
146,2.02.06.03,Subvenções de Investimento a Apropriar,,,,,,
147,2.03,Patrimônio Líquido,596.302,483.26199999999994,18.357,,,
148,2.03.01,Capital Social Realizado,496.411,496.411,89.789,,,
149,2.03.02,Reservas de Capital,1.2209999999999999,1.855,-3.822,,,
150,2.03.02.01,Ágio na Emissão de Ações,,,,,,
151,2.03.02.02,Reserva Especial de Ágio na Incorporação,,,,,,
152,2.03.02.03,Alienação de Bônus de Subscrição,,,,,,
153,2.03.02.04,Opções Outorgadas,,,,,,
154,2.03.02.05,Ações em Tesouraria,-11.0,0.0,-3.822,,,
155,2.03.02.06,Adiantamento para Futuro Aumento de Capital,,,,,,
156,2.03.02.07,Reserva de Capital,1.232,1.855,0.0,,,
157,2.03.03,Reservas de Reavaliação,,,,,,
158,2.03.04,Reservas de Lucros,168.236,42.523999999999994,0.0,,,
159,2.03.04.01,Reserva Legal,10.168,1.919,0.0,,,
160,2.03.04.02,Reserva Estatutária,,,,,,
161,2.03.04.03,Reserva para Contingências,,,,,,
162,2.03.04.04,Reserva de Lucros a Realizar,,,,,,
163,2.03.04.05,Reserva de Retenção de Lucros,158.06799999999998,40.605,0.0,,,
164,2.03.04.06,Reserva Especial para Dividendos Não Distribuídos,,,,,,
165,2.03.04.07,Reserva de Incentivos Fiscais,,,,,,
166,2.03.04.08,Dividendo Adicional Proposto,,,,,,
167,2.03.04.09,Ações em Tesouraria,,,,,,
168,2.03.05,Lucros/Prejuízos Acumulados,0.0,0.0,-7.311,,,
169,2.03.06,Ajustes de Avaliação Patrimonial,-69.566,-57.528,-60.299,,,
170,2.03.07,Ajustes Acumulados de Conversão,,,,,,
171,2.03.08,Outros Resultados Abrangentes,,,,,,
172,3.01,Receita de Venda de Bens e/ou Serviços,,,,2.6710000000000003,2.26,13.892000000000001
173,3.02,Custo dos Bens e/ou Serviços Vendidos,,,,-21.226999999999997,-3.861,-14.661
174,3.03,Resultado Bruto,,,,-18.555999999999997,-1.601,-769.0
175,3.04,Despesas/Receitas Operacionais,,,,160.656,44.39,27.398000000000003
176,3.04.01,Despesas com Vendas,,,,-448.0,-77.0,-23.0
177,3.04.02,Despesas Gerais e Administrativas,,,,-1.66,-16.815,-2.563
178,3.04.03,Perdas pela Não Recuperabilidade de Ativos,,,,,,
179,3.04.04,Outras Receitas Operacionais,,,,,,
180,3.04.05,Outras Despesas Operacionais,,,,7.022,5.301,-2.2569999999999997
181,3.04.06,Resultado de Equivalência Patrimonial,,,,155.74200000000002,55.981,32.241
182,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,,,,142.1,42.788999999999994,26.629
183,3.06,Resultado Financeiro,,,,13.694,-4.428999999999999,-3.1260000000000003
184,3.06.01,Receitas Financeiras,,,,23.28,5.968,3.0010000000000003
185,3.06.02,Despesas Financeiras,,,,-9.586,-10.397,-6.127000000000001
186,3.07,Resultado Antes dos Tributos sobre o Lucro,,,,155.79399999999998,38.36,23.503
187,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,,,,9.103,0.0,0.0
188,3.08.01,Corrente,,,,,,
189,3.08.02,Diferido,,,,9.103,0.0,0.0
190,3.09,Resultado Líquido das Operações Continuadas,,,,164.89700000000002,38.36,23.503
191,3.10,Resultado Líquido de Operações Descontinuadas,,,,,,
192,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,,,,,,
193,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,,,,,,
194,3.11,Lucro/Prejuízo do Período,,,,164.89700000000002,38.36,23.503
195,3.99,Lucro por Ação - (Reais / Ação),,,,,,
196,3.99.01,Lucro Básico por Ação,,,,,,
197,3.99.01.01,ON,,,,199000.0,66000.0,1492000.0
198,3.99.01.02,PN,,,,,,
199,3.99.02,Lucro Diluído por Ação,,,,,,
200,3.99.02.01,ON,,,,195000.0,66000.0,1492000.0
201,3.99.02.02,PN,,,,,,
