,Conta,Descrição,31/12/2010,31/12/2009,01/01/2010 a 31/12/2010,01/01/2009 a 31/12/2009
0,1,Ativo Total,247.84799999999998,224.53400000000002,,
1,1.01,Ativo Circulante,162.326,151.974,,
2,1.01.01,Caixa e Equivalentes de Caixa,5.585,34.519,,
3,1.01.02,Aplicações Financeiras,5.0,5.901,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,5.0,5.901,,
5,1.01.02.01.01,Títulos para Negociação,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,5.0,5.901,,
7,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
8,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,
9,1.01.03,Contas a Receber,122.286,94.521,,
10,1.01.03.01,Clientes,122.286,94.521,,
11,1.01.03.02,Outras Contas a Receber,,,,
12,1.01.04,Estoques,17.65,5.666,,
13,1.01.05,Ativos Biológicos,,,,
14,1.01.06,Tributos a Recuperar,6.362,3.065,,
15,1.01.06.01,Tributos Correntes a Recuperar,6.362,3.065,,
16,1.01.07,Despesas Antecipadas,,,,
17,1.01.08,Outros Ativos Circulantes,5.443,8.302,,
18,1.01.08.01,Ativos Não-Correntes a Venda,,,,
19,1.01.08.02,Ativos de Operações Descontinuadas,,,,
20,1.01.08.03,Outros,5.443,8.302,,
21,1.02,Ativo Não Circulante,85.522,72.56,,
22,1.02.01,Ativo Realizável a Longo Prazo,28.921,31.366999999999997,,
23,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,27.0,27.0,,
24,1.02.01.01.01,Títulos para Negociação,,,,
25,1.02.01.01.02,Títulos Disponíveis para Venda,27.0,27.0,,
26,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
27,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,
28,1.02.01.03,Contas a Receber,,,,
29,1.02.01.03.01,Clientes,,,,
30,1.02.01.03.02,Outras Contas a Receber,,,,
31,1.02.01.04,Estoques,,,,
32,1.02.01.05,Ativos Biológicos,,,,
33,1.02.01.06,Tributos Diferidos,13.995999999999999,19.018,,
34,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,13.995999999999999,19.018,,
35,1.02.01.07,Despesas Antecipadas,,,,
36,1.02.01.08,Créditos com Partes Relacionadas,8.717,2.09,,
37,1.02.01.08.01,Créditos com Coligadas,,,,
38,1.02.01.08.02,Créditos com Controladas,,,,
39,1.02.01.08.03,Créditos com Controladores,8.717,2.09,,
40,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,
41,1.02.01.09,Outros Ativos Não Circulantes,6.181,10.232000000000001,,
42,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,
43,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,
44,1.02.01.09.03,Impostos a Recuperar,3.903,4.311,,
45,1.02.01.09.04,Depósitos Judiciais,2.266,5.857,,
46,1.02.01.09.05,Outros Créditos,12.0,64.0,,
47,1.02.02,Investimentos,44.733999999999995,33.788000000000004,,
48,1.02.02.01,Participações Societárias,44.733999999999995,33.788000000000004,,
49,1.02.02.01.01,Participações em Coligadas,,,,
50,1.02.02.01.02,Participações em Controladas,44.733999999999995,33.788000000000004,,
51,1.02.02.01.03,Participações em Controladas em Conjunto,,,,
52,1.02.02.01.04,Outras Participações Societárias,,,,
53,1.02.02.02,Propriedades para Investimento,,,,
