,Conta,Descrição,31/12/2012,31/12/2011,31/12/2010,01/01/2012 a 31/12/2012,01/01/2011 a 31/12/2011,01/01/2010 a 31/12/2010
0,1,Ativo Total,568.669,485.642,247.84799999999998,,,
1,1.01,Ativo Circulante,422.829,371.662,162.326,,,
2,1.01.01,Caixa e Equivalentes de Caixa,6.771,6.2170000000000005,5.585,,,
3,1.01.02,Aplicações Financeiras,167.28799999999998,157.901,5.0,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,167.28799999999998,157.901,5.0,,,
5,1.01.02.01.01,Títulos para Negociação,167.28799999999998,157.901,0.0,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,0.0,0.0,5.0,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
8,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,,,
9,1.01.03,Contas a Receber,199.389,167.47099999999998,122.286,,,
10,1.01.03.01,Clientes,199.389,167.47099999999998,122.286,,,
11,1.01.03.02,Outras Contas a Receber,,,,,,
12,1.01.04,Estoques,33.723,22.9,17.65,,,
13,1.01.05,Ativos Biológicos,,,,,,
14,1.01.06,Tributos a Recuperar,9.252,7.625,6.362,,,
15,1.01.06.01,Tributos Correntes a Recuperar,9.252,7.625,6.362,,,
16,1.01.07,Despesas Antecipadas,,,,,,
17,1.01.08,Outros Ativos Circulantes,6.406000000000001,9.548,5.443,,,
18,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
19,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
20,1.01.08.03,Outros,6.406000000000001,9.548,5.443,,,
21,1.02,Ativo Não Circulante,145.84,113.98,85.522,,,
22,1.02.01,Ativo Realizável a Longo Prazo,22.410999999999998,25.283,28.921,,,
23,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0,0.0,27.0,,,
24,1.02.01.01.01,Títulos para Negociação,,,,,,
25,1.02.01.01.02,Títulos Disponíveis para Venda,0.0,0.0,27.0,,,
26,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
27,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,,,
28,1.02.01.03,Contas a Receber,,,,,,
29,1.02.01.03.01,Clientes,,,,,,
30,1.02.01.03.02,Outras Contas a Receber,,,,,,
31,1.02.01.04,Estoques,,,,,,
32,1.02.01.05,Ativos Biológicos,,,,,,
33,1.02.01.06,Tributos Diferidos,5.997000000000001,9.533999999999999,13.995999999999999,,,
34,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,5.997000000000001,9.533999999999999,13.995999999999999,,,
35,1.02.01.07,Despesas Antecipadas,,,,,,
36,1.02.01.08,Créditos com Partes Relacionadas,10.937000000000001,11.0,8.717,,,
37,1.02.01.08.01,Créditos com Coligadas,,,,,,
38,1.02.01.08.02,Créditos com Controladas,10.937000000000001,11.0,0.0,,,
39,1.02.01.08.03,Créditos com Controladores,0.0,0.0,8.717,,,
40,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,,,
41,1.02.01.09,Outros Ativos Não Circulantes,5.477,4.749,6.181,,,
42,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,,,
43,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,,,
44,1.02.01.09.03,Impostos a Recuperar,377.0,358.0,3.903,,,
45,1.02.01.09.04,Depósitos Judiciais,4.523,3.9019999999999997,2.266,,,
46,1.02.01.09.05,Outros Créditos,577.0,489.0,12.0,,,
47,1.02.02,Investimentos,93.006,73.158,44.733999999999995,,,
48,1.02.02.01,Participações Societárias,93.006,73.158,44.733999999999995,,,
49,1.02.02.01.01,Participações em Coligadas,,,,,,
50,1.02.02.01.02,Participações em Controladas,93.006,73.158,44.733999999999995,,,
51,1.02.02.01.03,Participações em Controladas em Conjunto,,,,,,
52,1.02.02.01.04,Outras Participações Societárias,,,,,,
53,1.02.02.02,Propriedades para Investimento,,,,,,
54,1.02.03,Imobilizado,20.729,8.302999999999999,6.245,,,
55,1.02.03.01,Imobilizado em Operação,20.729,8.302999999999999,6.245,,,
56,1.02.03.02,Imobilizado Arrendado,,,,,,
57,1.02.03.03,Imobilizado em Andamento,,,,,,
58,1.02.04,Intangível,9.693999999999999,7.236000000000001,5.622000000000001,,,
59,1.02.04.01,Intangíveis,9.693999999999999,7.236000000000001,5.622000000000001,,,
60,1.02.04.01.01,Contrato de Concessão,,,,,,
61,1.02.04.01.02,Marcas e Patentes,2.6289999999999996,2.623,2.541,,,
62,1.02.04.01.03,Direitos de uso de Lojas,125.0,125.0,125.0,,,
63,1.02.04.01.04,Direitos de uo de Sistemas,6.94,4.488,2.9560000000000004,,,
64,1.02.05,Diferido,,,,,,
65,2,Passivo Total,568.669,485.642,247.84799999999998,,,
66,2.01,Passivo Circulante,83.949,76.904,72.718,,,
67,2.01.01,Obrigações Sociais e Trabalhistas,11.247,8.576,9.815,,,
68,2.01.01.01,Obrigações Sociais,1.645,1.087,907.0,,,
69,2.01.01.02,Obrigações Trabalhistas,9.602,7.489,8.908,,,
70,2.01.02,Fornecedores,25.691,27.311,18.586,,,
71,2.01.02.01,Fornecedores Nacionais,25.454,27.013,18.494,,,
72,2.01.02.02,Fornecedores Estrangeiros,237.0,298.0,92.0,,,
73,2.01.03,Obrigações Fiscais,4.586,4.619,3.485,,,
74,2.01.03.01,Obrigações Fiscais Federais,4.211,4.574,3.389,,,
75,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,0.0,0.0,326.0,,,
76,2.01.03.01.02,Outras Obrigações Federais,4.211,4.574,3.063,,,
77,2.01.03.02,Obrigações Fiscais Estaduais,363.0,32.0,88.0,,,
78,2.01.03.03,Obrigações Fiscais Municipais,12.0,13.0,8.0,,,
79,2.01.04,Empréstimos e Financiamentos,31.313000000000002,20.845,27.33,,,
80,2.01.04.01,Empréstimos e Financiamentos,31.313000000000002,20.845,27.33,,,
81,2.01.04.01.01,Em Moeda Nacional,4.256,3.9360000000000004,10.247,,,
82,2.01.04.01.02,Em Moeda Estrangeira,27.057,16.909000000000002,17.083,,,
83,2.01.04.02,Debêntures,,,,,,
84,2.01.04.03,Financiamento por Arrendamento Financeiro,,,,,,
85,2.01.05,Outras Obrigações,11.112,15.552999999999999,13.502,,,
86,2.01.05.01,Passivos com Partes Relacionadas,,,,,,
87,2.01.05.01.01,Débitos com Coligadas,,,,,,
88,2.01.05.01.02,Débitos com Controladas,,,,,,
89,2.01.05.01.03,Débitos com Controladores,,,,,,
90,2.01.05.01.04,Débitos com Outras Partes Relacionadas,,,,,,
91,2.01.05.02,Outros,11.112,15.552999999999999,13.502,,,
92,2.01.05.02.01,Dividendos e JCP a Pagar,8.945,14.327,11.964,,,
93,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,,,,,,
94,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,,,,,,
95,2.01.05.02.04,Outras,2.167,1.226,1.538,,,
96,2.01.06,Provisões,,,,,,
97,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,,,,,,
98,2.01.06.01.01,Provisões Fiscais,,,,,,
99,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,,,,,,
100,2.01.06.01.03,Provisões para Benefícios a Empregados,,,,,,
101,2.01.06.01.04,Provisões Cíveis,,,,,,
102,2.01.06.02,Outras Provisões,,,,,,
103,2.01.06.02.01,Provisões para Garantias,,,,,,
104,2.01.06.02.02,Provisões para Reestruturação,,,,,,
105,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,,,,,,
106,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,,,
107,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,,,,,,
108,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,,,,,,
109,2.02,Passivo Não Circulante,30.820999999999998,24.691,28.912,,,
110,2.02.01,Empréstimos e Financiamentos,23.221999999999998,17.689,19.273,,,
111,2.02.01.01,Empréstimos e Financiamentos,23.221999999999998,17.689,19.273,,,
112,2.02.01.01.01,Em Moeda Nacional,23.221999999999998,17.689,19.273,,,
113,2.02.01.01.02,Em Moeda Estrangeira,,,,,,
114,2.02.01.02,Debêntures,,,,,,
115,2.02.01.03,Financiamento por Arrendamento Financeiro,,,,,,
116,2.02.02,Outras Obrigações,0.0,1.158,3.161,,,
117,2.02.02.01,Passivos com Partes Relacionadas,0.0,0.0,1.5390000000000001,,,
118,2.02.02.01.01,Débitos com Coligadas,,,,,,
119,2.02.02.01.02,Débitos com Controladas,0.0,0.0,280.0,,,
120,2.02.02.01.03,Débitos com Controladores,,,,,,
121,2.02.02.01.04,Débitos com Outras Partes Relacionadas,0.0,0.0,1.2590000000000001,,,
122,2.02.02.02,Outros,0.0,1.158,1.6219999999999999,,,
123,2.02.02.02.01,Obrigações por Pagamentos Baseados em Ações,,,,,,
124,2.02.02.02.02,Adiantamento para Futuro Aumento de Capital,,,,,,
125,2.02.02.02.03,Parcelamento de Impostos,,,,,,
126,2.02.02.02.04,Adiantamento de Terceiros,0.0,85.0,425.0,,,
127,2.02.02.02.05,Outros,0.0,1.073,1.197,,,
128,2.02.03,Tributos Diferidos,,,,,,
129,2.02.03.01,Imposto de Renda e Contribuição Social Diferidos,,,,,,
130,2.02.04,Provisões,7.599,5.843999999999999,6.478,,,
131,2.02.04.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,2.397,2.7119999999999997,3.2939999999999996,,,
132,2.02.04.01.01,Provisões Fiscais,,,,,,
133,2.02.04.01.02,Provisões Previdenciárias e Trabalhistas,1.3359999999999999,2.07,2.367,,,
134,2.02.04.01.03,Provisões para Benefícios a Empregados,,,,,,
135,2.02.04.01.04,Provisões Cíveis,1.061,642.0,927.0,,,
136,2.02.04.02,Outras Provisões,5.202000000000001,3.1319999999999997,3.1839999999999997,,,
137,2.02.04.02.01,Provisões para Garantias,,,,,,
138,2.02.04.02.02,Provisões para Reestruturação,,,,,,
139,2.02.04.02.03,Provisões para Passivos Ambientais e de Desativação,,,,,,
140,2.02.04.02.04,Provisões para Passivos a Descoberto,5.202000000000001,3.1319999999999997,3.1839999999999997,,,
141,2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,,,
142,2.02.05.01,Passivos sobre Ativos Não-Correntes a Venda,,,,,,
143,2.02.05.02,Passivos sobre Ativos de Operações Descontinuadas,,,,,,
144,2.02.06,Lucros e Receitas a Apropriar,,,,,,
145,2.02.06.01,Lucros a Apropriar,,,,,,
146,2.02.06.02,Receitas a Apropriar,,,,,,
147,2.02.06.03,Subvenções de Investimento a Apropriar,,,,,,
148,2.03,Patrimônio Líquido,453.899,384.04699999999997,146.218,,,
149,2.03.01,Capital Social Realizado,106.85700000000001,40.917,21.358,,,
150,2.03.02,Reservas de Capital,173.498,237.72299999999998,71.01899999999999,,,
151,2.03.02.01,Ágio na Emissão de Ações,,,,,,
152,2.03.02.02,Reserva Especial de Ágio na Incorporação,21.47,21.47,71.01899999999999,,,
153,2.03.02.03,Alienação de Bônus de Subscrição,,,,,,
154,2.03.02.04,Opções Outorgadas,775.0,0.0,0.0,,,
155,2.03.02.05,Ações em Tesouraria,,,,,,
156,2.03.02.06,Adiantamento para Futuro Aumento de Capital,,,,,,
157,2.03.02.07,Emissão de Ações,151.253,216.253,0.0,,,
158,2.03.03,Reservas de Reavaliação,,,,,,
159,2.03.04,Reservas de Lucros,173.544,105.40700000000001,53.841,,,
160,2.03.04.01,Reserva Legal,13.027000000000001,8.183,4.271,,,
161,2.03.04.02,Reserva Estatutária,,,,,,
162,2.03.04.03,Reserva para Contingências,,,,,,
163,2.03.04.04,Reserva de Lucros a Realizar,,,,,,
164,2.03.04.05,Reserva de Retenção de Lucros,137.452,94.541,31.805,,,
165,2.03.04.06,Reserva Especial para Dividendos Não Distribuídos,,,,,,
166,2.03.04.07,Reserva de Incentivos Fiscais,2.6830000000000003,2.6830000000000003,1.703,,,
167,2.03.04.08,Dividendo Adicional Proposto,20.382,0.0,16.062,,,
168,2.03.04.09,Ações em Tesouraria,,,,,,
169,2.03.05,Lucros/Prejuízos Acumulados,,,,,,
170,2.03.06,Ajustes de Avaliação Patrimonial,,,,,,
171,2.03.07,Ajustes Acumulados de Conversão,,,,,,
172,2.03.08,Outros Resultados Abrangentes,,,,,,
173,3.01,Receita de Venda de Bens e/ou Serviços,,,,760.967,622.634,527.914
174,3.02,Custo dos Bens e/ou Serviços Vendidos,,,,-487.655,-401.847,-347.517
175,3.03,Resultado Bruto,,,,273.312,220.787,180.39700000000002
176,3.04,Despesas/Receitas Operacionais,,,,-156.114,-113.385,-93.79299999999999
177,3.04.01,Despesas com Vendas,,,,-89.09100000000001,-72.508,-59.225
178,3.04.02,Despesas Gerais e Administrativas,,,,-61.191,-45.736000000000004,-43.335
179,3.04.03,Perdas pela Não Recuperabilidade de Ativos,,,,,,
180,3.04.04,Outras Receitas Operacionais,,,,-6.109,936.0,3.341
181,3.04.05,Outras Despesas Operacionais,,,,,,
182,3.04.06,Resultado de Equivalência Patrimonial,,,,277.0,3.923,5.426
183,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,,,,117.198,107.402,86.604
184,3.06,Resultado Financeiro,,,,11.354000000000001,15.03,-1.3940000000000001
185,3.06.01,Receitas Financeiras,,,,19.344,22.64,10.144
186,3.06.01.01,Receita Financeira,,,,18.214000000000002,20.651,4.527
187,3.06.01.02,Variação Cambial Ativa,,,,1.13,1.989,5.617000000000001
188,3.06.02,Despesas Financeiras,,,,-7.99,-7.61,-11.538
189,3.06.02.01,Despesa Financeira,,,,-6.471,-6.167000000000001,-5.978
190,3.06.02.02,Variação Cambial Passiva,,,,-1.5190000000000001,-1.443,-5.56
191,3.07,Resultado Antes dos Tributos sobre o Lucro,,,,128.55200000000002,122.432,85.21
192,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,,,,-31.678,-30.819000000000003,-20.676
193,3.08.01,Corrente,,,,-28.141,-21.553,-15.654000000000002
194,3.08.02,Diferido,,,,-3.537,-9.266,-5.022
195,3.09,Resultado Líquido das Operações Continuadas,,,,96.874,91.613,64.53399999999999
196,3.10,Resultado Líquido de Operações Descontinuadas,,,,,,
197,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,,,,,,
198,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,,,,,,
199,3.11,Lucro/Prejuízo do Período,,,,96.874,91.613,64.53399999999999
200,3.99,Lucro por Ação - (Reais / Ação),,,,,,
201,3.99.01,Lucro Básico por Ação,,,,,,
202,3.99.01.01,ON,,,,109398.0,105000.0,82000.0
203,3.99.02,Lucro Diluído por Ação,,,,,,
