,Conta,Descrição,31/12/2016,31/12/2015,31/12/2014,01/01/2016 a 31/12/2016,01/01/2015 a 31/12/2015,01/01/2014 a 31/12/2014
0,1,Ativo Total,17.388.000,15.802.000,10.818.000,,,
1,1.01,Ativo Circulante,5.855.000,5.739.000,3.705.000,,,
2,1.01.01,Caixa e Equivalentes de Caixa,2.042.000,1.976.000,1.154.000,,,
3,1.01.02,Aplicações Financeiras,,,,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
5,1.01.02.01.01,Títulos para Negociação,,,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
8,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,,,
9,1.01.03,Contas a Receber,555.000,418.000,367.000,,,
10,1.01.03.01,Clientes,555.000,418.000,367.000,,,
11,1.01.03.02,Outras Contas a Receber,,,,,,
12,1.01.04,Estoques,3.178.000,2.658.000,1.960.000,,,
13,1.01.05,Ativos Biológicos,,,,,,
14,1.01.06,Tributos a Recuperar,55.000,334.000,103.000,,,
15,1.01.06.01,Tributos Correntes a Recuperar,55.000,334.000,103.000,,,
16,1.01.06.01.01,Imposto de Renda e Contribuição Social a Recuperar,6.000,264.000,44.000,,,
17,1.01.06.01.02,Tributor Correntes a Recuperar,49.000,70.000,59.000,,,
18,1.01.07,Despesas Antecipadas,3.000,1.000,1.000,,,
19,1.01.08,Outros Ativos Circulantes,22.000,352.000,120.000,,,
20,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
21,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
22,1.01.08.03,Outros,22.000,352.000,120.000,,,
23,1.01.08.03.01,Instrumentos Financeiros Derivativos,0,329.000,19.000,,,
24,1.01.08.03.02,Outros,22.000,23.000,101.000,,,
25,1.02,Ativo Não Circulante,11.533.000,10.063.000,7.113.000,,,
26,1.02.01,Ativo Realizável a Longo Prazo,227.000,199.000,205.000,,,
27,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
