,Conta,Descrição,31/12/2017,31/12/2016,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016
0,1,Ativo Total,21.875.000,17.388.000,,
1,1.01,Ativo Circulante,7.352.000,5.855.000,,
2,1.01.01,Caixa e Equivalentes de Caixa,3.166.000,2.042.000,,
3,1.01.02,Aplicações Financeiras,,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,
5,1.01.02.01.01,Títulos para Negociação,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
8,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,
9,1.01.03,Contas a Receber,704.000,555.000,,
10,1.01.03.01,Clientes,704.000,555.000,,
11,1.01.03.02,Outras Contas a Receber,,,,
12,1.01.04,Estoques,3.271.000,3.178.000,,
13,1.01.05,Ativos Biológicos,,,,
14,1.01.06,Tributos a Recuperar,129.000,55.000,,
15,1.01.06.01,Tributos Correntes a Recuperar,129.000,55.000,,
16,1.01.06.01.01,Impostos de Renda e Contribuição Social a Recuperar,5.000,6.000,,
17,1.01.06.01.02,Tributos Correntes a recuperar,124.000,49.000,,
18,1.01.07,Despesas Antecipadas,6.000,3.000,,
19,1.01.08,Outros Ativos Circulantes,76.000,22.000,,
20,1.01.08.01,Ativos Não-Correntes a Venda,,,,
21,1.01.08.02,Ativos de Operações Descontinuadas,,,,
22,1.01.08.03,Outros,76.000,22.000,,
23,1.01.08.03.01,Instrumentos Financeiros Derivativos,,,,
24,1.01.08.03.02,Outros,76.000,22.000,,
25,1.02,Ativo Não Circulante,14.523.000,11.533.000,,
26,1.02.01,Ativo Realizável a Longo Prazo,818.000,227.000,,
27,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,
28,1.02.01.01.01,Títulos para Negociação,,,,
29,1.02.01.01.02,Títulos Disponíveis para Venda,,,,
30,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
31,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,
32,1.02.01.03,Contas a Receber,,,,
33,1.02.01.03.01,Clientes,,,,
34,1.02.01.03.02,Outras Contas a Receber,,,,
35,1.02.01.04,Estoques,,,,
36,1.02.01.05,Ativos Biológicos,,,,
37,1.02.01.06,Tributos Diferidos,,,,
38,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,,,,
39,1.02.01.07,Despesas Antecipadas,,,,
40,1.02.01.08,Créditos com Partes Relacionadas,,,,
41,1.02.01.08.01,Créditos com Coligadas,,,,
42,1.02.01.08.02,Créditos com Controladas,,,,
43,1.02.01.08.03,Créditos com Controladores,,,,
44,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,
45,1.02.01.09,Outros Ativos Não Circulantes,818.000,227.000,,
46,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,
47,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,
48,1.02.01.09.03,Outros,31.000,37.000,,
49,1.02.01.09.04,Tributos Correntes a Recuperar,647.000,55.000,,
50,1.02.01.09.05,Depósitos Judiciais,133.000,125.000,,
51,1.02.01.09.06,Instrumentos Finsnceiros Derivativos,,,,
52,1.02.01.09.07,Despesas Antecipadas,7.000,10.000,,
53,1.02.02,Investimentos,6.377.000,4.829.000,,
54,1.02.02.01,Participações Societárias,6.377.000,4.829.000,,
55,1.02.02.01.01,Participações em Coligadas,,,,
56,1.02.02.01.02,Participações em Controladas,,,,
57,1.02.02.01.03,Participações em Controladas em Conjunto,,,,
58,1.02.02.01.04,Outras Participações Societárias,,,,
59,1.02.02.02,Propriedades para Investimento,,,,
60,1.02.03,Imobilizado,5.924.000,5.075.000,,
61,1.02.03.01,Imobilizado em Operação,,,,
62,1.02.03.02,Imobilizado Arrendado,,,,
63,1.02.03.03,Imobilizado em Andamento,,,,
64,1.02.04,Intangível,1.404.000,1.402.000,,
65,1.02.04.01,Intangíveis,,,,
66,1.02.04.01.01,Contrato de Concessão,,,,
67,1.02.05,Diferido,,,,
0,2,Passivo Total,21.875.000,17.388.000,,
1,2.01,Passivo Circulante,7.761.000,6.545.000,,
2,2.01.01,Obrigações Sociais e Trabalhistas,259.000,250.000,,
3,2.01.01.01,Obrigações Sociais,,,,
4,2.01.01.02,Obrigações Trabalhistas,,,,
5,2.01.02,Fornecedores,6.084.000,5.444.000,,
6,2.01.02.01,Fornecedores Nacionais,,,,
7,2.01.02.02,Fornecedores Estrangeiros,,,,
8,2.01.03,Obrigações Fiscais,220.000,126.000,,
9,2.01.03.01,Obrigações Fiscais Federais,,,,
10,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,,,,
11,2.01.03.02,Obrigações Fiscais Estaduais,,,,
12,2.01.03.03,Obrigações Fiscais Municipais,,,,
13,2.01.04,Empréstimos e Financiamentos,1.015.000,362.000,,
14,2.01.04.01,Empréstimos e Financiamentos,,,,
15,2.01.04.01.01,Em Moeda Nacional,,,,
16,2.01.04.01.02,Em Moeda Estrangeira,,,,
17,2.01.04.02,Debêntures,,,,
18,2.01.04.03,Financiamento por Arrendamento Financeiro,,,,
19,2.01.05,Outras Obrigações,183.000,363.000,,
20,2.01.05.01,Passivos com Partes Relacionadas,,,,
21,2.01.05.01.01,Débitos com Coligadas,,,,
22,2.01.05.01.02,Débitos com Controladas,,,,
23,2.01.05.01.03,Débitos com Controladores,,,,
24,2.01.05.01.04,Débitos com Outras Partes Relacionadas,,,,
25,2.01.05.02,Outros,183.000,363.000,,
26,2.01.05.02.01,Dividendos e JCP a Pagar,,,,
27,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,,,,
28,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,,,,
29,2.01.05.02.04,Dividendos a Pagar,2.000,1.000,,
30,2.01.05.02.05,Instrumentos Financeiros derivativos,0,251.000,,
31,2.01.05.02.06,Receita a Apropriar,59.000,26.000,,
32,2.01.05.02.08,Outras Obrigações,122.000,85.000,,
33,2.01.06,Provisões,,,,
34,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,,,,
35,2.01.06.01.01,Provisões Fiscais,,,,
36,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,,,,
37,2.01.06.01.03,Provisões para Benefícios a Empregados,,,,
38,2.01.06.01.04,Provisões Cíveis,,,,
39,2.01.06.02,Outras Provisões,,,,
40,2.01.06.02.01,Provisões para Garantias,,,,
41,2.01.06.02.02,Provisões para Reestruturação,,,,
42,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,,,,
43,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,
44,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,,,,
45,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,,,,
46,2.02,Passivo Não Circulante,1.969.000,3.342.000,,
47,2.02.01,Empréstimos e Financiamentos,1.016.000,2.476.000,,
48,2.02.01.01,Empréstimos e Financiamentos,,,,
49,2.02.01.01.01,Em Moeda Nacional,,,,
50,2.02.01.01.02,Em Moeda Estrangeira,,,,
51,2.02.01.02,Debêntures,,,,
52,2.02.01.03,Financiamento por Arrendamento Financeiro,,,,
53,2.02.02,Outras Obrigações,,,,
54,2.02.02.01,Passivos com Partes Relacionadas,,,,
55,2.02.02.01.01,Débitos com Coligadas,,,,
56,2.02.02.01.02,Débitos com Controladas,,,,
57,2.02.02.01.03,Débitos com Controladores,,,,
58,2.02.02.01.04,Débitos com Outras Partes Relacionadas,,,,
59,2.02.02.02,Outros,,,,
60,2.02.02.02.01,Obrigações por Pagamentos Baseados em Ações,,,,
61,2.02.02.02.02,Adiantamento para Futuro Aumento de Capital,,,,
62,2.02.03,Tributos Diferidos,473.000,370.000,,
63,2.02.03.01,Imposto de Renda e Contribuição Social Diferidos,473.000,370.000,,
64,2.02.04,Provisões,128.000,118.000,,
65,2.02.04.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,128.000,118.000,,
66,2.02.04.01.01,Provisões Fiscais,,,,
67,2.02.04.01.02,Provisões Previdenciárias e Trabalhistas,,,,
68,2.02.04.01.03,Provisões para Benefícios a Empregados,,,,
69,2.02.04.01.04,Provisões Cíveis,,,,
70,2.02.04.02,Outras Provisões,,,,
71,2.02.04.02.01,Provisões para Garantias,,,,
72,2.02.04.02.02,Provisões para Reestruturação,,,,
73,2.02.04.02.03,Provisões para Passivos Ambientais e de Desativação,,,,
