,Conta,Descrição,31/12/2013,31/12/2012,31/12/2011,01/01/2013 a 31/12/2013,01/01/2012 a 31/12/2012,01/01/2011 a 31/12/2011
0,1,Ativo Total,1.248.136,1.247.300,1.005.412,,,
1,1.01,Ativo Circulante,124.319,137.014,513.420,,,
2,1.01.01,Caixa e Equivalentes de Caixa,1.463,101.905,402.804,,,
3,1.01.02,Aplicações Financeiras,546,0,0,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,546,0,0,,,
5,1.01.02.01.01,Títulos para Negociação,,,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,,,
7,1.01.02.01.03,Caixa Restrito,546,0,0,,,
8,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
9,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,,,
10,1.01.03,Contas a Receber,33.707,22.543,61.123,,,
11,1.01.03.01,Clientes,,,,,,
12,1.01.03.02,Outras Contas a Receber,33.707,22.543,61.123,,,
13,1.01.04,Estoques,,,,,,
14,1.01.05,Ativos Biológicos,,,,,,
15,1.01.06,Tributos a Recuperar,22.548,12.426,4.096,,,
16,1.01.06.01,Tributos Correntes a Recuperar,22.548,12.426,4.096,,,
17,1.01.07,Despesas Antecipadas,505,140,0,,,
18,1.01.08,Outros Ativos Circulantes,65.550,0,45.397,,,
19,1.01.08.01,Ativos Não-Correntes a Venda,0,0,35.448,,,
20,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
21,1.01.08.03,Outros,65.550,0,9.949,,,
22,1.01.08.03.01,Dividendos a receber,65.550,0,9.949,,,
23,1.02,Ativo Não Circulante,1.123.817,1.110.286,491.992,,,
24,1.02.01,Ativo Realizável a Longo Prazo,731.225,733.285,75.708,,,
25,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,3.271,3.297,0,,,
26,1.02.01.01.01,Títulos para Negociação,,,,,,
27,1.02.01.01.02,Títulos Disponíveis para Venda,,,,,,
28,1.02.01.01.03,Caixa Restrito,3.271,3.297,0,,,
29,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0,24.486,53.903,,,
30,1.02.01.02.01,Títulos Mantidos até o Vencimento,0,24.486,53.903,,,
31,1.02.01.03,Contas a Receber,,,,,,
32,1.02.01.03.01,Clientes,,,,,,
33,1.02.01.03.02,Outras Contas a Receber,,,,,,
34,1.02.01.04,Estoques,,,,,,
35,1.02.01.05,Ativos Biológicos,,,,,,
36,1.02.01.06,Tributos Diferidos,3,1.330,0,,,
37,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,3,1.330,0,,,
38,1.02.01.07,Despesas Antecipadas,,,,,,
39,1.02.01.08,Créditos com Partes Relacionadas,727.232,700.185,17.235,,,
40,1.02.01.08.01,Créditos com Coligadas,,,,,,
41,1.02.01.08.02,Créditos com Controladas,723.608,582.561,17.235,,,
42,1.02.01.08.03,Créditos com Controladores,,,,,,
43,1.02.01.08.04,Créditos com Outras Partes Relacionadas,3.624,117.624,0,,,
44,1.02.01.09,Outros Ativos Não Circulantes,719,3.987,4.570,,,
45,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,,,
46,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,,,
47,1.02.01.09.03,Impostos a recuperar,5,3.987,4.570,,,
48,1.02.01.09.20,Outros Ativos,714,0,0,,,
49,1.02.02,Investimentos,392.592,377.001,416.284,,,
50,1.02.02.01,Participações Societárias,392.592,377.001,416.284,,,
51,1.02.02.01.01,Participações em Coligadas,,,,,,
52,1.02.02.01.02,Participações em Controladas,392.592,377.001,416.284,,,
53,1.02.02.01.03,Participações em Controladas em Conjunto,,,,,,
54,1.02.02.01.04,Outras Participações Societárias,,,,,,
55,1.02.02.02,Propriedades para Investimento,,,,,,
56,1.02.03,Imobilizado,,,,,,
