,Conta,Descrição,31/12/2010,31/12/2009,01/01/2009,01/01/2010 a 31/12/2010,01/01/2009 a 31/12/2009,01/01/2008 a 01/01/2009
0,1,Ativo Total,3.034.130,2.162.859,2.113.748,,,
1,1.01,Ativo Circulante,2.095.791,1.450.180,1.496.171,,,
2,1.01.01,Caixa e Equivalentes de Caixa,7.288,56.974,26.673,,,
3,1.01.02,Aplicações Financeiras,776.973,540.010,701.006,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,776.973,540.010,701.006,,,
5,1.01.02.01.01,Títulos para Negociação,,,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,,,
7,1.01.02.01.03,Títulos e valores mobiliários,776.973,540.010,701.006,,,
8,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
9,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,,,
10,1.01.03,Contas a Receber,650.087,272.265,346.826,,,
11,1.01.03.01,Clientes,650.087,272.265,346.826,,,
12,1.01.03.02,Outras Contas a Receber,,,,,,
13,1.01.04,Estoques,530.947,463.683,304.954,,,
14,1.01.04.01,Estoques,530.947,463.683,304.954,,,
15,1.01.05,Ativos Biológicos,,,,,,
16,1.01.06,Tributos a Recuperar,52.699,58.992,28.060,,,
17,1.01.06.01,Tributos Correntes a Recuperar,52.699,58.992,28.060,,,
18,1.01.06.01.01,Impostos a recuperar,52.699,58.992,28.060,,,
19,1.01.07,Despesas Antecipadas,17.813,12.394,25.052,,,
20,1.01.07.01,Despesas Antecipadas,17.813,12.394,25.052,,,
21,1.01.08,Outros Ativos Circulantes,59.984,45.862,63.600,,,
22,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
23,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
24,1.01.08.03,Outros,59.984,45.862,63.600,,,
25,1.01.08.03.01,Demais Contas a Receber,59.984,45.862,63.600,,,
26,1.02,Ativo Não Circulante,938.339,712.679,617.577,,,
27,1.02.01,Ativo Realizável a Longo Prazo,162.633,153.186,143.381,,,
28,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
29,1.02.01.01.01,Títulos para Negociação,,,,,,
30,1.02.01.01.02,Títulos Disponíveis para Venda,,,,,,
31,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
32,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,,,
33,1.02.01.03,Contas a Receber,0,3.833,4.999,,,
34,1.02.01.03.01,Clientes,,,,,,
35,1.02.01.03.02,Outras Contas a Receber,0,3.833,4.999,,,
36,1.02.01.04,Estoques,,,,,,
37,1.02.01.05,Ativos Biológicos,,,,,,
38,1.02.01.06,Tributos Diferidos,103.606,91.490,101.114,,,
39,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,103.606,91.490,101.114,,,
40,1.02.01.07,Despesas Antecipadas,,,,,,
41,1.02.01.08,Créditos com Partes Relacionadas,45.614,45.794,31.112,,,
42,1.02.01.08.01,Créditos com Coligadas,,,,,,
43,1.02.01.08.02,Créditos com Controladas,22.477,5.403,2.521,,,
44,1.02.01.08.03,Créditos com Controladores,23.137,40.391,28.591,,,
45,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,,,
46,1.02.01.09,Outros Ativos Não Circulantes,13.413,12.069,6.156,,,
47,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,,,
48,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,,,
49,1.02.01.09.03,Depósitos Judiciais,13.413,12.069,6.156,,,
50,1.02.02,Investimentos,40.772,29.970,22.303,,,
51,1.02.02.01,Participações Societárias,40.772,29.970,22.303,,,
52,1.02.02.01.01,Participações em Coligadas,,,,,,
53,1.02.02.01.02,Participações em Controladas,40.772,29.970,22.303,,,
54,1.02.02.01.03,Participações em Controladas em Conjunto,,,,,,
55,1.02.02.01.04,Outras Participações Societárias,,,,,,
56,1.02.02.02,Propriedades para Investimento,,,,,,
57,1.02.03,Imobilizado,122.471,88.011,75.316,,,
58,1.02.03.01,Imobilizado em Operação,122.471,88.011,75.316,,,
59,1.02.03.02,Imobilizado Arrendado,,,,,,
60,1.02.03.03,Imobilizado em Andamento,,,,,,
61,1.02.04,Intangível,568.433,381.093,299.227,,,
