,Conta,Descrição,31/12/2019,31/12/2018,01/01/2019 a 31/12/2019,01/01/2018 a 31/12/2018
0,1,Ativo Total,15.777.860,12.744.952,,
1,1.01,Ativo Circulante,9.083.971,6.702.438,,
2,1.01.01,Caixa e Equivalentes de Caixa,3.533.847,3.113.727,,
3,1.01.02,Aplicações Financeiras,2.719.116,1.717.267,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,2.719.116,1.717.267,,
5,1.01.02.01.01,Títulos para Negociação,,,,
6,1.01.02.01.02,Títulos Designados a Valor Justo,,,,
7,1.01.02.01.03,Titulos e Valores Mobiliarios,2.719.116,1.717.267,,
8,1.01.02.01.04,Outros ativos financeiros,,,,
9,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,,,,
10,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,
11,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
12,1.01.03,Contas a Receber,751.168,123.337,,
13,1.01.03.01,Clientes,751.168,123.337,,
14,1.01.03.02,Outras Contas a Receber,,,,
15,1.01.04,Estoques,888.168,841.257,,
16,1.01.05,Ativos Biológicos,,,,
17,1.01.06,Tributos a Recuperar,658.600,457.445,,
18,1.01.06.01,Tributos Correntes a Recuperar,658.600,457.445,,
19,1.01.07,Despesas Antecipadas,22.777,27.283,,
20,1.01.08,Outros Ativos Circulantes,510.295,422.122,,
21,1.01.08.01,Ativos Não-Correntes a Venda,,,,
22,1.01.08.02,Ativos de Operações Descontinuadas,,,,
23,1.01.08.03,Outros,510.295,422.122,,
24,1.01.08.03.01,Dividendos a receber,118,118,,
25,1.01.08.03.02,Demais contas a receber,510.177,422.004,,
26,1.02,Ativo Não Circulante,6.693.889,6.042.514,,
27,1.02.01,Ativo Realizável a Longo Prazo,2.929.458,2.576.112,,
28,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,224.775,0,,
29,1.02.01.01.01,Títulos Designados a Valor Justo,,,,
30,1.02.01.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,,,,
31,1.02.01.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
32,1.02.01.04,Contas a Receber,,,,
33,1.02.01.04.01,Clientes,,,,
34,1.02.01.04.02,Outras Contas a Receber,,,,
35,1.02.01.05,Estoques,,,,
36,1.02.01.05.03,Depósitos judiciais,,,,
37,1.02.01.05.04,Impostos a recuperar,,,,
38,1.02.01.05.05,Outros Ativos Não Circulantes,,,,
39,1.02.01.06,Ativos Biológicos,,,,
40,1.02.01.07,Tributos Diferidos,1.264.561,1.104.076,,
41,1.02.01.07.01,Imposto de Renda e Contribuição Social Diferidos,1.264.561,1.104.076,,
42,1.02.01.08,Despesas Antecipadas,,,,
43,1.02.01.09,Créditos com Partes Relacionadas,89.729,85.873,,
44,1.02.01.09.01,Créditos com Coligadas,,,,
45,1.02.01.09.02,Créditos com Controladas,89.729,44.860,,
46,1.02.01.09.03,Créditos com Controladores,0,41.013,,
47,1.02.01.09.04,Créditos com Outras Partes Relacionadas,,,,
48,1.02.01.10,Outros Ativos Não Circulantes,1.350.393,1.386.163,,
49,1.02.01.10.01,Ativos Não-Correntes a Venda,,,,
50,1.02.01.10.02,Ativos de Operações Descontinuadas,,,,
51,1.02.01.10.03,Depósitos judiciais,90.350,66.068,,
52,1.02.01.10.04,Impostos a recuperar,1.197.168,1.255.524,,
53,1.02.01.10.05,Outros Ativos Não Circulantes,62.875,64.571,,
54,1.02.02,Investimentos,682.608,589.750,,
55,1.02.02.01,Participações Societárias,682.608,589.750,,
56,1.02.02.01.01,Participações em Coligadas,,,,
57,1.02.02.01.02,Participações em Controladas,682.608,589.750,,
58,1.02.02.01.03,Participações em Controladas em Conjunto,,,,
59,1.02.02.01.04,Outros Investimentos,,,,
60,1.02.02.02,Propriedades para Investimento,,,,
61,1.02.03,Imobilizado,594.927,414.417,,
62,1.02.03.01,Imobilizado em Operação,384.131,414.417,,
63,1.02.03.02,Direito de Uso em Arrendamento,210.796,0,,
64,1.02.03.02.01,Ativo de Direito de Uso,210.796,0,,
65,1.02.03.03,Imobilizado em Andamento,,,,
66,1.02.04,Intangível,2.486.896,2.462.235,,
67,1.02.04.01,Intangíveis,2.486.896,2.462.235,,
68,1.02.04.01.01,Contrato de Concessão,,,,
69,2,Passivo Total,15.777.860,12.744.952,,
70,2.01,Passivo Circulante,4.491.222,2.897.306,,
71,2.01.01,Obrigações Sociais e Trabalhistas,38.361,36.477,,
