,Conta,Descrição,31/12/2019,31/12/2018,31/12/2017,01/01/2019 a 31/12/2019,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017
0,1,Ativo Total,40.652.767,38.221.034,38.209.478,,,
1,1.01,Ativo Circulante,9.547.343,6.578.955,7.119.974,,,
2,1.01.01,Caixa e Equivalentes de Caixa,391.934,291.812,698.806,,,
3,1.01.02,Aplicações Financeiras,8.229.811,5.664.195,5.569.778,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,7.720.361,5.088.328,5.569.778,,,
5,1.01.02.01.01,Títulos para Negociação,,,,,,
6,1.01.02.01.02,Títulos Designados a Valor Justo,7.374.939,5.063.489,5.235.746,,,
7,1.01.02.01.03,Títulos Disponíveis para Venda,0,0,324.651,,,
8,1.01.02.01.04,Instrumentos Financeiros Derivativos,345.422,24.839,9.381,,,
9,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,509.450,575.867,0,,,
10,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
11,1.01.03,Contas a Receber,330.912,318.378,273.861,,,
12,1.01.03.01,Clientes,330.912,318.378,273.861,,,
13,1.01.03.02,Outras Contas a Receber,,,,,,
14,1.01.04,Estoques,,,,,,
15,1.01.05,Ativos Biológicos,,,,,,
16,1.01.06,Tributos a Recuperar,464.719,228.163,482.399,,,
17,1.01.06.01,Tributos Correntes a Recuperar,464.719,228.163,482.399,,,
18,1.01.07,Despesas Antecipadas,96.075,43.471,40.617,,,
19,1.01.08,Outros Ativos Circulantes,33.892,32.936,54.513,,,
20,1.01.08.01,Ativos Não-Correntes a Venda,14.878,14.878,4.546,,,
21,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
22,1.01.08.03,Outros,19.014,18.058,49.967,,,
23,1.02,Ativo Não Circulante,31.105.424,31.642.079,31.089.504,,,
24,1.02.01,Ativo Realizável a Longo Prazo,2.226.936,2.286.165,1.278.297,,,
25,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,105,257.284,920.894,,,
26,1.02.01.01.01,Títulos Designados a Valor Justo,105,257.284,920.894,,,
27,1.02.01.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,1.866.879,1.653.106,0,,,
28,1.02.01.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,64.594,0,0,,,
29,1.02.01.04,Contas a Receber,,,,,,
30,1.02.01.04.01,Clientes,,,,,,
31,1.02.01.04.02,Outras Contas a Receber,,,,,,
32,1.02.01.05,Estoques,,,,,,
33,1.02.01.06,Ativos Biológicos,,,,,,
34,1.02.01.07,Tributos Diferidos,,,,,,
35,1.02.01.07.01,Imposto de Renda e Contribuição Social Diferidos,,,,,,
36,1.02.01.08,Despesas Antecipadas,20.725,12.396,10.972,,,
37,1.02.01.09,Créditos com Partes Relacionadas,,,,,,
38,1.02.01.09.01,Créditos com Coligadas,,,,,,
39,1.02.01.09.02,Créditos com Controladas,,,,,,
40,1.02.01.09.03,Créditos com Controladores,,,,,,
41,1.02.01.09.04,Créditos com Outras Partes Relacionadas,,,,,,
42,1.02.01.10,Outros Ativos Não Circulantes,274.633,363.379,346.431,,,
43,1.02.01.10.01,Ativos Não-Correntes a Venda,,,,,,
44,1.02.01.10.02,Ativos de Operações Descontinuadas,,,,,,
45,1.02.01.10.03,Depósito Judicial,274.633,363.379,346.431,,,
46,1.02.01.10.04,Outros,,,,,,
47,1.02.02,Investimentos,1.830.502,1.596.286,1.348.498,,,
48,1.02.02.01,Participações Societárias,1.830.502,1.596.286,1.348.498,,,
49,1.02.02.01.01,Participações em Coligadas,22.660,19.510,17.363,,,
50,1.02.02.01.02,Participações em Controladas,1.807.842,1.576.776,1.331.135,,,
51,1.02.02.01.03,Participações em Controladas em Conjunto,,,,,,
52,1.02.02.01.04,Outros Investimentos,,,,,,
53,1.02.02.02,Propriedades para Investimento,,,,,,
54,1.02.03,Imobilizado,679.880,625.598,571.088,,,
55,1.02.03.01,Imobilizado em Operação,639.147,607.215,560.465,,,
56,1.02.03.02,Direito de Uso em Arrendamento,,,,,,
57,1.02.03.03,Imobilizado em Andamento,40.733,18.383,10.623,,,
58,1.02.04,Intangível,26.368.106,27.134.030,27.891.621,,,
59,1.02.04.01,Intangíveis,26.368.106,27.134.030,27.891.621,,,
60,1.02.04.01.01,Contrato de Concessão,,,,,,
61,1.02.04.01.02,Ágio,22.338.799,22.338.799,22.338.876,,,
62,1.02.04.01.03,"Softwares, Projetos e outros",4.029.307,4.795.231,5.552.745,,,
63,1.02.04.01.04,Relações Contratuais,,,,,,
64,1.02.04.01.05,Marcas,,,,,,
65,2,Passivo Total,40.652.767,38.221.034,38.209.478,,,
66,2.01,Passivo Circulante,7.680.989,6.469.185,5.064.241,,,
67,2.01.01,Obrigações Sociais e Trabalhistas,,,,,,
68,2.01.01.01,Obrigações Sociais,,,,,,
69,2.01.01.02,Obrigações Trabalhistas,,,,,,
70,2.01.02,Fornecedores,178.030,188.655,133.113,,,
71,2.01.02.01,Fornecedores Nacionais,178.030,188.655,133.113,,,
72,2.01.02.02,Fornecedores Estrangeiros,,,,,,
73,2.01.03,Obrigações Fiscais,290.507,116.194,169.048,,,
74,2.01.03.01,Obrigações Fiscais Federais,290.507,116.194,169.048,,,
75,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,163.762,0,41.670,,,
76,2.01.03.01.02,Impostos e Contribuições a Recolher,126.745,116.194,127.378,,,
77,2.01.03.02,Obrigações Fiscais Estaduais,,,,,,
78,2.01.03.03,Obrigações Fiscais Municipais,,,,,,
79,2.01.04,Empréstimos e Financiamentos,2.806.345,3.171.823,1.631.472,,,
80,2.01.04.01,Empréstimos e Financiamentos,2.797.808,1.667.057,118.305,,,
81,2.01.04.01.01,Em Moeda Nacional,7.502,3.380,3.157,,,
82,2.01.04.01.02,Em Moeda Estrangeira,2.790.306,1.663.677,115.148,,,
83,2.01.04.02,Debêntures,8.537,1.504.766,1.513.167,,,
84,2.01.04.03,Financiamento por Arrendamento,,,,,,
85,2.01.05,Outras Obrigações,4.406.107,2.992.513,3.130.608,,,
86,2.01.05.01,Passivos com Partes Relacionadas,,,,,,
87,2.01.05.01.01,Débitos com Coligadas,,,,,,
88,2.01.05.01.02,Débitos com Controladas,,,,,,
89,2.01.05.01.03,Débitos com Controladores,,,,,,
90,2.01.05.01.04,Débitos com Outras Partes Relacionadas,,,,,,
91,2.01.05.02,Outros,4.406.107,2.992.513,3.130.608,,,
92,2.01.05.02.01,Dividendos e JCP a Pagar,676.224,370.203,464.063,,,
93,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,,,,,,
94,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,,,,,,
95,2.01.05.02.04,Garantias Recebidas em Operações,3.013.447,2.110.933,2.171.449,,,
96,2.01.05.02.05,Proventos e Direitos sobre Títulos em Custódia,69.897,59.850,63.127,,,
97,2.01.05.02.06,Obrigações Salariais e Encargos Sociais,393.862,325.385,267.378,,,
