,Conta,Descrição,31/12/2017,31/12/2016,31/12/2015,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016,01/01/2015 a 31/12/2015
0,1,Ativo Total,58.938,36.243,37.409,,,
1,1.01,Ativo Circulante,31.726,33.79,36.889,,,
2,1.01.01,Caixa e Equivalentes de Caixa,31.133000000000003,29.685,32.556999999999995,,,
3,1.01.02,Aplicações Financeiras,,,,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
5,1.01.02.01.01,Títulos para Negociação,,,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
8,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,,,
9,1.01.03,Contas a Receber,,,,,,
10,1.01.03.01,Clientes,,,,,,
11,1.01.03.02,Outras Contas a Receber,,,,,,
12,1.01.04,Estoques,,,,,,
13,1.01.05,Ativos Biológicos,,,,,,
14,1.01.06,Tributos a Recuperar,320.0,4.098,4.325,,,
15,1.01.06.01,Tributos Correntes a Recuperar,320.0,4.098,4.325,,,
16,1.01.07,Despesas Antecipadas,,,,,,
17,1.01.08,Outros Ativos Circulantes,273.0,7.0,7.0,,,
18,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
19,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
20,1.01.08.03,Outros,,,,,,
21,1.02,Ativo Não Circulante,27.212,2.4530000000000003,520.0,,,
22,1.02.01,Ativo Realizável a Longo Prazo,5.58,1.5830000000000002,487.0,,,
23,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
24,1.02.01.01.01,Títulos para Negociação,,,,,,
25,1.02.01.01.02,Títulos Disponíveis para Venda,,,,,,
26,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
27,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,,,
28,1.02.01.03,Contas a Receber,,,,,,
29,1.02.01.03.01,Clientes,,,,,,
30,1.02.01.03.02,Outras Contas a Receber,,,,,,
31,1.02.01.04,Estoques,,,,,,
32,1.02.01.05,Ativos Biológicos,,,,,,
33,1.02.01.06,Tributos Diferidos,,,,,,
34,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,,,,,,
35,1.02.01.07,Despesas Antecipadas,,,,,,
36,1.02.01.08,Créditos com Partes Relacionadas,,,,,,
37,1.02.01.08.01,Créditos com Coligadas,,,,,,
38,1.02.01.08.02,Créditos com Controladas,,,,,,
39,1.02.01.08.03,Créditos com Controladores,,,,,,
40,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,,,
41,1.02.01.09,Outros Ativos Não Circulantes,5.58,1.5830000000000002,487.0,,,
