,Conta,Descrição,31/12/2018,31/12/2017,31/12/2016,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016
0,1,Ativo Total,12.829.328,12.089.970,11.801.817,,,
1,1.01,Ativo Circulante,8.440.051,7.631.873,8.273.637,,,
2,1.01.01,Disponibilidades,2.834,2.694,857,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,2.289.902,988.163,2.750.946,,,
4,1.01.02.01,Aplicações no Mercado Aberto,682.987,297.456,635.103,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,1.606.915,690.707,2.115.843,,,
6,1.01.03,Títulos e Valores Mobiliários,3.921.433,3.849.721,3.765.508,,,
7,1.01.03.01,Carteira Própria,3.059.925,2.073.564,2.016.159,,,
8,1.01.03.02,Vinculados a Compromissos de Recompra,774.063,1.651.757,1.603.712,,,
9,1.01.03.03,Vinculados ao Banco Central,,,,,,
10,1.01.03.04,Vinculados a Prestação de Garantias,85.817,123.847,145.439,,,
11,1.01.03.05,Instrumentos Financeiros Derivativos,1.628,553,198,,,
12,1.01.04,Relações Interfinanceiras,101.425,6.169,0,,,
13,1.01.04.01,Pagamentos e Recebimentos a Liquidar,3.337,0,0,,,
14,1.01.04.02,Repasses Interfinanceiros,98.088,6.169,0,,,
15,1.01.05,Relações Interdependências,,,,,,
16,1.01.06,Operações de Crédito,1.255.821,2.053.380,1.282.880,,,
17,1.01.06.01,Carteira - Setor Público,,,,,,
18,1.01.06.02,Carteira - Setor Privado,1.267.899,2.070.479,1.288.855,,,
19,1.01.06.03,Operações de Crédito Vinculadas a Cessão,0,0,14.002,,,
20,1.01.06.04,(Provisão para Créditos de Liquidação Duvidosa),-12.078,-17.099,-19.977,,,
21,1.01.07,Operações de Arrendamento Mercantil,,,,,,
22,1.01.07.01,Carteira - Setor Público,,,,,,
23,1.01.07.02,Carteira - Setor Privado,,,,,,
24,1.01.07.03,(Provisão para Créditos de Liquidação Duvidosa),,,,,,
25,1.01.08,Outros Créditos,867.068,731.304,472.969,,,
26,1.01.08.01,Carteira de Câmbio,97.397,156.576,137.586,,,
27,1.01.08.02,Rendas a Receber,4.129,2.950,4.547,,,
28,1.01.08.03,Negociação e Intermediação de Valores,980,572,204,,,
29,1.01.08.04,Diversos,778.586,585.073,334.729,,,
30,1.01.08.05,(Provisão para Outros Créditos de Liquidação Duvidosa),-14.024,-13.867,-4.097,,,
31,1.01.09,Outros Valores e Bens,1.568,442,477,,,
