,Conta,Descrição,31/12/2019,31/12/2018,31/12/2017,01/01/2019 a 31/12/2019,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017
0,1,Ativo Total,11.887.333,12.829.328,12.089.970,,,
1,1.01,Ativo Circulante,7.764.454,8.440.051,7.631.873,,,
2,1.01.01,Disponibilidades,2.303,2.834,2.694,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,2.957.140,2.289.902,988.163,,,
4,1.01.02.01,Aplicações no Mercado Aberto,556.999,682.987,297.456,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,2.400.141,1.606.915,690.707,,,
6,1.01.03,Títulos e Valores Mobiliários,2.512.742,3.921.433,3.849.721,,,
7,1.01.03.01,Carteira Própria,1.311.449,3.059.925,2.073.564,,,
8,1.01.03.02,Vinculados a Compromissos de Recompra,1.092.087,774.063,1.651.757,,,
9,1.01.03.03,Vinculados ao Banco Central,,,,,,
10,1.01.03.04,Vinculados a Prestação de Garantias,87.289,85.817,123.847,,,
11,1.01.03.05,Instrumentos Financeiros Derivativos,21.917,1.628,553,,,
12,1.01.04,Relações Interfinanceiras,235.661,101.425,6.169,,,
13,1.01.04.01,Pagamentos e Recebimentos a Liquidar,204.275,3.337,0,,,
14,1.01.04.02,Repasses Interfinanceiros,31.386,98.088,6.169,,,
15,1.01.05,Relações Interdependências,,,,,,
16,1.01.06,Operações de Crédito,1.060.014,1.255.821,2.053.380,,,
17,1.01.06.01,Carteira - Setor Público,,,,,,
18,1.01.06.02,Carteira - Setor Privado,1.068.386,1.267.899,2.070.479,,,
19,1.01.06.03,Operações de Crédito Vinculadas a Cessão,,,,,,
20,1.01.06.04,(Provisão para Créditos de Liquidação Duvidosa),-8.372,-12.078,-17.099,,,
21,1.01.07,Operações de Arrendamento Mercantil,,,,,,
22,1.01.07.01,Carteira - Setor Público,,,,,,
23,1.01.07.02,Carteira - Setor Privado,,,,,,
24,1.01.07.03,(Provisão para Créditos de Liquidação Duvidosa),,,,,,
25,1.01.08,Outros Créditos,971.974,867.068,731.304,,,
26,1.01.08.01,Carteira de Câmbio,85.475,97.397,156.576,,,
27,1.01.08.02,Rendas a Receber,3.979,4.129,2.950,,,
28,1.01.08.03,Negociação e Intermediação de Valores,160,980,572,,,
29,1.01.08.04,Diversos,898.940,778.586,585.073,,,
30,1.01.08.05,(Provisão para Outros Créditos de Liquidação Duvidosa),-16.580,-14.024,-13.867,,,
31,1.01.09,Outros Valores e Bens,24.620,1.568,442,,,
32,1.01.09.01,Outros Valores e Bens,8.635,1.166,46,,,
33,1.01.09.02,(Provisão para Desvalorização),,,,,,
34,1.01.09.03,Despesas Antecipadas,15.985,402,396,,,
35,1.02,Ativo Realizável a Longo Prazo,3.189.473,3.471.884,3.574.029,,,
36,1.02.01,Aplicações Interfinanceiras de Liquidez,1.785.789,2.075.535,2.658.533,,,
37,1.02.01.01,Aplicações em Depósitos Interfinanceiros,1.785.789,2.075.535,2.658.533,,,
38,1.02.02,Títulos e Valores Mobiliários,303.385,440.245,138.932,,,
39,1.02.02.01,Carteira Própria,254.836,359.811,138.501,,,
40,1.02.02.02,Vinculados a Compromissos de Recompra,44.930,68.484,0,,,
41,1.02.02.03,Vinculados a Prestação de Garantias,,,,,,
42,1.02.02.04,Instrumentos Financeiros Derivativos,3.619,11.950,431,,,
