,Conta,Descrição,31/12/2018,31/12/2017,31/12/2016,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016
0,1,Ativo Total,1.112.201.445,1.053.117.128,1.081.616.451,,,
1,1.01,Ativo Circulante,592.819.158,539.676.344,523.119.746,,,
2,1.01.01,Disponibilidades,18.931.103,14.738.357,14.283.454,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,190.849.411,197.288.212,221.412.529,,,
4,1.01.02.01,Aplicações no Mercado Aberto,96.206.082,144.359.244,169.631.180,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,94.645.697,52.934.861,51.781.349,,,
6,1.01.02.05,Provisões para Perdas,-2.368,-5.893,0,,,
7,1.01.03,Títulos e Valores Mobiliários,115.617.280,94.259.311,63.156.422,,,
8,1.01.03.01,Carteira Própria,17.380.486,26.432.962,23.896.136,,,
9,1.01.03.02,Vinculados a Compromissos de Recompra,72.697.680,45.754.467,16.088.021,,,
10,1.01.03.03,Instrumentos Financeiros Derivativos,13.157.791,13.143.479,15.614.387,,,
11,1.01.03.04,Vinculados ao Banco Central,0,0,53.844,,,
12,1.01.03.06,Vinculados à Prestação de Garantias,8.204.316,8.339.569,5.620.230,,,
13,1.01.03.07,Títulos Objeto de Operações Compromissadas com Livre Movimentação,4.177.007,588.834,1.883.804,,,
14,1.01.04,Relações Interfinanceiras,91.558.918,66.725.598,57.998.881,,,
15,1.01.04.01,Pagamentos e Recebimentos a Liquidar,4.012.910,65.320,22.015,,,
16,1.01.04.02,Depósitos no Banco Central,87.525.291,66.637.298,57.960.496,,,
17,1.01.04.05,SFH - Sistema Financeiro da Habitação,19.887,21.760,14.388,,,
18,1.01.04.07,Correspondentes,830,1.220,1.982,,,
19,1.01.05,Relações Interdependências,143.826,262.739,156.433,,,
20,1.01.05.02,Transferências Internas de Recursos,143.826,262.739,156.433,,,
21,1.01.06,Operações de Crédito,108.618.616,104.809.579,117.514.883,,,
22,1.01.06.01,Setor Público,38.882,158.168,311.129,,,
23,1.01.06.02,Setor Privado,122.396.321,119.232.300,133.047.172,,,
24,1.01.06.03,Operações de Crédito Vinculadas a Cessão,909.392,1.031.500,806.649,,,
25,1.01.06.04,Provisão para Operações de Crédito de Liquidação Duvidosa,-14.725.979,-15.612.389,-16.650.067,,,
26,1.01.07,Operações de Arrendamento Mercantil,-51,-78,-151,,,
27,1.01.07.02,Setor Privado,95,242,145,,,
28,1.01.07.03,Rendas a Apropriar de Arrendamento Mercantil,-85,-224,-145,,,
