,Conta,Descrição,31/12/2010,31/12/2009,01/01/2010 a 31/12/2010,01/01/2009 a 31/12/2009
0,1,Ativo Total,46.459.797,19.351.990,,
1,1.01,Ativo Circulante,41.887.544,16.598.375,,
2,1.01.01,Disponibilidades,1.905,2.010,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,18.277.449,10.649.836,,
4,1.01.02.01,Aplicações no mercado aberto,18.191.792,10.574.990,,
5,1.01.02.02,Aplicações em depósitos interfinanceiros,85.657,74.846,,
6,1.01.03,Títulos e Valores Mobiliários,16.170.533,3.654.886,,
7,1.01.03.01,Carteira própria,6.997.072,2.367.489,,
8,1.01.03.02,Vinculados a compromissos de recompra,6.906.033,343.151,,
9,1.01.03.03,Instrumentos financeiros derivativos,1.026.511,386.627,,
10,1.01.03.04,Vinculados à prestação de garantias,1.240.917,557.619,,
11,1.01.04,Relações Interfinanceiras,99.740,25.639,,
12,1.01.04.01,Créditos vinculados - Depósitos no Banco Central,99.709,25.617,,
13,1.01.04.02,Correspondentes,31,22,,
14,1.01.05,Relações Interdependências,,,,
15,1.01.06,Operações de Crédito,1.333.706,719.856,,
16,1.01.06.01,Operações de crédito - setor privado,1.361.010,776.088,,
17,1.01.06.02,Provisão para perdas em operações de crédito,-27.304,-56.232,,
18,1.01.07,Operações de Arrendamento Mercantil,,,,
19,1.01.08,Outros Créditos,5.961.706,1.544.594,,
20,1.01.08.01,Carteira de câmbio,4.304.283,706.554,,
21,1.01.08.02,Rendas a receber,68.693,130.991,,
22,1.01.08.03,Negociação e intermediação de valores,832.942,272.587,,
23,1.01.08.04,Diversos,756.637,436.197,,
24,1.01.08.05,Provisão para perdas em outros créditos,-849,-1.735,,
25,1.01.09,Outros Valores e Bens,42.505,1.554,,
26,1.01.09.01,Outros valores e bens,18.541,170,,
27,1.01.09.02,Investimentos temporários,21.682,0,,
28,1.01.09.03,Despesas antecipadas,2.282,1.384,,
29,1.02,Ativo Realizável a Longo Prazo,2.900.351,1.862.407,,
30,1.02.01,Aplicações Interfinanceiras de Liquidez,,,,
31,1.02.02,Títulos e Valores Mobiliários,7.631,41.689,,
32,1.02.02.01,Instrumentos financeiros derivativos,7.631,41.689,,
33,1.02.03,Relações Interfinanceiras,34.406,0,,
34,1.02.03.01,SFH - Sistema Financeiro da Habitação,34.406,0,,
35,1.02.04,Relações Interdependências,,,,
36,1.02.05,Operações de Crédito,1.452.715,641.189,,
37,1.02.05.01,Operações de crédito - setor privado,1.505.749,668.268,,
38,1.02.05.02,Provisão para perdas em operação de crédito,-53.034,-27.079,,
39,1.02.06,Operações de Arrendamento Mercantil,,,,
40,1.02.07,Outros Créditos,1.405.599,1.179.529,,
41,1.02.07.01,Carteira de câmbio,56.036,19.978,,
42,1.02.07.02,Negociação e intermediação de valores,100,62,,
43,1.02.07.03,Diversos,1.379.779,1.209.506,,
44,1.02.07.04,Provisão para perdas em outros créditos,-30.316,-50.017,,
45,1.02.08,Outros Valores e Bens,,,,
46,1.03,Ativo Permanente,1.671.902,891.208,,
47,1.03.01,Investimentos,1.446.311,843.445,,
48,1.03.01.01,Dependências no Exterior,648.532,454.234,,
49,1.03.01.02,Participações em Controladas,794.502,386.620,,
50,1.03.01.02.01,Participações em Controladas - no país,794.502,386.620,,
51,1.03.01.03,Participações em Coligadas e Equiparadas,,,,
52,1.03.01.04,Outros Investimentos,6.144,5.458,,
53,1.03.01.04.01,Outros investimentos,6.144,5.458,,
54,1.03.01.05,Provisão para Perdas,-2.867,-2.867,,
55,1.03.01.05.01,Provisão para perdas,-2.867,-2.867,,
56,1.03.02,Imobilizado de Uso,194.726,26.401,,
57,1.03.02.01,Outras imobilizações de uso,219.679,45.415,,
58,1.03.02.02,Depreciações acumuladas,-24.953,-19.014,,
59,1.03.03,Imobilizado de Arrendamento,,,,
60,1.03.04,Intangível,15.518,2.494,,
61,1.03.04.01,Outros ativos intangíveis,17.201,2.773,,
62,1.03.04.02,Amortização acumulada,-1.683,-279,,
63,1.03.05,Diferido,15.347,18.868,,
64,1.03.05.01,Gastos com organização e expansão,28.703,28.703,,
65,1.03.05.02,Amortização acumulada,-13.356,-9.835,,
66,2,Passivo Total,46.459.797,19.351.990,,
67,2.01,Passivo Circulante,38.921.155,14.634.169,,
68,2.01.01,Depósitos,6.263.845,3.129.115,,
69,2.01.01.01,Depósitos à vista,214.737,67.066,,
70,2.01.01.02,Depósitos interfinanceiros - ligadas,348.252,276.570,,
71,2.01.01.03,Depósitos interfinanceiros,338.891,217.776,,
72,2.01.01.04,Depósitos à prazo,5.349.135,2.560.215,,
73,2.01.01.05,Outros depósitos,12.830,7.488,,
74,2.01.02,Captações no Mercado Aberto,24.549.546,8.902.543,,
75,2.01.02.01,Carteira própria,6.778.680,340.975,,
76,2.01.02.02,Carteira de terceiros,7.382.102,6.980.090,,
77,2.01.02.03,Carteira de livre movimentação,10.388.764,1.581.478,,
78,2.01.03,Recursos de Aceites e Emissão de Títulos,1.227.339,323.916,,
79,2.01.03.01,Recursos de letras imobiliárias,1.227.339,323.916,,
80,2.01.04,Relações Interfinanceiras,1,1,,
81,2.01.04.01,Recebimentos e pagamentos a liquidar,1,1,,
82,2.01.05,Relações Interdependências,,,,
83,2.01.06,Obrigações por Empréstimos,470.256,7.655,,
84,2.01.06.01,Empréstimos no exterior,470.256,7.655,,
85,2.01.07,Obrigações por Repasse do País,55.653,323,,
86,2.01.07.01,FINAME,55.653,323,,
87,2.01.08,Obrigações por Repasse do Exterior,,,,
88,2.01.09,Outras Obrigações,6.354.515,2.270.616,,
89,2.01.09.01,Instrumentos financeiros derivativos,1.084.837,377.617,,
90,2.01.09.02,Cobrança e arrecadação e assemelhados,19.265,2.915,,
91,2.01.09.03,Carteira de câmbio,4.240.523,744.270,,
92,2.01.09.04,Sociais e estatutárias,175.660,159.289,,
93,2.01.09.05,Fiscais e previdenciárias,15.455,286.864,,
94,2.01.09.06,Negociação e intermediação de valores,767.824,670.295,,
95,2.01.09.07,Diversas,50.951,29.366,,
96,2.02,Passivo Exigível a Longo Prazo,1.911.759,1.464.924,,
97,2.02.01,Depósitos,1.158.736,1.248.144,,
98,2.02.01.01,Depósitos a prazo,1.158.736,1.248.144,,
99,2.02.02,Captações no Mercado Aberto,,,,
100,2.02.03,Recursos de Aceites e Emissão de Títulos,72.140,6.294,,
101,2.02.03.01,Recursos de letras imobiliárias,72.140,6.294,,
102,2.02.04,Relações Interfinanceiras,,,,
103,2.02.05,Relações Interdependências,,,,
104,2.02.06,Obrigações por Empréstimos,,,,
105,2.02.07,Obrigações por Repasse do País,44.447,0,,
106,2.02.07.01,FINAME,44.447,0,,
107,2.02.08,Obrigações por Repasse do Exterior,,,,
108,2.02.09,Outras Obrigações,636.436,210.486,,
109,2.02.09.01,Instrumentos financeiros derivativos,99.696,76.382,,
