,Conta,Descrição,31/12/2012,31/12/2011,31/12/2010,01/01/2012 a 31/12/2012,01/01/2011 a 31/12/2011,01/01/2010 a 31/12/2010
0,1,Ativo Total,86.720.231,58.252.723,46.459.797,,,
1,1.01,Ativo Circulante,72.857.865,47.648.957,41.887.544,,,
2,1.01.01,Disponibilidades,188.402,435.144,1.905,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,24.290.470,15.250.366,18.277.449,,,
4,1.01.02.01,Aplicações no mercado aberto,22.380.445,14.306.589,18.191.792,,,
5,1.01.02.02,Aplicações em depósitos interfinanceiros,1.910.025,943.777,85.657,,,
6,1.01.03,Títulos e Valores Mobiliários,38.997.680,25.641.754,16.170.533,,,
7,1.01.03.01,Carteira própria,22.361.124,15.442.199,6.997.072,,,
8,1.01.03.02,Vinculados a compromissos de recompra,9.191.601,6.765.572,6.906.033,,,
9,1.01.03.03,Instrumentos financeiros derivativos,6.004.493,2.663.672,1.026.511,,,
10,1.01.03.04,Vinculados à prestação de garantias,1.338.865,757.751,1.240.917,,,
11,1.01.03.05,Títulos objeto de operações compromissadas de livre movimentação,48.082,12.560,0,,,
12,1.01.03.06,Vinculados ao Banco Central,53.515,0,0,,,
13,1.01.04,Relações Interfinanceiras,473.130,874.878,99.740,,,
14,1.01.04.01,Créditos vinculados - Depósitos no Banco Central,472.502,874.053,99.709,,,
15,1.01.04.02,Correspondentes,628,825,31,,,
16,1.01.05,Relações Interdependências,,,,,,
17,1.01.06,Operações de Crédito,3.082.188,2.740.457,1.333.706,,,
18,1.01.06.01,Operações de crédito - setor privado,3.065.658,2.782.689,1.361.010,,,
19,1.01.06.02,Provisão para perdas em operações de crédito,-139.283,-42.232,-27.304,,,
20,1.01.06.03,Operações de crédito cedidas,155.813,0,0,,,
21,1.01.07,Operações de Arrendamento Mercantil,,,,,,
22,1.01.08,Outros Créditos,5.804.749,2.681.244,5.961.706,,,
23,1.01.08.01,Carteira de câmbio,1.952.190,145.565,4.304.283,,,
24,1.01.08.02,Rendas a receber,128.642,102.309,68.693,,,
25,1.01.08.03,Negociação e intermediação de valores,1.910.006,982.054,832.942,,,
26,1.01.08.04,Diversos,1.861.556,1.457.587,756.637,,,
27,1.01.08.05,Provisão para perdas em outros créditos,-47.823,-6.271,-849,,,
28,1.01.08.06,Créditos por avais ou Fianças,178,0,0,,,
29,1.01.09,Outros Valores e Bens,21.246,25.114,42.505,,,
30,1.01.09.01,Outros valores e bens,20.467,18.591,18.541,,,
31,1.01.09.02,Investimentos temporários,0,0,21.682,,,
32,1.01.09.03,Despesas antecipadas,11.459,6.523,2.282,,,
33,1.01.09.04,Provisão para desvalorização,-10.680,0,0,,,
34,1.02,Ativo Realizável a Longo Prazo,6.491.161,5.843.615,2.900.351,,,
35,1.02.01,Aplicações Interfinanceiras de Liquidez,873.021,1.592.320,0,,,
