,Conta,Descrição,31/12/2015,31/12/2014,31/12/2013,01/01/2015 a 31/12/2015,01/01/2014 a 31/12/2014,01/01/2013 a 31/12/2013
0,1,Ativo Total,12.083.092,12.418.434,11.330.107,,,
1,1.01,Ativo Circulante,4.688.050,5.730.271,6.017.764,,,
2,1.01.01,Disponibilidades,37.685,50.478,56.554,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,421.876,548.627,1.206.875,,,
4,1.01.02.01,Aplicações no Mercado Aberto,309.995,337.998,964.997,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,148.148,246.896,278.145,,,
6,1.01.02.03,(Provisões para Perdas),-36.267,-36.267,-36.267,,,
7,1.01.03,Títulos e Valores Mobiliários,1.472.960,2.602.573,2.929.198,,,
8,1.01.03.01,Carteira Própria,1.372.793,2.291.840,2.893.105,,,
9,1.01.03.02,Vinculados a Compromissos de Recompra,100.167,310.733,34.130,,,
10,1.01.03.03,Vinculados à Prestação de Garantias,0,0,1.963,,,
11,1.01.04,Relações Interfinanceiras,250.509,355.318,368.777,,,
12,1.01.04.01,Pagamentos e Recebimentos a Liquidar,1.381,3.306,5.340,,,
13,1.01.04.02,Créditos Vinculados - Depósitos no Bacen,249.105,352.001,363.259,,,
14,1.01.04.03,Créditos Vinculados - SFH,23,11,178,,,
15,1.01.05,Relações Interdependências,1.154,510,2.055,,,
16,1.01.06,Operações de Crédito,2.207.648,1.833.178,1.235.588,,,
17,1.01.06.01,Operações de Crédito - Setor Público,152.155,221.543,33.676,,,
18,1.01.06.02,Operações de Crédito - Setor Privado,2.194.719,1.667.793,1.249.265,,,
19,1.01.06.03,(Provisões para operações de Crédito),-139.226,-56.158,-47.353,,,
20,1.01.07,Operações de Arrendamento Mercantil,,,,,,
21,1.01.08,Outros Créditos,295.284,339.005,217.264,,,
22,1.01.08.01,Carteira de Cambio,48.394,27.444,28.013,,,
23,1.01.08.02,Rendas a Receber,59.783,56.623,52.687,,,
24,1.01.08.03,Devedores por Compra de Valores e Bens,230,958,1.239,,,
25,1.01.08.04,Devedores por Depósitos em Garantia,46.824,44.748,42.348,,,
26,1.01.08.05,Títulos e Créditos a Receber,1.244,29.100,14.511,,,
27,1.01.08.06,Pagamentos a Ressarcir,11.576,18.236,22.291,,,
28,1.01.08.07,Créditos Tributários - IR/CS,106.512,109.178,60.419,,,
29,1.01.08.08,Impostos e Contribuições a Compensar,14,25,39,,,
30,1.01.08.09,Diversos,20.855,57.588,9.282,,,
31,1.01.08.10,(Provisão para Outros Créditos),-225,-4.914,-13.571,,,
32,1.01.08.11,Negociação e Intermediação de Valores,77,19,6,,,
33,1.01.09,Outros Valores e Bens,934,582,1.453,,,
34,1.01.09.01,Outros Valores e Bens,1.587,1.158,1.033,,,
35,1.01.09.02,(Provisão para Desvalorização),-670,-670,-163,,,
36,1.01.09.03,Despesas Antecipadas,17,94,583,,,
37,1.02,Ativo Realizável a Longo Prazo,7.120.436,6.428.777,5.065.445,,,
38,1.02.01,Aplicações Interfinanceiras de Liquidez,,,,,,
39,1.02.02,Títulos e Valores Mobiliários,4.578.585,4.242.330,3.061.250,,,
40,1.02.02.01,Carteira Própria,4.556.683,4.163.593,3.048.243,,,
41,1.02.02.02,Vinculados a Compromissos de Recompra,,,,,,
42,1.02.02.03,Vinculados ao Banco Central,,,,,,
43,1.02.02.04,Vinculados a Prestação de Garantias,21.902,78.737,13.007,,,
44,1.02.03,Relações Interfinanceiras,12.569,12.569,12.569,,,
45,1.02.03.01,Créditos Vinculados - SFH,12.569,12.569,12.569,,,
46,1.02.04,Relações Interdependências,,,,,,
47,1.02.05,Operações de Crédito,1.549.036,1.288.400,1.135.695,,,
48,1.02.05.01,Operações de Crédito - Setor Público,248.711,266.323,469.356,,,
49,1.02.05.02,Operações de Crédito - Setor Privado,1.339.234,1.044.835,690.074,,,
50,1.02.05.03,(Provisão para Operações de Crédito),-38.909,-22.758,-23.735,,,
51,1.02.06,Operações de Arrendamento Mercantil,,,,,,
52,1.02.07,Outros Créditos,980.246,885.478,855.931,,,
53,1.02.07.01,Rendas a Receber,,,,,,
54,1.02.07.02,Pagamentos a Ressarcir,,,,,,
55,1.02.07.03,Créditos Tributários de IR/CS,958.284,885.070,832.404,,,
56,1.02.07.04,Devedores por Compra de Valores e Bens,257,408,1.823,,,
57,1.02.07.05,Devedores por Depósito em Garantia,,,,,,
58,1.02.07.06,Titulos e Créditos a Receber,21.705,0,21.705,,,
59,1.02.07.07,Diversos,,,,,,
60,1.02.07.08,(Provisão para Outros Créditos),0,0,-1,,,
61,1.02.08,Outros Valores e Bens,,,,,,
62,1.02.08.01,Despesas Antecipadas,,,,,,
63,1.03,Ativo Permanente,274.606,259.386,246.898,,,
64,1.03.01,Investimentos,267,267,267,,,
65,1.03.01.01,Dependências no Exterior,,,,,,
66,1.03.01.02,Participações em Controladas,,,,,,
67,1.03.01.03,Participações em Coligadas e Equiparadas,,,,,,
68,1.03.01.04,Outros Investimentos,1.625,1.625,1.625,,,
69,1.03.01.05,Provisão para Perdas,-1.358,-1.358,-1.358,,,
70,1.03.02,Imobilizado de Uso,158.600,150.332,125.693,,,
71,1.03.02.01,Imóveis de Uso,56.685,52.178,47.421,,,
72,1.03.02.02,Outras Imobilizações de Uso,193.532,179.332,150.151,,,
73,1.03.02.03,Reavaliações de Imóveis de Uso,48.029,48.029,48.045,,,
74,1.03.02.04,(Depreciações Acumuladas),-139.646,-129.207,-119.924,,,
75,1.03.03,Imobilizado de Arrendamento,,,,,,
76,1.03.04,Intangível,115.739,108.787,120.938,,,
77,1.03.04.01,Outros Ativos Intangíveis,208.132,185.969,183.596,,,
78,1.03.04.02,Amortizações Acumuladas,-92.393,-77.182,-62.658,,,
79,1.03.05,Diferido,,,,,,
80,1.03.05.01,Gastos de Organização e Expansão,0,41.035,41.035,,,
81,1.03.05.02,Amortizações Acumuladas,0,-41.035,-41.035,,,
82,2,Passivo Total,12.083.092,12.418.434,11.330.107,,,
83,2.01,Passivo Circulante,6.201.464,6.918.786,7.422.104,,,
84,2.01.01,Depósitos,2.827.047,2.808.997,3.070.392,,,
85,2.01.01.01,Depósitos à Vista,650.074,736.098,760.781,,,
86,2.01.01.02,Depósitos de Poupança,548.738,586.661,548.813,,,
87,2.01.01.03,Depósitos Interfinanceiros,15.495,22.830,18.634,,,
88,2.01.01.04,Depósitos à Prazo,1.612.740,1.463.408,1.742.164,,,
