,Conta,Descrição,31/12/2012,31/12/2011,31/12/2010,01/01/2012 a 31/12/2012,01/01/2011 a 31/12/2011,01/01/2010 a 31/12/2010
0,1,Ativo Total,2.942.073,2.760.668,2.568.334,,,
1,1.01,Ativo Circulante,2.190.694,1.952.102,1.774.166,,,
2,1.01.01,Disponibilidades,80.880,68.049,46.319,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,173.404,182.558,170.581,,,
4,1.01.02.01,Aplicação no Mercado Aberto,13.099,60.022,10.005,,,
5,1.01.02.02,Aplicação em Depósitos Interfinanceiros,160.305,122.536,160.576,,,
6,1.01.03,Títulos e Valores Mobiliários,307.546,215.095,586.914,,,
7,1.01.03.01,Carteira Própria,307.323,215.095,476.549,,,
8,1.01.03.02,Vinculados à Prestação de Garantias,223,0,184,,,
9,1.01.03.03,Vinculados a Compromissos de Recompra,0,0,63.677,,,
10,1.01.03.04,Vinculados ao Banco Central,0,0,46.504,,,
11,1.01.04,Relações Interfinanceiras,327.543,303.424,274.080,,,
12,1.01.04.01,Pagamento e Recebimento a Liquidar,1.498,33,1.160,,,
13,1.01.04.02,Créditos Vinculados,324.944,301.946,272.861,,,
14,1.01.04.03,Correspondentes no País,1.101,1.445,59,,,
15,1.01.05,Relações Interdependências,,,,,,
16,1.01.06,Operações de Crédito,1.284.014,1.170.175,682.283,,,
17,1.01.06.01,Operações de Crédito,1.323.576,1.205.465,708.307,,,
18,1.01.06.02,Provisão para Oper.de Crédito de Liquidação Duvidosa,-39.562,-35.290,-26.024,,,
19,1.01.07,Operações de Arrendamento Mercantil,,,,,,
20,1.01.08,Outros Créditos,15.516,11.955,13.202,,,
21,1.01.08.01,Rendas a Receber,5.012,4.214,4.370,,,
22,1.01.08.02,Diversos,10.504,7.753,8.833,,,
23,1.01.08.03,Provisão para Outros Créditos de Liquidação Duvidosa,0,-12,-1,,,
24,1.01.09,Outros Valores e Bens,1.791,846,787,,,
25,1.01.09.01,Outros Valores e Bens,982,1.868,1.703,,,
26,1.01.09.02,Provisão para Desvalorização,0,-1.079,-1.079,,,
27,1.01.09.03,Despesas Antecipadas,809,57,163,,,
28,1.02,Ativo Realizável a Longo Prazo,673.050,733.482,737.177,,,
29,1.02.01,Aplicações Interfinanceiras de Liquidez,,,,,,
30,1.02.02,Títulos e Valores Mobiliários,278.390,375.982,178.749,,,
31,1.02.02.01,Carteira Própria,233.726,344.717,178.749,,,
32,1.02.02.02,Vinculados a Compromisso de Recompra,3.363,3.195,0,,,
33,1.02.02.03,Vinculados ao Banco Central,41.301,27.864,0,,,
34,1.02.02.04,Vinculados à Prestação de Garantias,0,206,0,,,
35,1.02.03,Relações Interfinanceiras,17.834,17.275,19.359,,,
36,1.02.03.01,Créditos Vinculados,17.834,17.275,19.359,,,
37,1.02.04,Relações Interdependências,,,,,,
38,1.02.05,Operações de Crédito,240.230,222.580,432.027,,,
39,1.02.05.01,Operações de Crédito,244.421,225.615,441.769,,,
40,1.02.05.02,Provisão p/Oper.de Crédito de Liquidação Duvidosa,-4.191,-3.035,-9.742,,,
41,1.02.06,Operações de Arrendamento Mercantil,,,,,,
42,1.02.07,Outros Créditos,135.922,117.645,107.042,,,
43,1.02.07.01,Diversos,135.922,117.645,107.068,,,
44,1.02.07.02,Provisão para Outros Créditos de liquidação Duvidosa,0,0,-26,,,
45,1.02.08,Outros Valores e Bens,674,0,0,,,
46,1.03,Ativo Permanente,78.329,75.084,56.991,,,
47,1.03.01,Investimentos,1.240,1.073,924,,,
