,Conta,Descrição,31/12/2013,31/12/2012,31/12/2011,01/01/2013 a 31/12/2013,01/01/2012 a 31/12/2012,01/01/2011 a 31/12/2011
0,1,Ativo Total,4.549.552,3.728.257,2.740.013,,,
1,1.01,Ativo Circulante,2.832.671,2.193.681,1.270.983,,,
2,1.01.01,Disponibilidades,117.727,111.833,67.639,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,758.129,588.945,373.005,,,
4,1.01.02.01,Aplicações no mercado Aberto,630.831,465.042,270.003,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,127.298,123.903,103.002,,,
6,1.01.02.03,Aplicações em Moeda Estrangeira,,,,,,
7,1.01.03,Títulos e Valores Mobiliários,405.278,309.045,5.018,,,
8,1.01.03.01,Carteira Própria,349.669,276.255,3.011,,,
9,1.01.03.02,Vinculados a Compra e Recompra,52.662,30.067,0,,,
10,1.01.03.03,Vinculados ao Banco Central,,,,,,
11,1.01.03.04,Instrumentos Financeiros Derivativos,,,,,,
12,1.01.03.05,Vinculados a Prestação de Garantias,2.947,2.723,2.007,,,
13,1.01.04,Relações Interfinanceiras,236.679,215.420,175.137,,,
14,1.01.04.01,Pagamentos e Recebimentos a Liquidar,24,27,15,,,
15,1.01.04.02,Depósitos no Banco Central,235.730,215.303,175.079,,,
16,1.01.04.03,SFH - Sistema Financeiro de Habitação,,,,,,
17,1.01.04.04,Correspondentes,925,90,43,,,
18,1.01.05,Relações Interdependências,,,,,,
19,1.01.06,Operações de Crédito,1.183.184,884.284,585.865,,,
20,1.01.06.01,Setor Público,,,,,,
21,1.01.06.02,Setor Privado,1.239.755,907.499,601.135,,,
22,1.01.06.03,(Provisão para Crédito de Liquidação Duvidosa),-56.571,-23.215,-15.270,,,
23,1.01.07,Operações de Arrendamento Mercantil,,,,,,
24,1.01.08,Outros Créditos,127.840,81.180,61.470,,,
25,1.01.08.01,Carteira de Câmbio,0,0,178,,,
