,Conta,Descrição,31/12/2017,31/12/2016,31/12/2015,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016,01/01/2015 a 31/12/2015
0,1,Ativo Total,6.937.364,6.337.473,5.269.067,,,
1,1.01,Ativo Circulante,4.230.493,3.811.743,2.957.887,,,
2,1.01.01,Disponibilidades,139.793,138.761,169.858,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,1.294.598,1.341.883,730.100,,,
4,1.01.02.01,Aplicações no mercado Aberto,942.592,970.729,543.911,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,352.006,371.154,186.189,,,
6,1.01.02.03,Aplicações em Moeda Estrangeira,,,,,,
7,1.01.03,Títulos e Valores Mobiliários,816.115,568.550,477.905,,,
8,1.01.03.01,Carteira Própria,775.114,161.457,340.110,,,
9,1.01.03.02,Vinculados a Compra e Recompra,33.577,400.349,131.874,,,
10,1.01.03.03,Vinculados ao Banco Central,,,,,,
11,1.01.03.04,Instrumentos Financeiros Derivativos,,,,,,
12,1.01.03.05,Vinculados a Prestação de Garantias,7.424,6.744,5.921,,,
13,1.01.04,Relações Interfinanceiras,177.198,80.005,77.328,,,
14,1.01.04.01,Pagamentos e Recebimentos a Liquidar,163,0,3,,,
15,1.01.04.02,Depósitos no Banco Central,76.328,79.147,76.467,,,
16,1.01.04.03,SFH - Sistema Financeiro de Habitação,,,,,,
17,1.01.04.04,Correspondentes,100.707,858,858,,,
18,1.01.05,Relações Interdependências,,,,,,
19,1.01.06,Operações de Crédito,1.556.122,1.441.190,1.326.013,,,
20,1.01.06.01,Setor Público,,,,,,
21,1.01.06.02,Setor Privado,1.612.770,1.503.074,1.393.614,,,
22,1.01.06.03,(Provisão para Crédito de Liquidação Duvidosa),-56.648,-61.884,-67.601,,,
23,1.01.07,Operações de Arrendamento Mercantil,,,,,,
24,1.01.08,Outros Créditos,241.031,236.504,172.102,,,
25,1.01.08.01,Carteira de Câmbio,670,994,73,,,
26,1.01.08.02,Rendas a Receber,964,1.027,1.211,,,
27,1.01.08.03,Negociações e Intermediações de Valores,,,,,,
28,1.01.08.04,Diversos,243.843,237.698,176.802,,,
29,1.01.08.05,(Provisão p/ Outros Créditos de Liquidação Duvidosa),-4.446,-3.215,-5.984,,,
30,1.01.09,Outros Valores e Bens,5.636,4.850,4.581,,,
31,1.01.09.01,Outros Valores e Bens,3.442,3.383,3.443,,,
32,1.01.09.02,(Provisão para Desvalorização),-1.508,-1.521,-1.441,,,
33,1.01.09.03,Despesas Antecipadas,3.702,2.988,2.579,,,
34,1.02,Ativo Realizável a Longo Prazo,2.549.245,2.399.961,2.192.610,,,
35,1.02.01,Aplicações Interfinanceiras de Liquidez,,,,,,
36,1.02.02,Títulos e Valores Mobiliários,125.497,138.184,147.872,,,
37,1.02.02.01,Carteira Própria,125.497,138.184,147.872,,,
38,1.02.02.02,Vinculados a Compromisso de Recompra,,,,,,
39,1.02.02.03,Vinculados a Prestação de Garantias,,,,,,
40,1.02.03,Relações Interfinanceiras,55.827,58.204,55.313,,,
41,1.02.03.01,SFH - Sistema Financeiro de Habitação,55.827,58.204,55.313,,,
42,1.02.04,Relações Interdependências,,,,,,
43,1.02.05,Operações de Crédito,2.115.516,2.003.357,1.835.006,,,
44,1.02.05.01,Setor Público,,,,,,
45,1.02.05.02,Setor Privado,2.192.528,2.087.305,1.925.920,,,
