,Conta,Descrição,31/12/2015,31/12/2014,31/12/2013,01/01/2015 a 31/12/2015,01/01/2014 a 31/12/2014,01/01/2013 a 31/12/2013
0,1,Ativo Total,41.421.935,38.204.992,33.817.503,,,
1,1.01,Ativo Circulante,21.939.440,22.630.574,15.349.319,,,
2,1.01.01,Disponibilidades,209.975,197.642,155.909,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,12.445.108,8.244.319,7.737.065,,,
4,1.01.02.01,Aplicações no Mercado Aberto,12.444.473,8.167.819,7.606.592,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,635,76.500,130.473,,,
6,1.01.03,Títulos e Valores Mobiliários,253.302,6.053.427,690.164,,,
7,1.01.03.01,Carteira Própria,227.797,3.859.220,690.083,,,
8,1.01.03.02,Vinculados a Compromisso de Recompra,0,1.700.827,0,,,
9,1.01.03.03,Instrumentos Financeiros Derivativos,0,281.551,81,,,
10,1.01.03.04,Vinculados à Prestação de Garantias,25.505,211.829,0,,,
11,1.01.04,Relações Interfinanceiras,178.168,345.873,369.442,,,
12,1.01.04.01,Pagamentos e Recebimentos a Liquidar,1.378,1.297,1.236,,,
13,1.01.04.02,Depósitos no Banco Central,173.609,313.791,351.120,,,
14,1.01.04.03,Tesouro Nacional Recursos do Crédito Rural,102,28.387,14.492,,,
15,1.01.04.04,Repasses Interfinanceiros,1.885,1.281,1.130,,,
16,1.01.04.05,Correspondentes,1.194,1.117,1.464,,,
17,1.01.05,Relações Interdependências,,,,,,
18,1.01.06,Operações de Crédito,5.476.359,5.263.251,4.365.875,,,
19,1.01.06.02,Setor Público,243.022,180.390,158.847,,,
20,1.01.06.03,Setor Privado,5.734.502,5.433.734,4.592.242,,,
21,1.01.06.04,(Provisão para Operações de Crédito de Liquidação Duvidosa),-501.165,-350.873,-385.214,,,
22,1.01.07,Operações de Arrendamento Mercantil,,,,,,
23,1.01.08,Outros Créditos,3.344.533,2.498.388,2.004.904,,,
24,1.01.08.01,Créditos por Avais e Fianças Honrados,29,0,0,,,
25,1.01.08.02,Carteira de Câmbio,818.089,672.788,540.994,,,
26,1.01.08.03,Rendas a Receber,13.075,11.986,9.568,,,
27,1.01.08.04,Negociação e Intermediação de Valores,4,4,4,,,
28,1.01.08.05,Diversos,2.719.014,1.838.798,1.471.727,,,
29,1.01.08.06,(Provisão para Outros Créditos de Liquidação Duvidosa),-205.678,-25.188,-17.389,,,
30,1.01.09,Outros Valores e Bens,31.995,27.674,25.960,,,
31,1.01.09.01,Outros Valores e Bens,13.996,10.550,5.654,,,
32,1.01.09.02,(Provisões para Desvalorizações),-625,-694,-695,,,
33,1.01.09.03,Despesas Antecipadas,18.624,17.818,21.001,,,
34,1.02,Ativo Realizável a Longo Prazo,19.248.006,15.344.660,18.232.580,,,
35,1.02.01,Aplicações Interfinanceiras de Liquidez,,,,,,
36,1.02.02,Títulos e Valores Mobiliários,12.073.969,8.253.491,11.313.849,,,
37,1.02.02.01,Carteira Própria,9.455.535,7.833.371,9.547.043,,,
38,1.02.02.02,Vinculados a Compromissos de Recompra,1.606.140,56.751,1.126.481,,,
39,1.02.02.03,Intrumentos Financeiros Derivativos,610.474,225.736,337.967,,,
40,1.02.02.04,Vinculados à Prestação de Garantias,401.820,137.633,302.358,,,
41,1.02.03,Relações Interfinanceiras,45.493,56.648,42.634,,,
42,1.02.03.01,Tesouro Nacional Recursos de Crédito Rural,2,16,554,,,
43,1.02.03.02,SFH - Sistema Financeiro da Habitação,44.549,54.710,39.254,,,
44,1.02.03.03,Repasses Interfinanceiros,942,1.922,2.826,,,
45,1.02.04,Relações Interdependências,,,,,,
46,1.02.05,Operações de Crédito,6.723.551,6.473.046,5.882.508,,,
47,1.02.05.02,Setor Público,1.381.893,1.182.396,1.211.833,,,
48,1.02.05.03,Setor Privado,5.762.903,5.805.292,5.161.846,,,
49,1.02.05.04,(Provisão para Operações de Crédito de Liquidação Duvidosa),-421.245,-514.642,-491.171,,,
50,1.02.06,Operações de Arrendamento Mercantil,,,,,,
51,1.02.07,Outros Créditos,404.993,561.475,993.589,,,
