,Conta,Descrição,31/12/2011,31/12/2010,31/12/2009,01/01/2011 a 31/12/2011,01/01/2010 a 31/12/2010,01/01/2009 a 31/12/2009
0,1,Ativo Total,4.279.495,3.270.686,2.728.159,,,
1,1.01,Ativo Circulante,3.192.647,2.657.329,2.231.359,,,
2,1.01.01,Disponibilidades,45.451,7.081,4.049,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,305.833,44.648,353.143,,,
4,1.01.02.01,Aplicações no Mercado Aberto,229.694,22.507,292.897,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,76.139,22.141,60.246,,,
6,1.01.03,Títulos e Valores Mobiliários,1.093.210,1.245.171,717.265,,,
7,1.01.03.01,Carteira Própria,363.027,586.517,553.585,,,
8,1.01.03.02,Vinculados a Compromissos de Recompra,544.740,540.385,108.200,,,
9,1.01.03.03,Vinculados a Prestação de Garantias,168.433,82.816,35.030,,,
10,1.01.03.04,Instrumentos Financeiros Derivativos,17.010,35.453,20.450,,,
11,1.01.04,Relações Interfinanceiras,1.600,1.553,1.818,,,
12,1.01.04.01,Pagamentos e Recebimentos a Liquidar,,,,,,
13,1.01.04.02,Créditos Vinculados - Depósitos no Bacen,1.600,1.553,1.818,,,
14,1.01.05,Relações Interdependências,,,,,,
15,1.01.06,Operações de Crédito,1.234.820,920.861,809.685,,,
16,1.01.06.01,Setor Privado,1.255.136,933.827,817.661,,,
17,1.01.06.02,Setor Público,0,9.137,24.559,,,
18,1.01.06.03,Provisão para Créd de Liq Duvidosa,-20.316,-22.103,-32.535,,,
19,1.01.07,Operações de Arrendamento Mercantil,,,,,,
20,1.01.08,Outros Créditos,449.368,395.427,296.440,,,
21,1.01.08.01,Carteira de Câmbio,442.822,325.586,294.273,,,
22,1.01.08.02,Rendas a Receber,,,,,,
23,1.01.08.03,Negociação e Intermediação de Valores,5.591,70.520,946,,,
24,1.01.08.04,Diversos,7.795,4.770,14.440,,,
25,1.01.08.05,Provisão para Créd de Liq Duvidosa,-6.840,-5.449,-13.219,,,
26,1.01.09,Outros Valores e Bens,62.365,42.588,48.959,,,
27,1.01.09.01,Bens Não de Uso Próprio,65.772,43.538,49.318,,,
28,1.01.09.02,Provisão para Desvalorizações,-4.748,-1.915,-998,,,
29,1.01.09.03,Despesas Antecipadas,1.341,965,639,,,
30,1.02,Ativo Realizável a Longo Prazo,996.540,589.998,473.154,,,
31,1.02.01,Aplicações Interfinanceiras de Liquidez,,,,,,
32,1.02.02,Títulos e Valores Mobiliários,331.820,6.120,35,,,
33,1.02.02.01,Carteira Própria,97.344,0,0,,,
34,1.02.02.02,Vinculados a Compromissos de Recompra,212.240,0,0,,,
35,1.02.02.03,Instrumentos Financeiros Derivativos,22.236,6.120,35,,,
36,1.02.03,Relações Interfinanceiras,5.564,7.352,11.207,,,
37,1.02.04,Relações Interdependências,,,,,,
38,1.02.05,Operações de Crédito,533.949,503.536,396.617,,,
39,1.02.05.01,Setor Privado,649.164,595.564,472.449,,,
40,1.02.05.02,Setor Público,0,0,7.538,,,
41,1.02.05.03,Provisão para Créd de Liq Duvidosa,-115.215,-92.028,-83.370,,,
42,1.02.06,Operações de Arrendamento Mercantil,,,,,,
43,1.02.07,Outros Créditos,124.984,72.458,64.397,,,
44,1.02.07.01,Carteira de Câmbio,,,,,,
45,1.02.07.02,Diversos,125.366,72.502,68.667,,,
46,1.02.07.03,Provisão para Créd de Liq Duvidosa,-382,-44,-4.270,,,
47,1.02.08,Outros Valores e Bens,223,532,898,,,
48,1.02.08.01,Despesas Antecipadas,223,532,898,,,
49,1.03,Ativo Permanente,90.308,23.359,23.646,,,
50,1.03.01,Investimentos,66.334,12.919,12.761,,,
51,1.03.01.01,Dependências no Exterior,,,,,,
52,1.03.01.02,Participações em Controladas,64.648,11.233,11.075,,,
53,1.03.01.02.01,No País,64.648,11.233,11.075,,,
54,1.03.01.03,Participações em Coligadas e Equiparadas,,,,,,
55,1.03.01.04,Outros Investimentos,1.842,1.842,1.842,,,
56,1.03.01.05,Provisão para Perdas,-156,-156,-156,,,
57,1.03.02,Imobilizado de Uso,11.857,10.440,10.885,,,
58,1.03.02.01,Imóveis de Uso,1.210,2.192,2.173,,,
59,1.03.02.02,Reavaliação de Imóveis de Uso,2.634,3.538,3.538,,,
60,1.03.02.03,Outras Imobilizações de Uso,15.599,11.636,11.826,,,
61,1.03.02.04,Depreciação Acumulada,-7.586,-6.926,-6.652,,,
62,1.03.03,Imobilizado de Arrendamento,,,,,,
63,1.03.04,Intangível,12.117,0,0,,,
64,1.03.04.01,Outros ativos intangíveis,13.100,0,0,,,
