,Conta,Descrição,31/12/2015,31/12/2014,31/12/2013,01/01/2015 a 31/12/2015,01/01/2014 a 31/12/2014,01/01/2013 a 31/12/2013
0,1,Ativo Total,3.592.284,5.410.039,4.667.591,,,
1,1.01,Ativo Circulante,2.656.280,4.276.414,3.479.268,,,
2,1.01.01,Disponibilidades,76.857,40.245,36.730,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,473.151,570.177,201.461,,,
4,1.01.02.01,Aplicações no Mercado Aberto,439.292,555.995,177.500,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,33.859,14.182,23.961,,,
6,1.01.03,Títulos e Valores Mobiliários,913.705,1.271.907,1.245.844,,,
7,1.01.03.01,Carteira Própria,696.216,1.024.459,935.459,,,
8,1.01.03.02,Vinculados a Compromissos de Recompra,181.395,62.361,14.039,,,
9,1.01.03.03,Vinculados a Prestação de Garantias,0,131.981,137.890,,,
10,1.01.03.04,Instrumentos Financeiros Derivativos,36.094,53.106,49.206,,,
11,1.01.03.05,Vinculados ao BACEN,0,0,109.250,,,
12,1.01.04,Relações Interfinanceiras,1.193,2.155,3.287,,,
13,1.01.04.01,Pagamentos e Recebimentos a Liquidar,,,,,,
14,1.01.04.02,Créditos Vinculados - Depósitos no Bacen,1.192,2.149,3.276,,,
15,1.01.04.03,Créditos Vinculados - Convênios,1,6,11,,,
16,1.01.05,Relações Interdependências,,,,,,
17,1.01.06,Operações de Crédito,808.154,1.560.103,1.554.803,,,
18,1.01.06.01,Setor Privado,834.182,1.564.299,1.616.310,,,
19,1.01.06.02,Setor Público,,,,,,
20,1.01.06.03,Provisão para Créd de Liq Duvidosa,-28.752,-29.065,-61.507,,,
21,1.01.06.04,Operações de crédito vinculadas a cessão,2.724,24.869,0,,,
22,1.01.07,Operações de Arrendamento Mercantil,,,,,,
23,1.01.08,Outros Créditos,221.879,691.889,357.008,,,
24,1.01.08.01,Carteira de Câmbio,187.782,375.753,284.363,,,
25,1.01.08.02,Rendas a Receber,453,4.927,77,,,
26,1.01.08.03,Negociação e Intermediação de Valores,3.703,39.419,56.650,,,
27,1.01.08.04,Diversos,52.106,278.144,22.479,,,
28,1.01.08.05,Créditos por Avais e Fianças Honradas,0,0,507,,,
29,1.01.08.06,Provisão para Créd de Liq Duvidosa,-22.165,-6.354,-7.068,,,
30,1.01.09,Outros Valores e Bens,161.341,139.938,80.135,,,
