,Conta,Descrição,31/12/2019,31/12/2018,31/12/2017,01/01/2019 a 31/12/2019,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017
0,1,Ativo Total,10.062.373,5.640.963,3.580.883,,,
1,1.01,Ativo Circulante,6.381.122,3.177.662,1.425.346,,,
2,1.01.01,Disponibilidades,93.995,10.478,55.192,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,3.249.765,1.671.274,503.040,,,
4,1.01.02.01,Aplicações no mercado aberto,3.020.677,1.535.587,402.730,,,
5,1.01.02.02,Aplicações em depósitos interfinanceiros,229.088,135.687,100.310,,,
6,1.01.03,Títulos e Valores Mobiliários,498.124,63.290,113.202,,,
7,1.01.03.01,Carteira própria,292.657,52.309,87.896,,,
8,1.01.03.02,Vinculados à prestação de garantias,198.059,10.981,21.217,,,
9,1.01.03.03,Vinculados à Prestação de Garantias,5.388,0,4.089,,,
10,1.01.03.04,Vinculados ao Banco Central,2.020,0,0,,,
11,1.01.04,Relações Interfinanceiras,416.294,90.118,1.717,,,
12,1.01.04.01,Pagamentos e recebimentos a liquidar,24.014,0,33,,,
13,1.01.04.02,Depósitos no Banco Central,392.280,90.118,1.684,,,
14,1.01.05,Relações Interdependências,15,3,0,,,
15,1.01.06,Operações de Crédito,1.006.355,788.028,576.910,,,
16,1.01.06.01,Operação de Crédito,1.093.280,824.158,659.212,,,
17,1.01.06.02,(-) Provisão para crédito liquidação duvidosa,-86.925,-36.130,-82.302,,,
18,1.01.06.03,Operação de Crédito Vinculadas,,,,,,
19,1.01.06.04,(-) Provisão para crédito liquidação duvidosa,,,,,,
20,1.01.07,Operações de Arrendamento Mercantil,,,,,,
21,1.01.08,Outros Créditos,967.794,457.266,160.342,,,
22,1.01.08.01,Carteria de câmbio,33,15,1.738,,,
23,1.01.08.02,Rendas a receber,18.304,10.508,0,,,
24,1.01.08.03,Diversos,953.169,447.231,161.514,,,
25,1.01.08.04,Provisão para créditos de liquidação duvidosa,-5.926,-2.508,-2.910,,,
26,1.01.08.05,Liquidações Pendentes,2.214,2.020,0,,,
27,1.01.09,Outros Valores e Bens,148.780,97.205,14.943,,,
28,1.01.09.01,Outros Valores e Bens,138.974,81.480,0,,,
29,1.01.09.02,Despesas antecipadas,9.806,15.725,14.943,,,
30,1.02,Ativo Realizável a Longo Prazo,3.535.383,2.405.913,2.143.919,,,
31,1.02.01,Aplicações Interfinanceiras de Liquidez,0,14.613,3.224,,,
32,1.02.01.01,Aplicações em Depósitos Interfinanceiros,0,14.613,3.224,,,
