,Conta,Descrição,31/12/2013,31/12/2012,31/12/2011,01/01/2013 a 31/12/2013,01/01/2012 a 31/12/2012,01/01/2011 a 31/12/2011
0,1,Ativo Total,13.463.359,13.341.267,10.171.332,,,
1,1.01,Ativo Circulante,8.915.470,9.001.764,6.696.650,,,
2,1.01.01,Disponibilidades,211.576,172.039,128.500,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,3.641.018,3.745.751,2.682.523,,,
4,1.01.02.01,Aplicações no Mercado Aberto,2.326.089,3.033.646,1.923.420,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,1.314.929,712.105,759.103,,,
6,1.01.03,Títulos e Valores Mobiliários,137.168,172.898,126.234,,,
7,1.01.03.01,Carteira Própria,109.624,169.023,104.115,,,
8,1.01.03.02,Instrumentos Financeiros Derivativos,6.220,1.860,1.432,,,
9,1.01.03.03,Vinculados à Compromissos de Recompra,,,,,,
10,1.01.03.04,Vinculados à Prestação de Garantias,21.324,2.015,20.687,,,
11,1.01.04,Relações Interfinanceiras,245.030,218.867,206.376,,,
12,1.01.04.01,Pagamentos e Recebimentos a Liquidar,119,80,70,,,
13,1.01.04.02,Créditos Vinculados - Depósitos no Banco Central,243.139,216.306,203.494,,,
14,1.01.04.03,Créditos Vinculados - SFH - Sistema Financeiro da Habitação,0,0,132,,,
15,1.01.04.04,Correspondentes,1.772,2.481,2.680,,,
16,1.01.05,Relações Interdependências,7.818,5.082,5.815,,,
17,1.01.05.01,Transferências Internas de Recursos,7.818,5.082,5.815,,,
18,1.01.06,Operações de Crédito,4.012.793,4.228.259,3.181.167,,,
19,1.01.06.01,Setor Público,0,63,3.008,,,
20,1.01.06.02,Setor Privado,3.846.649,4.051.965,3.354.955,,,
21,1.01.06.03,Operações de Crédito Vinculadas a Cessão,519.215,431.341,0,,,
22,1.01.06.04,(Provisão para Operações de Crédito de Liquidação Duvidosa),-353.071,-255.110,-176.796,,,
23,1.01.07,Operações de Arrendamento Mercantil,,,,,,
24,1.01.08,Outros Créditos,535.418,372.169,298.061,,,
25,1.01.08.01,Câmbio Comprado a Liquidar,65.597,44.511,67.637,,,
26,1.01.08.02,Direitos sobre Vendas de Câmbio,7,472,398,,,
27,1.01.08.03,(Adiantamentos em Moeda Nacional Recebidos),-7,-472,-398,,,
28,1.01.08.04,Rendas a Receber de Adiantamentos Concedidos,1.030,960,1.126,,,
29,1.01.08.05,Créditos por Avais e Fianças Honrados,850,0,0,,,
30,1.01.08.06,Rendas a Receber,81.287,18.973,4.283,,,
31,1.01.08.07,Créditos Tributários,203.941,128.696,97.427,,,
32,1.01.08.08,Devedores por Compra de Valores e Bens,7.487,2.876,1.397,,,
33,1.01.08.09,Impostos a Compensar,5.050,8.800,8.081,,,
34,1.01.08.10,Pagamentos a Ressarcir,7.936,3.881,481,,,
35,1.01.08.11,Títulos e Créditos a Receber,140.559,120.547,96.309,,,
36,1.01.08.12,Negociação e Intermediação de Valores,0,52,0,,,
37,1.01.08.13,Valores a Receber de Sociedades Ligadas,3.586,1.568,783,,,
38,1.01.08.14,Resultado Liq. Negativo Decorrente de Reneg. de Operações de Créd. Cedida,11.031,10.530,0,,,
39,1.01.08.15,Adiantamentos e Antecipações Salariais,1.853,1.546,1.635,,,
40,1.01.08.16,Devedores Diversos,6.123,29.079,17.855,,,
41,1.01.08.17,Outros,1.445,1.339,1.778,,,
42,1.01.08.18,(Provisão para Outros Créditos de Liquidação Duvidosa),-2.357,-1.189,-731,,,
43,1.01.09,Outros Valores e Bens,124.649,86.699,67.974,,,
44,1.01.09.01,Outros Valores e Bens,58.816,17.305,17.205,,,
45,1.01.09.02,(Provisões para Desvalorizações),-6.826,-6.561,-4.138,,,
46,1.01.09.03,Despesas Antecipadas,72.659,75.955,54.907,,,
47,1.02,Ativo Realizável a Longo Prazo,4.069.029,3.912.804,3.078.669,,,
48,1.02.01,Aplicações Interfinanceiras de Liquidez,133.981,105.312,146.946,,,
49,1.02.01.01,Aplicações em Depósitos Interfinanceiros,133.981,105.312,146.946,,,
50,1.02.02,Títulos e Valores Mobiliários,353.855,303.020,299.569,,,
51,1.02.02.01,Carteira Própria,149.443,250.734,286.851,,,
52,1.02.02.02,Instrumentos Financeiros Derivativos,24.219,29.076,12.718,,,
53,1.02.02.03,Vinculados à Prestação de Garantias,180.193,23.210,0,,,
54,1.02.03,Relações Interfinanceiras,,,,,,
55,1.02.04,Relações Interdependências,,,,,,
56,1.02.05,Operações de Crédito,3.095.522,2.896.964,2.132.934,,,
57,1.02.05.01,Setor Público,0,0,2.159,,,
58,1.02.05.02,Setor Privado,2.554.957,2.308.847,2.237.775,,,
59,1.02.05.03,Operações de Crédito Vinculadas a Cessão,757.047,719.770,0,,,
60,1.02.05.04,(Provisão para Operações de Crédito de Liquidação Duvidosa),-216.482,-131.653,-107.000,,,
61,1.02.06,Operações de Arrendamento Mercantil,,,,,,
62,1.02.07,Outros Créditos,367.630,449.867,388.016,,,
63,1.02.07.01,Créditos Tributários,165.662,167.470,149.504,,,
64,1.02.07.02,Devedores por Depósitos em Garantia,130.090,186.735,181.833,,,
65,1.02.07.03,Devedores por Compra de Valores e Bens,755,1.576,2.474,,,
66,1.02.07.04,Impostos a Compensar,11.264,5.016,4.370,,,
67,1.02.07.05,Pagamentos a Ressarcir,783,7.258,8.602,,,
68,1.02.07.06,Títulos e Créditos a Receber,48.569,62.612,41.239,,,
69,1.02.07.07,Resultado Líq. Negativo Decorrente de Reneg. de Operações de Créd. Cedida,10.509,19.203,0,,,
70,1.02.07.08,(Provisão para Outros Créditos de Liquidação Duvidosa),-2,-3,-6,,,
71,1.02.08,Outros Valores e Bens,118.041,157.641,111.204,,,
72,1.02.08.01,Despesas Antecipadas,118.041,157.641,111.204,,,
73,1.03,Ativo Permanente,478.860,426.699,396.013,,,
74,1.03.01,Investimentos,373.162,329.652,312.043,,,
75,1.03.01.01,Dependências no Exterior,,,,,,
76,1.03.01.02,Participações em Controladas,372.683,351.161,310.861,,,
77,1.03.01.03,Participações em Coligadas e Equiparadas,,,,,,
78,1.03.01.04,Outros Investimentos,1.161,1.149,1.485,,,
79,1.03.01.05,Provisão para Perdas,-682,-22.658,-303,,,
80,1.03.02,Imobilizado de Uso,63.407,54.801,42.468,,,
81,1.03.02.01,Outras Imobilizações de Uso,121.736,102.812,88.756,,,
82,1.03.02.02,(Depreciações Acumuladas),-58.329,-48.011,-46.288,,,
83,1.03.03,Imobilizado de Arrendamento,,,,,,
84,1.03.04,Intangível,42.137,41.992,39.755,,,
85,1.03.04.01,Ativos Intangíveis,77.429,70.547,63.221,,,
86,1.03.04.02,(Amortização Acumulada),-35.292,-28.555,-23.466,,,
87,1.03.05,Diferido,154,254,1.747,,,
88,1.03.05.01,Gastos de Organização e Expansão,564,717,10.980,,,
89,1.03.05.02,(Amortização Acumulada),-410,-463,-9.233,,,
90,2,Passivo Total,13.463.359,13.341.267,10.171.332,,,
91,2.01,Passivo Circulante,4.526.213,4.909.029,3.992.682,,,
92,2.01.01,Depósitos,2.312.362,2.410.929,2.224.904,,,
93,2.01.01.01,Depósitos à Vista,580.815,545.213,561.015,,,
94,2.01.01.02,Depósitos de Poupança,284.342,245.330,228.129,,,
95,2.01.01.03,Depósitos Interfinanceiros,166.379,347.039,558.930,,,
96,2.01.01.04,Depósitos a Prazo,1.280.826,1.273.347,876.830,,,
97,2.01.02,Captações no Mercado Aberto,909.855,1.407.778,1.072.637,,,
98,2.01.02.01,Carteira Própria,,,,,,
99,2.01.02.02,Carteira de Terceiros,909.855,1.407.778,1.072.637,,,
100,2.01.03,Recursos de Aceites e Emissão de Títulos,266.514,191.716,194.173,,,
101,2.01.03.01,Recursos de Letras Imobiliárias,266.494,191.701,136.868,,,
102,2.01.03.02,Obrigações por Títulos e Valores Mobiliários no Exterior,20,15,57.305,,,
103,2.01.04,Relações Interfinanceiras,14,19,35,,,
104,2.01.04.01,Recebimentos e Pagamentos a Liquidar,14,19,35,,,
105,2.01.05,Relações Interdependências,59.172,46.441,49.648,,,
106,2.01.05.01,Recursos em Trânsito de Terceiros,59.172,46.441,49.648,,,
107,2.01.06,Obrigações por Empréstimos,64.732,58.684,87.768,,,
108,2.01.06.01,Empréstimos no Exterior,64.732,58.684,87.768,,,
109,2.01.07,Obrigações por Repasse do País,4.566,2.101,4.870,,,
110,2.01.07.01,Tesouro Nacional,0,61,56,,,
111,2.01.07.02,FINAME,71,2.040,4.814,,,
112,2.01.07.03,Outras Instituições,4.495,0,0,,,
113,2.01.08,Obrigações por Repasse do Exterior,,,,,,
114,2.01.09,Outras Obrigações,908.998,791.361,358.647,,,
115,2.01.09.01,Cobrança e Arrecadação de Tributos e Assemelhados,2.782,3.540,5.543,,,
116,2.01.09.02,Câmbio Vendido a Liquidar,7,470,396,,,
117,2.01.09.03,Obrigações por Compra de Câmbio,63.890,44.317,61.826,,,
118,2.01.09.04,(Adiantamentos sobre Contratos de Câmbio),-63.890,-44.317,-61.622,,,
119,2.01.09.05,(Importação Financiada - Câmbio Contratado),,,,,,
120,2.01.09.06,Sociais e Estatutárias,15.826,30.695,24.453,,,
121,2.01.09.07,Fiscais e Previdenciárias,22.468,20.568,22.613,,,
122,2.01.09.08,Negociação e Intermediação de Valores,120,0,0,,,
123,2.01.09.09,Credores Diversos - País,163.903,192.574,204.019,,,
124,2.01.09.10,Obrigações por Convênios Oficiais,15.205,11.618,34.321,,,
125,2.01.09.11,Provisão para Pagamentos a Efetuar,31.883,30.482,26.440,,,
126,2.01.09.12,Valores a Pagar à Sociedades Ligadas,36,36,266,,,
127,2.01.09.13,Dívidas Subordinadas,80.448,26.304,24.144,,,
128,2.01.09.14,Obrigação por Aquisição de Bens e Direitos,1.126,2.964,2.598,,,
129,2.01.09.15,Obrigações por Operações Vinculadas a Cessão,571.934,469.088,0,,,
130,2.01.09.16,Instrumentos Financeiros Derivativos,1,133,11.409,,,
131,2.01.09.17,Outras,3.259,2.889,2.241,,,
132,2.02,Passivo Exigível a Longo Prazo,8.088.682,7.605.164,5.462.826,,,
133,2.02.01,Depósitos,6.080.151,5.598.765,4.668.433,,,
134,2.02.01.01,Depósitos Interfinanceiros,15.203,972,9.072,,,
135,2.02.01.02,Depósitos a Prazo,6.064.948,5.597.793,4.659.361,,,
136,2.02.02,Captações no Mercado Aberto,,,,,,
137,2.02.03,Recursos de Aceites e Emissão de Títulos,190.934,138.169,41.923,,,
138,2.02.03.01,Recuros de Letras Imobiliárias,139.397,93.212,656,,,
139,2.02.03.02,Obrigações por Títulos e Valores Mobiliários no Exterior,51.537,44.957,41.267,,,
140,2.02.04,Relações Interfinanceiras,,,,,,
141,2.02.05,Relações Interdependências,,,,,,
142,2.02.06,Obrigações por Empréstimos,,,,,,
143,2.02.06.01,Empréstimos no Exterior,,,,,,
144,2.02.07,Obrigações por Repasse do País,128,191,2.284,,,
145,2.02.07.01,Tesouro Nacional,128,121,169,,,
146,2.02.07.02,FINAME,0,70,2.115,,,
147,2.02.08,Obrigações por Repasse do Exterior,,,,,,
148,2.02.09,Outras Obrigações,1.817.469,1.868.039,750.186,,,
149,2.02.09.01,Fiscais e Previdenciárias,47.772,94.760,86.744,,,
150,2.02.09.02,Provisão para Outros Passivos,108.748,123.641,129.403,,,
151,2.02.09.03,Obrigações por Operações Vinculadas a Cessão,1.063.876,1.054.199,0,,,
152,2.02.09.04,Dívidas Subordinadas,593.434,595.415,500.664,,,
153,2.02.09.05,Instrumentos Financeiros Derivativos,3.639,24,33.375,,,
154,2.03,Resultados de Exercícios Futuros,910,1.144,1.737,,,
155,2.03.01,Resultados de Exercícios Futuros,910,1.144,1.737,,,
156,2.05,Patrimônio Líquido,847.554,825.930,714.087,,,
157,2.05.01,Capital Social Realizado,433.340,399.500,332.760,,,
158,2.05.01.01,De Domiciliados no País,433.340,399.500,332.760,,,
159,2.05.02,Reservas de Capital,42.743,35.903,17.443,,,
160,2.05.02.01,Reservas de Ágios por Subscrição de Ações,42.743,35.903,17.443,,,
161,2.05.02.02,Subvenções para Investimentos,,,,,,
162,2.05.02.03,Correção Monetária do Ativo Imobilizado,,,,,,
163,2.05.02.04,Outras,,,,,,
164,2.05.03,Reservas de Reavaliação,257,269,281,,,
165,2.05.03.01,Ativos Próprios,,,,,,
166,2.05.03.02,Controladas/Coligadas e Equiparadas,257,269,281,,,
167,2.05.04,Reservas de Lucro,371.203,390.260,363.591,,,
168,2.05.04.01,Legal,56.274,56.233,53.481,,,
169,2.05.04.02,Estatutária,314.929,334.027,310.110,,,
170,2.05.04.02.01,Para Pagamento de Dividendos,44.422,63.521,59.897,,,
171,2.05.04.02.02,Para Aumento de Capital,270.507,270.506,250.213,,,
172,2.05.04.03,Para Contingências,,,,,,
173,2.05.04.04,De Lucros a Realizar,,,,,,
174,2.05.04.05,Retenção de Lucros,,,,,,
175,2.05.04.06,Especial p/ Dividendos Não Distribuídos,,,,,,
176,2.05.04.07,Outras Reservas de Lucro,,,,,,
177,2.05.05,Ajustes de Avaliação Patrimonial,11,-2,12,,,
178,2.05.05.01,Ajustes de Títulos e Valores Mobiliários,11,-2,12,,,
179,2.05.05.02,Ajustes Acumulados de Conversão,,,,,,
180,2.05.05.03,Ajustes de Combinação de Negócios,,,,,,
181,2.05.06,Lucros/Prejuízos Acumulados,,,,,,
182,3.01,Receitas da Intermediação Financeira,,,,2.414.741,2.275.399,2.026.828
183,3.01.01,Operações de Crédito,,,,2.013.767,1.826.868,1.611.090
184,3.01.02,Resultado de Operações com Títulos e Valores Mobiliários,,,,349.356,335.037,397.714
185,3.01.03,Resultado com Instrumentos Financeiros Derivativos,,,,5.912,94.147,-6.619
186,3.01.04,Resultado de Operações de Câmbio,,,,8.916,7.786,14.499
187,3.01.05,Resultado das Aplicações Compulsórias,,,,10.563,11.561,10.144
188,3.01.06,Operações de Venda ou de Transferência de Ativos Financeiros,,,,26.227,0,0
189,3.02,Despesas da Intermediação Financeira,,,,-1.798.518,-1.531.780,-1.373.534
190,3.02.01,Operações de Captação no Mercado,,,,-939.712,-963.100,-1.018.799
191,3.02.02,Operações de Empréstimos e Repasses,,,,-14.908,-11.010,-24.931
192,3.02.03,Operações de Venda ou de Transferência de Ativos Financeiros,,,,-201.024,-93.368,0
193,3.02.04,Provisão para Créditos de Liquidação Duvidosa,,,,-642.874,-464.302,-329.804
194,3.03,Resultado Bruto Intermediação Financeira,,,,616.223,743.619,653.294
195,3.04,Outras Despesas/Receitas Operacionais,,,,-725.474,-631.077,-568.265
196,3.04.01,Receitas de Prestação de Serviços,,,,152.017,122.879,111.006
197,3.04.02,Despesas de Pessoal,,,,-330.380,-325.828,-312.718
198,3.04.03,Outras Despesas Administrativas,,,,-465.711,-413.269,-423.764
199,3.04.04,Despesas Tributárias,,,,-26.659,-13.430,-12.551
200,3.04.05,Outras Receitas Operacionais,,,,58.591,71.900,44.415
201,3.04.05.01,Recuperação de Encargos e Despesas,,,,11.545,24.815,11.496
202,3.04.05.02,Reversão de Provisões,,,,2.102,2.717,783
203,3.04.05.03,Variações Monetárias Ativas,,,,12.958,10.515,19.035
204,3.04.05.04,Superávit Atuarial - Previdência Privada,,,,,,
205,3.04.05.05,Reversão de Provisões para Coobrigações - Cessão de Crédito,,,,15.452,8.985,0
206,3.04.05.06,Juros sobre o Capital Próprio,,,,6.273,6.046,5.497
207,3.04.05.07,Outras Receitas,,,,10.261,18.822,7.604
208,3.04.06,Outras Despesas Operacionais,,,,-138.244,-97.576,-114.709
209,3.04.06.01,Aprovisionamentos e Ajustes Patrimoniais,,,,-8.100,-6.169,-16.329
210,3.04.06.02,Provisões para Coobrigações - Cessões de Crédito,,,,0,-3.827,-22.032
211,3.04.06.03,Descontos Concedidos,,,,-59.364,-32.043,-29.135
212,3.04.06.04,Despesas de Caráter Eventual,,,,-28.116,-25.853,-26.086
213,3.04.06.05,Variações Monetárias Passivas,,,,-6.827,-4.077,-8.944
214,3.04.06.06,Atualização de Títulos Patrimoniais,,,,,,
215,3.04.06.07,Apropriação Indébita,,,,-5.866,-1.436,-1.236
216,3.04.06.08,Outras Despesas,,,,-29.971,-24.171,-10.947
217,3.04.07,Resultado da Equivalência Patrimonial,,,,24.912,24.247,140.056
218,3.05,Resultado Operacional,,,,-109.251,112.542,85.029
219,3.06,Resultado Não Operacional,,,,83.843,-30.151,-15.622
220,3.06.01,Receitas,,,,91.535,4.614,2.820
221,3.06.02,Despesas,,,,-7.692,-34.765,-18.442
222,3.07,Resultado Antes Tributação/Participações,,,,-25.408,82.391,69.407
223,3.08,Provisão para IR e Contribuição Social,,,,40.878,-1.654,48.238
224,3.08.01,Provisão para Imposto de Renda,,,,-23.493,-35.586,-9.981
225,3.08.02,Provisão para Contribuição Social,,,,-13.368,-21.947,-11.702
226,3.08.03,Ativo Fiscal Diferido,,,,77.739,55.879,69.921
227,3.09,IR Diferido,,,,,,
228,3.10,Participações/Contribuições Estatutárias,,,,-14.643,-25.710,-26.983
229,3.10.01,Participações,,,,-14.643,-25.710,-26.983
230,3.10.01.01,Administradores,,,,0,-1.438,-3.400
231,3.10.01.02,Empregados,,,,-14.643,-24.272,-23.583
232,3.10.02,Contribuições,,,,,,
233,3.11,Reversão dos Juros sobre Capital Próprio,,,,,,
234,3.13,Lucro/Prejuízo do Período,,,,827,55.027,90.662
235,3.99,Lucro por Ação - (R$ / Ação),,,,001794,129475,256107
