,Conta,Descrição,31/12/2018,31/12/2017,31/12/2016,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016
0,1,Ativo Total,9.358.796,9.488.588,10.000.782,,,
1,1.01,Ativo Circulante,5.046.547,5.283.070,5.819.598,,,
2,1.01.01,Disponibilidades,536.091,437.854,410.141,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,1.114.846,1.418.530,1.792.535,,,
4,1.01.02.01,Aplicações no Mercado Aberto,1.065.003,976.127,1.512.248,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,49.843,442.403,280.287,,,
6,1.01.03,Títulos e Valores Mobiliários,34.472,138.195,35.471,,,
7,1.01.03.01,Carteira Própria,8.705,66.349,25.785,,,
8,1.01.03.02,Instrumentos Financeiros Derivativos,4.050,4.170,5.042,,,
9,1.01.03.03,Vinculados ao Banco Central,0,33.889,0,,,
10,1.01.03.04,Vinculados à Prestação de Garantias,21.717,33.787,4.644,,,
11,1.01.04,Relações Interfinanceiras,87.534,93.329,119.122,,,
12,1.01.04.01,Pagamentos e Recebimentos a Liquidar,257,163,39,,,
13,1.01.04.02,Créditos Vinculados - Depósitos no Banco Central,87.277,93.148,119.065,,,
14,1.01.04.03,Correspondentes,0,18,18,,,
15,1.01.05,Relações Interdependências,6.525,9.186,4.429,,,
16,1.01.05.01,Transferências Internas de Recursos,6.525,9.186,4.429,,,
17,1.01.06,Operações de Crédito,2.369.305,2.394.296,2.657.466,,,
18,1.01.06.01,Setor Privado,2.681.097,2.687.775,2.926.398,,,
19,1.01.06.02,Operações de Crédito Vinculadas a Cessão,25.367,59.156,162.987,,,
20,1.01.06.03,(Provisão para Operações de Crédito de Liquidação Duvidosa),-337.159,-352.635,-431.919,,,
21,1.01.07,Operações de Arrendamento Mercantil,,,,,,
22,1.01.08,Outros Créditos,567.293,493.391,580.242,,,
23,1.01.08.01,Câmbio Comprado a Liquidar,67.082,87.389,64.161,,,
24,1.01.08.02,Direitos sobre Vendas de Câmbio,105,4,0,,,
25,1.01.08.03,(Adiantamentos em Moeda Nacional Recebidos),-105,-4,0,,,
26,1.01.08.04,Rendas a Receber de Adiantamentos Concedidos,4.550,1.304,17.336,,,
27,1.01.08.05,Rendas a Receber,9.247,11.664,8.057,,,
28,1.01.08.06,Créditos Tributários,181.407,253.431,328.186,,,
29,1.01.08.07,Devedores por Compras de Valores e Bens,13.472,18.137,8.961,,,
30,1.01.08.08,Impostos a Compensar,2.942,14.697,8.675,,,
31,1.01.08.09,Pagamentos a Ressarcir,772,2.343,730,,,
32,1.01.08.10,Títulos e Créditos a Receber,281.859,88.551,99.879,,,
33,1.01.08.11,Valores a Receber de Sociedades Ligadas,565,654,609,,,
34,1.01.08.12,Adiantamentos e Antecipações Salariais,1.160,1.437,1.582,,,
35,1.01.08.13,Devedores Diversos,39.170,57.913,48.531,,,
36,1.01.08.14,Outros,2.396,2.669,561,,,
37,1.01.08.15,(Provisão para Outros Créditos de Liquidação Duvidosa),-37.329,-46.798,-7.026,,,
38,1.01.09,Outros Valores e Bens,330.481,298.289,220.192,,,
39,1.01.09.01,Outros Valores e Bens,368.971,306.325,210.286,,,
40,1.01.09.02,(Provisões para Desvalorizações),-64.249,-22.216,-7.099,,,
41,1.01.09.03,Despesas Antecipadas,25.759,14.180,17.005,,,
42,1.02,Ativo Realizável a Longo Prazo,3.693.335,3.681.510,3.611.379,,,
43,1.02.01,Aplicações Interfinanceiras de Liquidez,10.156,29.282,47.369,,,
44,1.02.01.01,Aplicações em Depósitos Interfinanceiros,10.156,29.282,47.369,,,
45,1.02.02,Títulos e Valores Mobiliários,1.043.562,999.778,824.296,,,
46,1.02.02.01,Carteira Própria,661.697,758.395,401.573,,,
47,1.02.02.02,Instrumentos Financeiros Derivativos,21.140,9.278,22.679,,,
48,1.02.02.03,Vinculados ao Banco Central,0,27.398,0,,,
49,1.02.02.04,Vinculados à Prestação de Garantias,360.725,204.707,400.044,,,
