,Conta,Descrição,31/12/2011,31/12/2010,31/12/2009,01/01/2011 a 31/12/2011,01/01/2010 a 31/12/2010,01/01/2009 a 31/12/2009
0,1,Ativo Total,628.89,1.269.072,1.839.336,,,
1,1.01,Ativo Circulante,599.248,226.597,336.694,,,
2,1.01.01,Disponibilidades,481.0,365,1.582,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,517.549,130.453,260.603,,,
4,1.01.02.01,Aplicações no Mercado Aberto,14.467,17.923,31.529,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,503.082,112.530,229.074,,,
6,1.01.03,Títulos e Valores Mobiliários,,,,,,
7,1.01.03.01,Carteira Própria,,,,,,
8,1.01.04,Relações Interfinanceiras,,,,,,
9,1.01.05,Relações Interdependências,,,,,,
10,1.01.06,Operações de Crédito,76.878,92.696,70.117,,,
11,1.01.06.01,Operações de Crédito -Setor Privado,77.016,93.682,72.949,,,
12,1.01.06.02,(Provisão para Operações de Crédito de Liquidação Duvidosa),-138.0,-986,-2.832,,,
13,1.01.07,Operações de Arrendamento Mercantil,,,,,,
14,1.01.08,Outros Créditos,4.329,3.059,4.361,,,
15,1.01.08.01,Créditos Tributários,2.24,1.168,1.732,,,
16,1.01.08.02,Devedores por Compra de Valores e Bens,0.0,4,3,,,
17,1.01.08.03,Títulos e Créditos a Receber,1.966,1.787,2.295,,,
18,1.01.08.04,Pagamentos a Ressarcir,0.0,0,230,,,
19,1.01.08.05,Devedores Diversos,123.0,100,101,,,
20,1.01.09,Outros Valores e Bens,11.0,24,31,,,
21,1.01.09.01,Despesas Antecipadas,11.0,24,31,,,
22,1.02,Ativo Realizável a Longo Prazo,29.64,1.042.457,1.502.623,,,
23,1.02.01,Aplicações Interfinanceiras de Liquidez,2.64,990.606,1.470.185,,,
24,1.02.01.01,Aplicações em Depósitos Interfinanceiros,2.64,990.606,1.470.185,,,
25,1.02.02,Títulos e Valores Mobiliários,,,,,,
26,1.02.03,Relações Interfinanceiras,,,,,,
27,1.02.04,Relações Interdependências,,,,,,
28,1.02.05,Operações de Crédito,18.294,40.918,21.051,,,
