,Conta,Descrição,31/12/2015,31/12/2014,31/12/2013,01/01/2015 a 31/12/2015,01/01/2014 a 31/12/2014,01/01/2013 a 31/12/2013
0,1,Ativo Total,75.491,79.07300000000001,101.368,,,
1,1.01,Ativo Circulante,54.255,55.328,90.25200000000001,,,
2,1.01.01,Disponibilidades,263.0,320.0,306.0,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,41.501000000000005,17.567999999999998,79.847,,,
4,1.01.02.01,Aplicações no Mercado Aberto,41.501000000000005,7.247999999999999,11.67,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,0.0,10.32,68.17699999999999,,,
6,1.01.03,Títulos e Valores Mobiliários,,,,,,
7,1.01.04,Relações Interfinanceiras,,,,,,
8,1.01.05,Relações Interdependências,,,,,,
9,1.01.06,Operações de Crédito,11.548,37.093,9.103,,,
10,1.01.06.01,Operações de Crédito - Setor Privado,12.751,37.259,9.213,,,
11,1.01.06.02,(Provisão para Operações de Crédito de Liquidação Duvidosa),-1.203,-166.0,-110.0,,,
12,1.01.07,Operações de Arrendamento Mercantil,,,,,,
13,1.01.08,Outros Créditos,939.0,343.0,989.0,,,
14,1.01.08.01,Créditos Tributários,904.0,312.0,969.0,,,
15,1.01.08.02,Impostos a Compensar,35.0,31.0,20.0,,,
16,1.01.09,Outros Valores e Bens,4.0,4.0,7.0,,,
17,1.01.09.01,Despesas Antecipadas,4.0,4.0,7.0,,,
18,1.02,Ativo Realizável a Longo Prazo,21.236,23.745,11.116,,,
19,1.02.01,Aplicações Interfinanceiras de Liquidez,8.0,0.0,0.0,,,
20,1.02.01.01,Aplicações em Depósitos Interfinanceiros,8.0,0.0,0.0,,,
21,1.02.02,Títulos e Valores Mobiliários,,,,,,
22,1.02.03,Relações Interfinanceiras,,,,,,
23,1.02.04,Relações Interdependências,,,,,,
24,1.02.05,Operações de Crédito,2.386,12.880999999999998,591.0,,,
25,1.02.05.01,Operações de Crédito - Setor Privado,2.635,12.939,598.0,,,
26,1.02.05.02,(Provisão para Operações de Crédito de Liquidação Duvidosa),-249.0,-58.0,-7.0,,,
27,1.02.06,Operações de Arrendamento Mercantil,,,,,,
28,1.02.07,Outros Créditos,10.85,10.864,10.525,,,
29,1.02.07.01,Créditos Tributários,1.841,2.2,2.483,,,
30,1.02.07.02,Devedores por Depósitos em Garantia,4.8839999999999995,4.754,4.446000000000001,,,
31,1.02.07.03,Pagamentos a Ressarcir,1.2229999999999999,1.3230000000000002,1.238,,,
32,1.02.07.04,Títulos e Créditos a Receber,2.9019999999999997,2.5869999999999997,2.358,,,
33,1.02.08,Outros Valores e Bens,,,,,,
34,1.03,Ativo Permanente,,,,,,
35,1.03.01,Investimentos,,,,,,
36,1.03.01.01,Dependências no Exterior,,,,,,
37,1.03.01.02,Participações em Controladas,,,,,,
38,1.03.01.03,Participações em Coligadas e Equiparadas,,,,,,
39,1.03.01.04,Outros Investimentos,,,,,,
40,1.03.01.05,Provisão para Perdas,,,,,,
