,Conta,Descrição,31/12/2013,31/12/2012,31/12/2011,01/01/2013 a 31/12/2013,01/01/2012 a 31/12/2012,01/01/2011 a 31/12/2011
0,1,Ativo Total,19.679.999,16.248.265,12.010.952,,,
1,1.01,Ativo Circulante,8.429.711,5.371.779,3.948.060,,,
2,1.01.01,Disponibilidades,36.806,28.163,24.494,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,1.167.367,450.747,1.063.431,,,
4,1.01.02.01,Aplicações no mercado aberto,1.076.933,334.877,639.461,,,
5,1.01.02.02,Aplicações em depósitos interfinanceiros,90.434,115.870,423.970,,,
6,1.01.03,Títulos e Valores Mobiliários,454.296,148.512,26.488,,,
7,1.01.03.01,Carteira própria,281.203,67.126,771,,,
8,1.01.03.02,Vinculados a compromissos de recompra,130.597,45.259,0,,,
9,1.01.03.03,Instrumentos financeiros e derivativos,21.962,10.016,25.451,,,
10,1.01.03.04,Vinculados a prestação de garantias,20.534,26.111,266,,,
11,1.01.04,Relações Interfinanceiras,28.466,27.794,10.931,,,
12,1.01.04.01,Pagamentos e recebimentos a liquidar,,,,,,
13,1.01.04.02,Créditos vinculados - depósitos no Banco Central,2.345,1.267,936,,,
14,1.01.04.03,Correspondentes no país,26.121,26.527,9.995,,,
15,1.01.05,Relações Interdependências,,,,,,
16,1.01.05.01,Transferências internas de recursos,,,,,,
17,1.01.06,Operações de Crédito,4.317.921,2.841.630,1.827.357,,,
18,1.01.06.01,Operações de crédito - setor privado,4.810.334,3.294.862,2.337.740,,,
19,1.01.06.02,(Provisão para créditos de liquidação duvidosa),-492.413,-453.232,-510.383,,,
20,1.01.07,Operações de Arrendamento Mercantil,,,,,,
21,1.01.08,Outros Créditos,2.278.409,1.767.014,914.540,,,
22,1.01.08.01,Carteira de câmbio,428.518,371.506,71.051,,,
23,1.01.08.02,Rendas a receber,0,1.597,8.568,,,
24,1.01.08.03,Negociação e intermediação de valores,720,1.898,969,,,
25,1.01.08.04,Diversos,1.286.537,924.546,437.772,,,
26,1.01.08.05,Titulos e créditos a receber,605.216,498.833,472.239,,,
27,1.01.08.06,(Provisão para outros créditos de liquidação duvidosa),-42.582,-31.366,-76.059,,,
28,1.01.09,Outros Valores e Bens,146.446,107.919,80.819,,,
29,1.01.09.01,Outros valores e bens,85.030,118.359,105.749,,,
30,1.01.09.02,(Provisão para desvalorização),-49.023,-93.312,-72.365,,,
31,1.01.09.03,Despesas antecipadas,110.439,82.872,47.435,,,
32,1.02,Ativo Realizável a Longo Prazo,10.006.403,9.607.406,7.807.137,,,
33,1.02.01,Aplicações Interfinanceiras de Liquidez,135.124,296.945,451.696,,,
34,1.02.01.01,Aplicações em depósitos interfinanceiros,135.124,296.945,451.696,,,
35,1.02.02,Títulos e Valores Mobiliários,874.931,1.926.776,1.919.483,,,
36,1.02.02.01,Carteira própria,179.474,796.797,1.211.802,,,
37,1.02.02.02,Vinculados a compromissos de recompra,310.096,816.029,565.205,,,
38,1.02.02.03,Instrumentos financeiros derivativos,177.927,195.319,102.208,,,
39,1.02.02.04,Vinculados a prestação de garantias,207.434,118.631,40.268,,,
40,1.02.03,Relações Interfinanceiras,,,,,,
41,1.02.04,Relações Interdependências,,,,,,
42,1.02.05,Operações de Crédito,6.764.725,5.019.309,3.066.995,,,
43,1.02.05.01,Operações de crédito - setor privado,7.072.738,5.381.431,3.212.508,,,
44,1.02.05.02,(Provisão para créditos de liquidação duvidosa),-308.013,-362.122,-145.513,,,
45,1.02.06,Operações de Arrendamento Mercantil,,,,,,
46,1.02.07,Outros Créditos,1.935.030,2.120.679,2.218.619,,,
47,1.02.07.01,Carteira de câmbio,0,7,10.083,,,
48,1.02.07.02,Diversos,1.912.107,2.109.260,2.208.536,,,
49,1.02.07.03,Titulos e créditos a receber,23.069,11.527,0,,,
50,1.02.07.04,(Provisão para outros créditos de liquidação duvidosa),-146,-115,0,,,
51,1.02.08,Outros Valores e Bens,296.593,243.697,150.344,,,
52,1.02.08.01,Despesas antecipadas,296.593,243.697,150.344,,,
53,1.03,Ativo Permanente,1.243.885,1.269.080,255.755,,,
54,1.03.01,Investimentos,1.178.359,1.230.267,238.926,,,
55,1.03.01.01,Dependências no Exterior,,,,,,
56,1.03.01.02,Participações em Controladas,1.177.956,1.229.864,238.466,,,
57,1.03.01.03,Participações em Coligadas e Equiparadas,,,,,,
58,1.03.01.04,Outros Investimentos,403,403,460,,,
59,1.03.01.05,Provisão para Perdas,,,,,,
60,1.03.02,Imobilizado de Uso,37.722,14.807,7.868,,,
61,1.03.02.01,Outras imobilizações de uso,72.180,47.495,38.373,,,
62,1.03.02.02,Depreciações acumuladas,-34.458,-32.688,-30.505,,,
63,1.03.03,Imobilizado de Arrendamento,,,,,,
64,1.03.04,Intangível,27.804,24.006,8.961,,,
65,1.03.04.01,Ativos intangiveis,50.802,36.768,16.804,,,
66,1.03.04.02,(Amortização acumuladas),-22.998,-12.762,-7.843,,,
67,1.03.05,Diferido,,,,,,
68,2,Passivo Total,19.679.999,16.248.265,12.010.952,,,
69,2.01,Passivo Circulante,12.056.733,8.802.019,5.965.122,,,
70,2.01.01,Depósitos,8.120.280,5.750.486,3.723.375,,,
71,2.01.01.01,Depósitos á vista,178.301,101.616,97.461,,,
72,2.01.01.02,Depósitos interfinanceiros,6.519.942,4.447.185,2.695.399,,,
