,Conta,Descrição,31/12/2015,31/12/2014,31/12/2013,01/01/2015 a 31/12/2015,01/01/2014 a 31/12/2014,01/01/2013 a 31/12/2013
0,1,Ativo Total,24.802.422,24.026.775,19.679.999,,,
1,1.01,Ativo Circulante,10.794.892,9.668.009,8.429.711,,,
2,1.01.01,Disponibilidades,43.156,36.507,36.806,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,1.626.065,1.075.581,1.167.367,,,
4,1.01.02.01,Aplicações no Mercado Aberto,1.084.203,823.674,1.076.933,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,541.862,251.907,90.434,,,
6,1.01.03,Títulos e Valores Mobiliários,219.766,620.932,454.296,,,
7,1.01.03.01,Carteira Própria,81.691,216.700,281.203,,,
8,1.01.03.02,Vinculados a Compromissos de Recompra,63.296,159.007,130.597,,,
9,1.01.03.03,Instrumentos Financeiros e Derivativos,62.769,86.232,21.962,,,
10,1.01.03.04,Vinculados ao Banco Central,0,30.483,0,,,
11,1.01.03.05,Vinculados a Prestação de Garantias,12.010,128.510,20.534,,,
12,1.01.04,Relações Interfinanceiras,21.357,48.107,28.466,,,
13,1.01.04.01,Pagamentos e Recebimentos a Liquidar,,,,,,
14,1.01.04.02,Créditos Vinculados - Depósitos no Banco Central,2.959,2.917,2.345,,,
15,1.01.04.03,Correspondentes no País,18.398,45.190,26.121,,,
16,1.01.05,Relações Interdependências,,,,,,
17,1.01.05.01,Transferências Internas de Recursos,,,,,,
18,1.01.06,Operações de Crédito,6.135.018,5.819.806,4.317.921,,,
19,1.01.06.01,Operações de Crédito - Setor Privado,6.725.520,6.303.257,4.810.334,,,
20,1.01.06.02,(Provisão para Créditos de Liquidação Duvidosa),-590.502,-483.451,-492.413,,,
21,1.01.07,Operações de Arrendamento Mercantil,,,,,,
22,1.01.08,Outros Créditos,2.330.686,1.875.345,2.278.409,,,
23,1.01.08.01,Carteira de Câmbio,245.201,532.656,428.518,,,
24,1.01.08.02,Rendas a Receber,1.234,0,0,,,
25,1.01.08.03,Negociação e Intermediação de Valores,4.169,17.529,720,,,
26,1.01.08.04,Diversos,1.299.887,668.074,1.286.537,,,
27,1.01.08.05,Titulos e Créditos a Receber,842.258,700.934,605.216,,,
28,1.01.08.06,(Provisão para Outros Créditos de Liquidação Duvidosa),-62.063,-43.848,-42.582,,,
29,1.01.09,Outros Valores e Bens,418.844,191.731,146.446,,,
30,1.01.09.01,Outros Valores e Bens,140.922,85.397,85.030,,,
31,1.01.09.02,(Provisão para Desvalorização),-34.134,-31.820,-49.023,,,
32,1.01.09.03,Despesas Antecipadas,312.056,138.154,110.439,,,
33,1.02,Ativo Realizável a Longo Prazo,12.983.265,13.272.468,10.006.403,,,
34,1.02.01,Aplicações Interfinanceiras de Liquidez,85.732,72.979,135.124,,,
35,1.02.01.01,Aplicações em Depósitos Interfinanceiros,85.732,72.979,135.124,,,
36,1.02.02,Títulos e Valores Mobiliários,2.139.409,1.664.832,874.931,,,
37,1.02.02.01,Carteira Própria,262.759,492.643,179.474,,,
38,1.02.02.02,Vinculados a Compromissos de Recompra,1.211.406,889.972,310.096,,,
39,1.02.02.03,Instrumentos Financeiros Derivativos,621.324,255.521,177.927,,,
40,1.02.02.04,Vinculados a Prestação de Garantias,43.920,26.696,207.434,,,
41,1.02.03,Relações Interfinanceiras,,,,,,
42,1.02.04,Relações Interdependências,,,,,,
43,1.02.05,Operações de Crédito,7.642.370,8.183.741,6.764.725,,,
44,1.02.05.01,Operações de Crédito - Setor Privado,7.914.310,8.461.800,7.072.738,,,
45,1.02.05.02,(Provisão para Créditos de Liquidação Duvidosa),-271.940,-278.059,-308.013,,,
46,1.02.06,Operações de Arrendamento Mercantil,,,,,,
47,1.02.07,Outros Créditos,2.978.998,2.883.997,1.935.030,,,
48,1.02.07.01,Carteira de Câmbio,0,12.461,0,,,
49,1.02.07.02,Diversos,2.894.351,2.847.788,1.912.107,,,
50,1.02.07.03,Titulos e Créditos a Receber,100.479,29.358,23.069,,,
51,1.02.07.04,(Provisão para Outros Créditos de Liquidação Duvidosa),-15.832,-5.610,-146,,,
52,1.02.08,Outros Valores e Bens,136.756,466.919,296.593,,,
53,1.02.08.01,Despesas Antecipadas,136.756,466.919,296.593,,,
54,1.03,Ativo Permanente,1.024.265,1.086.298,1.243.885,,,
55,1.03.01,Investimentos,937.500,1.018.965,1.178.359,,,
56,1.03.01.01,Dependências no Exterior,,,,,,
57,1.03.01.02,Participações em Controladas,934.029,1.018.170,1.177.956,,,
58,1.03.01.03,Participações em Coligadas e Equiparadas,,,,,,
59,1.03.01.04,Outros Investimentos,3.471,795,403,,,
60,1.03.01.05,Provisão para Perdas,,,,,,
61,1.03.02,Imobilizado de Uso,30.912,32.671,37.722,,,
62,1.03.02.01,Outras Imobilizações de Uso,51.731,47.282,72.180,,,
63,1.03.02.02,(Depreciações Acumuladas),-20.819,-14.611,-34.458,,,
64,1.03.03,Imobilizado de Arrendamento,,,,,,
65,1.03.04,Intangível,55.853,34.662,27.804,,,
66,1.03.04.01,Ativos Intangiveis,99.067,70.870,50.802,,,
67,1.03.04.02,(Amortização Acumuladas),-43.214,-36.208,-22.998,,,
68,1.03.05,Diferido,,,,,,
69,2,Passivo Total,24.802.422,24.026.775,19.679.999,,,
70,2.01,Passivo Circulante,15.928.257,14.186.285,12.056.733,,,
71,2.01.01,Depósitos,10.613.117,9.829.149,8.120.280,,,
72,2.01.01.01,Depósitos à Vista,75.647,107.184,178.301,,,
73,2.01.01.02,Depósitos Interfinanceiros,10.060.290,8.614.458,6.519.942,,,
74,2.01.01.03,Depósitos a Prazo,477.180,1.107.507,1.422.037,,,
75,2.01.02,Captações no Mercado Aberto,1.543.421,158.988,1.034.884,,,
76,2.01.02.01,Carteira Própria,1.121.672,158.988,370.807,,,
77,2.01.02.02,Carteira de Terceiro,152.179,0,664.077,,,
78,2.01.02.03,Carteira Livre Movimentação,269.570,0,0,,,
79,2.01.03,Recursos de Aceites e Emissão de Títulos,2.114.167,2.766.722,1.676.695,,,
80,2.01.03.01,"Recursos de Letras Imobiliárias, Hipotecárias, de Crédito e Similares",2.114.167,1.993.112,1.664.954,,,
81,2.01.03.02,Obrigações por Títulos e Valores Mobiliários no Exterior,0,773.610,11.741,,,
82,2.01.04,Relações Interfinanceiras,102.786,107.299,138.700,,,
83,2.01.04.01,Recebimentos e Pagamentos a Liquidar,,,,,,
84,2.01.04.02,Correspondentes no Pais,102.786,107.299,138.700,,,
85,2.01.05,Relações Interdependências,28.988,4.041,603,,,
86,2.01.05.01,Recursos em Trânsito de Terceiros,28.988,4.041,603,,,
87,2.01.06,Obrigações por Empréstimos,,,,,,
88,2.01.06.01,Empréstimos no Exterior,,,,,,
89,2.01.07,Obrigações por Repasse do País,,,,,,
90,2.01.08,Obrigações por Repasse do Exterior,,,,,,
91,2.01.09,Outras Obrigações,1.525.778,1.320.086,1.085.571,,,
92,2.01.09.01,Cobrança e Arrecadação de Tributos e Assemelhados,10.714,8.802,4.516,,,
93,2.01.09.02,Carteira de Câmbio,6,664,0,,,
94,2.01.09.03,Sociais e Estatutárias,2.679,1.540,0,,,
95,2.01.09.04,Fiscais e Previdenciárias,35.499,48.599,32.617,,,
96,2.01.09.05,Negociação e Intermediação de Valores,10.153,7.737,6.235,,,
97,2.01.09.06,Dividas Subordinadas,250.782,95.409,72.007,,,
98,2.01.09.07,Diversas,1.212.552,1.120.127,968.498,,,
99,2.01.09.08,Instrumentos Financeiros Derivativos,3.393,37.208,1.698,,,
100,2.02,Passivo Exigível a Longo Prazo,5.228.803,6.204.399,5.312.753,,,
101,2.02.01,Depósitos,1.608.419,1.815.409,1.534.937,,,
102,2.02.01.01,Depósitos Interfinanceiros,36.803,85.122,64.099,,,
103,2.02.01.02,Depósitos a Prazo,1.571.616,1.730.287,1.470.838,,,
104,2.02.02,Captações no Mercado Aberto,100.551,1.028.368,57.712,,,
105,2.02.02.01,Carteira Própria,100.551,870.359,57.712,,,
106,2.02.02.02,Carteira de Terceiros,0,158.009,0,,,
107,2.02.03,Recursos de Aceites e Emissão de Títulos,831.259,1.204.068,2.185.904,,,
108,2.02.03.01,"Recursos de Letras Imobiliárias, Hipotecárias, de Crédito e Similares",831.259,1.204.068,1.509.741,,,
109,2.02.03.02,Obrigações por Titulos e Valores Mobiliários no Exterior,0,0,676.163,,,
110,2.02.04,Relações Interfinanceiras,,,,,,
111,2.02.04.01,Correspindentes no Pais,,,,,,
112,2.02.05,Relações Interdependências,,,,,,
113,2.02.06,Obrigações por Empréstimos,,,,,,
114,2.02.07,Obrigações por Repasse do País,,,,,,
115,2.02.08,Obrigações por Repasse do Exterior,,,,,,
116,2.02.09,Outras Obrigações,2.688.574,2.156.554,1.534.200,,,
117,2.02.09.01,Fiscais e Previdenciárias,0,0,28.957,,,
118,2.02.09.02,Dividas Subordinadas,2.107.153,1.460.874,1.288.620,,,
119,2.02.09.03,Diversas,555.063,694.041,196.364,,,
