,Conta,Descrição,31/12/2017,31/12/2016,31/12/2015,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016,01/01/2015 a 31/12/2015
0,1,Ativo Total,8.644.422,8.194.597,8.967.637,,,
1,1.01,Ativo Circulante,4.382.540,4.131.478,4.504.890,,,
2,1.01.01,Disponibilidades,166.462,73.426,89.414,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,1.241.688,586.809,504.580,,,
4,1.01.02.01,Aplicações no Mercado Aberto,1.187.646,428.768,381.846,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,54.042,0,5.989,,,
6,1.01.02.03,Aplicações em Moeda Estangeira,0,158.041,116.745,,,
7,1.01.03,Títulos e Valores Mobiliários,610.868,1.366.583,1.390.931,,,
8,1.01.03.01,Carteira Própria,177.904,721.457,229.105,,,
9,1.01.03.02,Vinculados a Compromissos de Recompra,390.457,365.684,552.314,,,
10,1.01.03.03,Instrumentos Financeiros Derivativos,27.909,209.862,395.096,,,
11,1.01.03.04,Vinculados ao Banco Central,,,,,,
12,1.01.03.05,Vinculados à Prestação de Garantias,14.598,69.580,214.416,,,
13,1.01.04,Relações Interfinanceiras,742,848,577,,,
14,1.01.04.01,Pagamentos e Recebimentos a Liquidar,,,,,,
15,1.01.04.02,Depósitos no Banco Central do Brasil,742,848,577,,,
16,1.01.05,Relações Interdependências,,,,,,
17,1.01.06,Operações de Crédito,1.538.061,1.544.157,1.882.764,,,
18,1.01.06.01,Setor Privado,1.941.187,1.637.128,1.885.955,,,
19,1.01.06.02,Setor Público,,,,,,
20,1.01.06.03,(-) Provisão para Operações de Crédito de Liquidação Duvidosa,-403.126,-92.971,-97.759,,,
21,1.01.06.04,Operações de Crédito Vinculadas a Cessão,0,0,94.568,,,
22,1.01.07,Operações de Arrendamento Mercantil,,,,,,
23,1.01.08,Outros Créditos,556.030,429.721,576.533,,,
24,1.01.08.01,Carteira de Câmbio,159.518,229.458,241.500,,,
25,1.01.08.02,Rendas a Receber,33.026,30.389,32.597,,,
26,1.01.08.03,Negociação e Intermediação de Valores,5.782,23.907,41.508,,,
27,1.01.08.04,Diversos,364.632,152.227,295.840,,,
28,1.01.08.05,(-) Provisão para Outros Créditos de Liquidação Duvidosa,-6.928,-6.260,-48.414,,,
29,1.01.08.06,Avais e Fianças Honradas,0,0,13.502,,,
30,1.01.09,Outros Valores e Bens,268.689,129.934,60.091,,,
31,1.01.09.01,Bens não de Uso Próprio,254.692,110.864,56.910,,,
32,1.01.09.02,Despesas Antecipadas,13.997,19.070,3.181,,,
33,1.02,Ativo Realizável a Longo Prazo,3.948.222,3.802.584,4.268.515,,,
34,1.02.01,Aplicações Interfinanceiras de Liquidez,,,,,,
35,1.02.01.01,Aplicações em Depósitos Interfinanceiros,,,,,,
36,1.02.01.02,Aplicações em Moeda Estangeira,,,,,,
37,1.02.02,Títulos e Valores Mobiliários,1.877.974,1.378.260,1.808.795,,,
38,1.02.02.01,Carteira Própria,227.662,133.519,921.078,,,
39,1.02.02.03,Instrumentos Financeiros Derivativos,1.095.242,799.142,832.181,,,
40,1.02.02.04,Vinculados à Prestação de Garantias,555.070,445.599,55.536,,,
41,1.02.03,Relações Interfinanceiras,,,,,,
42,1.02.04,Relações Interdependências,,,,,,
43,1.02.05,Operações de Crédito,1.316.121,1.552.041,1.531.470,,,
44,1.02.05.01,Setor Privado,1.463.847,1.666.255,1.574.720,,,
45,1.02.05.02,Setor Público,,,,,,
46,1.02.05.03,(-) Provisão para Operações de Crédito com Liquidação Duvidosa,-147.726,-114.214,-63.384,,,
47,1.02.05.04,Operações de Crédito Vinculadas a Cessão,0,0,20.134,,,
48,1.02.06,Operações de Arrendamento Mercantil,,,,,,
49,1.02.07,Outros Créditos,727.936,689.278,676.896,,,
50,1.02.07.01,Carteira de Câmbio,31.250,0,0,,,
51,1.02.07.02,Rendas a Receber,48.443,45.476,37.708,,,
52,1.02.07.03,Devedores por Depósito em Garantia,49.564,48.335,44.708,,,
53,1.02.07.04,Diversos,620.438,608.693,595.299,,,
54,1.02.07.05,(-) Provisão para Outros Créditos de Liquidação Duvidosa,-21.759,-13.226,-819,,,
55,1.02.08,Outros Valores e Bens,26.191,183.005,251.354,,,
56,1.02.08.01,Despesas Antecipadas,1.125,1.636,5.569,,,
57,1.02.08.02,Bens não de uso próprio,25.066,181.369,245.785,,,
58,1.03,Ativo Permanente,313.660,260.535,194.232,,,
59,1.03.01,Investimentos,311.335,250.812,182.757,,,
60,1.03.01.01,Dependências no Exterior,26.634,4.511,2.898,,,
61,1.03.01.02,Participações em Controladas,284.701,246.301,179.859,,,
62,1.03.01.03,Participações em Coligadas e Equiparadas,,,,,,
63,1.03.01.04,Outros Investimentos,,,,,,
64,1.03.01.05,Provisão para Perdas,,,,,,
65,1.03.02,Imobilizado de Uso,2.251,9.575,11.087,,,
66,1.03.02.01,"Instalações, Móveis Equipamentos de Uso",13.342,13.145,13.096,,,
67,1.03.02.02,Outras Imbobilizações de Uso,4.164,14.626,14.915,,,
68,1.03.02.03,(-) Depreciações Acumuladas,-15.255,-18.196,-16.924,,,
69,1.03.03,Imobilizado de Arrendamento,,,,,,
70,1.03.04,Intangível,74,148,388,,,
71,1.03.04.01,Gastos com Aquisição e Desenvolvimento de Logiciais,9.614,9.614,9.614,,,
72,1.03.04.02,(-) Amortização Acumulada,-9.540,-9.466,-9.226,,,
73,1.03.05,Diferido,,,,,,
74,2,Passivo Total,8.644.422,8.194.597,8.967.637,,,
75,2.01,Passivo Circulante,4.172.311,3.598.926,4.535.490,,,
76,2.01.01,Depósitos,2.054.532,876.076,1.012.755,,,
77,2.01.01.01,Depósitos à Vista,14.877,16.579,17.896,,,
78,2.01.01.02,Depósitos Interfinanceiros,103.452,46.264,122.065,,,
79,2.01.01.03,Depósitos a Prazo,1.936.203,813.233,872.794,,,
80,2.01.01.04,Outros Depósitos,,,,,,
81,2.01.02,Captações no Mercado Aberto,398.003,483.917,550.907,,,
82,2.01.02.01,Carteira Própria,398.003,363.896,550.907,,,
83,2.01.02.02,Carteira de Terceiros,0,120.021,0,,,
84,2.01.03,Recursos de Aceites e Emissão de Títulos,1.028.783,1.319.759,1.557.449,,,
85,2.01.03.01,Recursos de letras de crédito imobiliário,609.706,616.707,600.122,,,
86,2.01.03.02,Recursos de Letras de Crédito do Agronegócio,352.116,492.408,428.354,,,
87,2.01.03.03,Recursos de letras financeiras,66.961,124.882,528.461,,,
88,2.01.03.04,Obrigações por Títulos e Valores Mobiliários,0,85.762,512,,,
89,2.01.04,Relações Interfinanceiras,129,583,1.099,,,
90,2.01.04.01,Correspondentes,129,583,1.099,,,
91,2.01.05,Relações Interdependências,6.639,3.027,7.352,,,
