,Conta,Descrição,31/12/2012,31/12/2011,31/12/2010,01/01/2012 a 31/12/2012,01/01/2011 a 31/12/2011,01/01/2010 a 31/12/2010
0,1,Ativo Total,473.448.707,465.225.117,396.371.859,,,
1,1.01,Ativo Circulante,250.715.643,245.996.451,195.243.147,,,
2,1.01.01,Disponibilidades,4.653.214,4.458.365,4.375.077,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,51.106.876,47.442.765,31.655.506,,,
4,1.01.02.01,Aplicações no Mercado Aberto,21.353.662,18.966.086,13.229.837,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,20.458.741,25.524.342,14.147.122,,,
6,1.01.02.03,Aplicações em Moedas Estrangeiras,9.294.473,2.952.337,4.278.547,,,
7,1.01.03,Títulos e Valores Mobiliários,37.326.162,36.552.965,26.158.635,,,
8,1.01.03.01,Carteira Própria,14.145.665,12.631.582,13.563.844,,,
9,1.01.03.02,Vinculados a Compromisso de Recompra,18.957.131,20.968.002,9.642.805,,,
10,1.01.03.03,Instrumentos Financeiros Derivativos,1.041.124,1.681.081,1.808.719,,,
11,1.01.03.04,Tít. Obj. de Oper. Comprom. Livre Mov.,,,,,,
12,1.01.03.05,Vinculados ao Banco Central,1.118.510,361.714,777.707,,,
13,1.01.03.06,Vinculados à Prestação de Garantias,2.063.732,910.586,365.560,,,
14,1.01.04,Relações Interfinanceiras,34.121.412,44.814.618,38.998.435,,,
15,1.01.04.01,Pagamentos e Recebimentos a Liquidar,1.979,2.445,8.395,,,
16,1.01.04.02,Depósitos no Banco Central,34.082.514,44.784.542,38.966.991,,,
17,1.01.04.03,SFH - Sistema Financeiro da Habitação,1.159,304,2.059,,,
18,1.01.04.04,Repasses Interfinanceiros,,,,,,
19,1.01.04.05,Correspondentes,35.760,27.327,20.990,,,
20,1.01.05,Relações Interdependências,1.509,856,1.751,,,
21,1.01.05.01,Recursos em Trânsito de Terceiros,0,0,1.751,,,
22,1.01.05.02,Transferências Internas de Recursos,1.509,856,0,,,
23,1.01.06,Operações de Crédito,54.349.968,56.501.363,56.639.642,,,
24,1.01.06.01,Setor Público,65.928,50.992,73.472,,,
25,1.01.06.02,Setor Privado,56.697.207,57.901.637,57.880.579,,,
26,1.01.06.03,(Provisão para Operações de Créditos Liquidação Duvidosa),-2.413.167,-1.451.266,-1.314.409,,,
27,1.01.07,Operações de Arrendamento Mercantil,46.338,100.055,159.530,,,
28,1.01.07.01,Setor Privado,49.904,106.344,175.067,,,
29,1.01.07.02,(Provisão para Créditos Arrendamento Mercantil de Liquidação Duvidosa),-3.566,-6.289,-15.537,,,
30,1.01.08,Outros Créditos,68.581.922,55.725.216,36.905.962,,,
31,1.01.08.01,Créditos por Avais e Fianças Honrados,2.541,0,1.264,,,
32,1.01.08.02,Carteira de Câmbio,38.349.206,34.851.804,20.055.172,,,
33,1.01.08.03,Rendas a Receber,568.937,428.318,832.179,,,
34,1.01.08.04,Negociação e Intermediação de Valores,904.278,694.563,645.952,,,
35,1.01.08.05,Créditos Tributários,6.020.627,5.980.796,4.925.931,,,
36,1.01.08.06,Diversos,22.820.862,13.865.062,10.558.752,,,
37,1.01.08.07,(Provisão para Outros Créditos de Liquidação Duvidosa),-84.529,-95.327,-113.288,,,
38,1.01.09,Outros Valores e Bens,528.242,400.248,348.609,,,
39,1.01.09.01,Ativos Não-Correntes Mantidos para Venda,112.322,103.104,0,,,
40,1.01.09.02,Outros Valores e Bens,190.278,97.592,108.495,,,
41,1.01.09.03,(Provisões para Desvalorizações),-146.956,-87.435,-98.811,,,
42,1.01.09.04,Despesas Antecipadas,372.598,286.987,338.925,,,
43,1.02,Ativo Realizável a Longo Prazo,182.761.544,179.254.338,155.227.016,,,
44,1.02.01,Aplicações Interfinanceiras de Liquidez,14.431.441,14.219.658,9.703.277,,,
45,1.02.01.01,Aplicações em Depósitos Interfinanceiros,14.431.441,13.848.311,9.373.447,,,
46,1.02.01.02,Aplicações em Moedas Estrangeiras,0,371.547,330.030,,,
47,1.02.01.03,(Provisões para Perdas),0,-200,-200,,,
48,1.02.02,Títulos e Valores Mobiliários,64.249.415,68.593.921,70.025.053,,,
49,1.02.02.01,Carteira Própria,8.704.872,11.569.804,7.195.826,,,
50,1.02.02.02,Vinculados a Compromisso de Recompra,43.407.334,43.790.339,48.079.904,,,
51,1.02.02.03,Instrumentos Financeiros Derivativos,3.691.872,2.567.924,3.208.409,,,
52,1.02.02.04,Vinculados ao Banco Central,368.673,1.859.544,6.481.649,,,
53,1.02.02.05,Moedas de Privatização,2.762,2.145,1.943,,,
54,1.02.02.06,Vinculados à Prestação de Garantias,8.073.902,8.804.165,5.057.322,,,
55,1.02.03,Relações Interfinanceiras,167.663,198.439,185.069,,,
56,1.02.03.01,SFH - Sistema Financeiro da Habitação,167.663,198.439,185.069,,,
57,1.02.03.02,Repasses Interfinanceiros,,,,,,
58,1.02.04,Relações Interdependências,,,,,,
59,1.02.05,Operações de Crédito,86.013.060,79.499.007,60.650.568,,,
60,1.02.05.01,Setor Público,80.028,129.644,144.225,,,
61,1.02.05.02,Setor Privado,96.449.751,88.127.428,66.443.788,,,
62,1.02.05.03,(Provisão para Operações de Créditos de Liquidação Duvidosa),-10.516.719,-8.758.065,-5.937.445,,,
63,1.02.06,Operações de Arrendamento Mercantil,6.226,59.880,173.546,,,
64,1.02.06.01,Setor Privado,9.912,67.633,206.465,,,
65,1.02.06.02,(Provisão para Créditos Arrendamento Mercantil Liquidação Duvidosa),-3.686,-7.753,-32.919,,,
66,1.02.07,Outros Créditos,17.554.338,16.582.092,14.461.069,,,
67,1.02.07.01,Créditos por Avais e Fianças Honrados,6.651,1.823,8.854,,,
68,1.02.07.02,Carteira de Câmbio,204.928,293.913,134.569,,,
69,1.02.07.03,Rendas a Receber,117.101,55.466,56.785,,,
70,1.02.07.04,Créditos Tributários,8.077.783,6.580.968,6.404.427,,,
71,1.02.07.05,Diversos,9.425.978,9.994.016,8.083.732,,,
72,1.02.07.06,(Provisão para Outros Créditos de Liquidação Duvidosa),-278.103,-344.094,-227.298,,,
73,1.02.08,Outros Valores e Bens,339.401,101.341,28.434,,,
74,1.02.08.01,Investimentos Temporários,8.061,8.061,8.061,,,
75,1.02.08.02,(Provisões para Perdas),-1.765,-1.765,-1.765,,,
76,1.02.08.03,Despesas Antecipadas,333.105,95.045,22.138,,,
77,1.03,Ativo Permanente,39.971.520,39.974.328,45.901.696,,,
78,1.03.01,Investimentos,17.403.923,15.209.932,19.068.672,,,
79,1.03.01.01,Dependências no Exterior,,,,,,
80,1.03.01.02,Participações em Controladas,17.387.119,15.166.376,19.022.918,,,
81,1.03.01.02.01,No País,15.368.790,15.166.376,18.931.334,,,
82,1.03.01.02.02,No Exterior,2.018.329,0,91.584,,,
83,1.03.01.03,Participações em Coligadas e Equiparadas,,,,,,
84,1.03.01.04,Outros Investimentos,48.655,75.407,86.763,,,
85,1.03.01.05,Provisão para Perdas,-31.851,-31.851,-41.009,,,
86,1.03.02,Imobilizado de Uso,5.566.140,4.902.891,4.406.494,,,
87,1.03.02.01,Imóveis de Uso,2.065.276,2.137.681,2.140.716,,,
88,1.03.02.02,Outras Imobilizações de Uso,7.878.484,6.601.722,5.577.194,,,
89,1.03.02.03,(Depreciações Acumuladas),-4.377.620,-3.836.512,-3.311.416,,,
90,1.03.03,Imobilizado de Arrendamento,,,,,,
91,1.03.04,Intangível,17.001.457,19.861.505,22.426.530,,,
92,1.03.04.01,Ágio na Aquisição de Sociedades Controladas,26.012.090,26.868.346,26.810.539,,,
93,1.03.04.02,Outros Ativos Intangíveis,6.996.274,6.111.869,5.562.684,,,
94,1.03.04.03,(Amortizações Acumuladas),-16.006.907,-13.118.710,-9.946.693,,,
95,1.03.05,Diferido,,,,,,
96,2,Passivo Total,473.448.707,465.225.117,396.371.859,,,
97,2.01,Passivo Circulante,278.920.887,271.290.416,220.371.078,,,
98,2.01.01,Depósitos,104.628.175,113.464.541,100.474.701,,,
99,2.01.01.01,Depósitos à Vista,13.680.737,13.684.773,16.540.171,,,
100,2.01.01.02,Depósitos de Poupança,26.856.910,23.293.434,30.303.463,,,
