,Conta,Descrição,31/12/2012,31/12/2011,31/12/2010,01/01/2012 a 31/12/2012,01/01/2011 a 31/12/2011,01/01/2010 a 31/12/2010
0,1,Ativo Total,12.308.952,10.027.608,9.405.724,,,
1,1.01,Ativo Circulante,8.642.952,6.684.652,6.011.271,,,
2,1.01.01,Disponibilidades,181.066,169.231,120.481,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,5.030.442,3.412.810,3.010.264,,,
4,1.01.02.01,Aplicações no Mercado Aberto,5.030.442,3.407.528,2.992.866,,,
5,1.01.02.02,Aplicações em Depósitos Financeiros,0,5.282,17.398,,,
6,1.01.03,Títulos e Valores Mobiliários,456.401,538.116,534.735,,,
7,1.01.03.01,Carteira Própria,382.048,490.144,434.957,,,
8,1.01.03.02,Vinculados a Compromisso de Recompra,61.234,46.120,97.823,,,
9,1.01.03.03,Vinculados a Prestação de Garantia,13.119,1.798,1.529,,,
10,1.01.03.04,Instrumentos Financeiros Derivativos,0,54,426,,,
11,1.01.04,Relações Interfinanceiras,726.366,564.823,479.242,,,
12,1.01.04.01,Pagamentos e Recebimentos a Liquidar,3.209,629,372,,,
13,1.01.04.02,Créditos Vinculados - Depósitos no Banco Central do Brasil,719.751,561.255,475.385,,,
14,1.01.04.03,Correspondentes,3.406,2.939,3.485,,,
15,1.01.05,Relações Interdependências,4,54,0,,,
16,1.01.05.01,Recursos em Trânsito de Terceiros,0,1,0,,,
17,1.01.05.02,Transferências Internas de Recursos,4,53,0,,,
18,1.01.06,Operações de Crédito,1.740.330,1.502.263,1.425.484,,,
19,1.01.06.01,Operações de Crédito - Setor Privado,1.858.261,1.619.069,1.543.425,,,
20,1.01.06.02,(Provisão para Perdas de Operações de Crédito),-117.931,-116.806,-117.941,,,
21,1.01.07,Operações de Arrendamento Mercantil,47.013,49.771,62.743,,,
22,1.01.07.01,Operações de Arrendamentos a Receber - Setor Privado,49.646,51.719,66.566,,,
23,1.01.07.02,(Provisão para Perdas de Arrendamento Mercantil),-2.633,-1.948,-3.823,,,
24,1.01.08,Outros Créditos,426.116,410.673,355.368,,,
25,1.01.08.01,Carteira de Câmbio,204.740,224.101,196.550,,,
26,1.01.08.02,Rendas a Receber,12.435,8.144,63.098,,,
27,1.01.08.03,Diversos,213.681,187.803,121.782,,,
28,1.01.08.04,(Provisão para Perdas em Outros Créditos),-4.740,-9.375,-26.062,,,
29,1.01.09,Outros Valores e Bens,35.214,36.911,22.954,,,
30,1.01.09.01,Outros Valores e Bens,31.378,34.347,20.001,,,
31,1.01.09.02,(Provisão para Desvalorização),-467,-757,-143,,,
32,1.01.09.03,Despesas Antecipadas,4.303,3.321,3.096,,,
33,1.02,Ativo Realizável a Longo Prazo,3.463.141,3.154.682,3.236.710,,,
34,1.02.01,Aplicações Interfinanceiras de Liquidez,,,,,,
35,1.02.01.01,Aplicações em Depósitos Interfinanceiros,,,,,,
36,1.02.02,Títulos e Valores Mobiliários,1.612.156,1.176.392,1.156.215,,,
37,1.02.02.01,Carteira Própria,862.661,531.582,658.334,,,
38,1.02.02.02,Vinculados a Compromisso de Recompra,749.288,623.644,469.270,,,
39,1.02.02.03,Vinculados a Prestação de Garantia,207,21.166,28.611,,,
40,1.02.02.04,Instrumentos Financeiros Derivativos,,,,,,
41,1.02.03,Relações Interfinanceiras,43.175,149.988,144.608,,,
42,1.02.03.01,Créditos Vinculados - Depósitos no Banco Central do Brasil,,,,,,
43,1.02.03.02,Créditos Vinculados - Sistema Financeiro Habitacional,43.175,149.988,144.608,,,
44,1.02.04,Relações Interdependências,,,,,,
45,1.02.05,Operações de Crédito,1.500.351,1.535.269,1.611.532,,,
46,1.02.05.01,Operações de Crédito - Setor Privado,1.536.458,1.575.107,1.644.591,,,
47,1.02.05.02,(Provisão para Perdas de Operações de Crédito),-36.107,-39.838,-33.059,,,
48,1.02.06,Operações de Arrendamento Mercantil,37.554,57.907,63.413,,,
49,1.02.06.01,Operações de Arrendamentos a Receber - Setor Privado,39.938,59.350,67.762,,,
50,1.02.06.02,(Provisão para Perdas de Arrendamento Mercantil),-2.384,-1.443,-4.349,,,
51,1.02.07,Outros Créditos,266.441,233.672,259.484,,,
52,1.02.07.01,Carteira de Câmbio,317,62,0,,,
53,1.02.07.02,Diversos,269.660,236.941,262.794,,,
54,1.02.07.03,(Provisão para Perdas de Outros Créditos),-3.536,-3.331,-3.310,,,
55,1.02.08,Outros Valores e Bens,3.464,1.454,1.458,,,
56,1.02.08.01,Outros Valores e Bens,2.566,520,520,,,
57,1.02.08.02,Despesas Antecipadas,898,934,938,,,
58,1.03,Ativo Permanente,202.859,188.274,157.743,,,
59,1.03.01,Investimentos,103.224,92.274,88.542,,,
60,1.03.01.01,Dependências no Exterior,,,,,,
61,1.03.01.02,Participações em Controladas,100.117,89.122,85.423,,,
62,1.03.01.03,Participações em Coligadas e Equiparadas,,,,,,
63,1.03.01.04,Outros Investimentos,4.136,4.181,4.148,,,
64,1.03.01.05,Provisão para Perdas,-1.029,-1.029,-1.029,,,
65,1.03.02,Imobilizado de Uso,84.563,88.973,64.298,,,
66,1.03.02.01,Imóveis de Uso,1.431,1.320,1.320,,,
67,1.03.02.02,Reavaliação de Imóveis de Uso,8.914,8.914,8.914,,,
68,1.03.02.03,Outras Imobilizações de Uso,161.261,155.325,121.234,,,
69,1.03.02.04,(Depreciações Acumuladas),-87.043,-76.586,-67.170,,,
70,1.03.03,Imobilizado de Arrendamento,,,,,,
71,1.03.04,Intangível,15.072,7.027,4.903,,,
72,1.03.04.01,Ativos Intangíveis,19.530,13.678,11.161,,,
73,1.03.04.02,(Amortização Acumulada),-4.458,-6.651,-6.258,,,
74,1.03.05,Diferido,,,,,,
75,2,Passivo Total,12.308.952,10.027.608,9.405.724,,,
76,2.01,Passivo Circulante,8.596.912,7.092.217,6.755.527,,,
77,2.01.01,Depósitos,4.783.480,4.077.099,3.468.925,,,
78,2.01.01.01,Depósitos à Vista,1.285.839,1.070.365,997.715,,,
79,2.01.01.02,Depósitos de Poupança,1.885.499,1.620.121,1.341.057,,,
80,2.01.01.03,Depósitos Interfinanceiros,9.500,11.900,3.900,,,
81,2.01.01.04,Depósitos a Prazo,1.602.642,1.374.713,1.125.661,,,
82,2.01.01.05,Outros Depósitos,0,0,592,,,
83,2.01.02,Captações no Mercado Aberto,3.006.757,2.247.220,2.625.899,,,
84,2.01.02.01,Carteira Própria,808.773,668.382,565.900,,,
85,2.01.02.02,Carteira de Terceiros,2.197.984,1.578.838,2.059.999,,,
86,2.01.03,Recursos de Aceites e Emissão de Títulos,25.118,41.697,30.050,,,
87,2.01.03.01,"Recursos de Aceites Cambiais; Letras Imobiliárias, Hipotecárias e de Créditos de Deb. e Similares",25.118,41.697,30.050,,,
88,2.01.04,Relações Interfinanceiras,3.833,2.419,3.038,,,
89,2.01.04.01,Recebimentos e Pagamentos a Liquidar,1.917,851,1.046,,,
90,2.01.04.02,Correspondentes,1.916,1.568,1.992,,,
91,2.01.05,Relações Interdependências,27.037,13.736,10.867,,,
92,2.01.05.01,Recursos em Trânsito de Terceiros,26.947,13.736,10.810,,,
93,2.01.05.02,Transferências Internas de Recursos,90,0,57,,,
94,2.01.06,Obrigações por Empréstimos,221.660,236.661,199.583,,,
95,2.01.06.01,Empréstimos no Exterior,221.660,236.661,199.583,,,
96,2.01.07,Obrigações por Repasse do País,151.544,171.716,160.468,,,
97,2.01.07.01,BNDES,2.685,5.952,5.401,,,
98,2.01.07.02,FINAME,37.276,41.998,37.906,,,
99,2.01.07.03,Outras Instituições,111.583,123.766,117.161,,,
100,2.01.08,Obrigações por Repasse do Exterior,,,,,,
101,2.01.09,Outras Obrigações,377.483,301.669,256.697,,,
102,2.01.09.01,Cobrança e Arrecadação de Tributos e Assemelhados,2.503,3.522,2.373,,,
103,2.01.09.02,Carteira de Câmbio,2.309,2.831,1.942,,,
104,2.01.09.03,Sociais e Estatutárias,21.214,21.020,21.277,,,
105,2.01.09.04,Fiscais e Previdenciárias,13.040,15.657,12.099,,,
106,2.01.09.05,Instrumentos Financeiros e Derivativos,0,0,1,,,
107,2.01.09.06,Diversas,338.417,258.639,219.005,,,
108,2.02,Passivo Exigível a Longo Prazo,2.837.788,2.098.449,1.857.897,,,
109,2.02.01,Depósitos,2.644.992,1.918.399,1.644.584,,,
110,2.02.01.01,Depósitos a Prazo,2.644.992,1.918.399,1.644.584,,,
111,2.02.02,Captações no Mercado Aberto,,,,,,
112,2.02.03,Recursos de Aceites e Emissão de Títulos,0,1.468,0,,,
113,2.02.03.01,"Recursos de Aceites Cambiais; Letras Imobiliárias, Hipotecárias e Créditos de Deb. e Similares",0,1.468,0,,,
114,2.02.04,Relações Interfinanceiras,,,,,,
115,2.02.05,Relações Interdependências,,,,,,
116,2.02.06,Obrigações por Empréstimos,8.047,5.482,4.179,,,
117,2.02.06.01,Empréstimos no Exterior,8.047,5.482,4.179,,,
118,2.02.06.02,Empréstimos no País - Instituições Oficiais,,,,,,
119,2.02.07,Obrigações por Repasse do País,97.898,92.693,100.454,,,
120,2.02.07.01,BNDES,6.906,3.155,6.322,,,
121,2.02.07.02,FINAME,86.143,85.789,90.770,,,
122,2.02.07.03,Outras Instituições,4.849,3.749,3.362,,,
123,2.02.08,Obrigações por Repasse do Exterior,,,,,,
124,2.02.09,Outras Obrigações,86.851,80.407,108.680,,,
125,2.02.09.01,Fiscais e Previdenciárias,73.732,64.996,59.459,,,
126,2.02.09.02,Diversas,13.119,15.411,49.221,,,
127,2.02.09.03,Carteira de Câmbio,,,,,,
128,2.02.09.04,Sociais e Estatutárias,,,,,,
129,2.03,Resultados de Exercícios Futuros,1.679,1.386,1.131,,,
130,2.05,Patrimônio Líquido,872.573,835.556,791.169,,,
131,2.05.01,Capital Social Realizado,694.140,694.000,436.368,,,
132,2.05.01.01,De Domiciliados no País,0,694.000,436.368,,,
133,2.05.02,Reservas de Capital,,,,,,
134,2.05.02.01,Reserva de Ágio por Subscrição de Ações,,,,,,
135,2.05.02.02,Reserva de Atualização de Títulos Patrimoniais,,,,,,
136,2.05.03,Reservas de Reavaliação,4.929,5.146,5.381,,,
137,2.05.03.01,Ativos Próprios,4.919,5.135,5.351,,,
138,2.05.03.02,Controladas/Coligadas e Equiparadas,10,11,30,,,
139,2.05.04,Reservas de Lucro,169.792,135.899,352.551,,,
140,2.05.04.01,Legal,31.504,27.435,23.040,,,
141,2.05.04.02,Estatutária,138.288,108.464,329.511,,,
142,2.05.04.03,Para Contingências,,,,,,
143,2.05.04.04,De Lucros a Realizar,,,,,,
144,2.05.04.05,Retenção de Lucros,,,,,,
145,2.05.04.06,Especial p/ Dividendos Não Distribuídos,,,,,,
146,2.05.04.07,Outras Reservas de Lucro,,,,,,
147,2.05.05,Ajustes de Avaliação Patrimonial,3.712,511,-3.131,,,
148,2.05.05.01,Ajustes de Títulos e Valores Mobiliários,3.712,511,-3.131,,,
149,2.05.05.02,Ajustes Acumulados de Conversão,,,,,,
150,2.05.05.03,Ajustes de Combinação de Negócios,,,,,,
151,2.05.06,Lucros/Prejuízos Acumulados,,,,,,
152,3.01,Receitas da Intermediação Financeira,,,,1.227.470,1.246.956,1.145.687
153,3.01.01,Operações de Crédito,,,,680.240,661.317,669.517
154,3.01.02,Resultado de Operações de Arrendamento Mercantil,,,,18.454,21.894,25.774
155,3.01.03,Resultado de Operações com Títulos e Valores Mobiliários,,,,491.847,524.946,411.057
156,3.01.04,Resultado com Instrumentos Financeiros e Derivativos,,,,24,865,506
157,3.01.05,Resultado de Operações de Câmbio,,,,11.534,11.084,12.466
158,3.01.06,Resultado das Aplicações Compulsórias,,,,25.371,26.850,26.367
159,3.02,Despesas da Intermediação Financeira,,,,-810.510,-847.349,-661.605
