,Conta,Descrição,31/12/2018,31/12/2017,31/12/2016,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016
0,1,Ativo Total,27.752.360,22.590.799,25.437.947,,,
1,1.01,Ativo Circulante,17.949.787,13.904.807,16.272.782,,,
2,1.01.01,Disponibilidades,182.162,150.168,212.374,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,12.659.267,8.112.087,13.059.861,,,
4,1.01.02.01,Aplicações no Mercado Aberto,12.253.774,7.743.309,12.704.462,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,405.493,368.778,355.399,,,
6,1.01.03,Títulos e Valores Mobiliários,2.465.443,2.706.752,576.025,,,
7,1.01.03.01,Carteira Própria,2.045.528,1.247.281,566.139,,,
8,1.01.03.02,Vinculados a Compromisso de Recompra,419.915,1.349.885,7.699,,,
9,1.01.03.03,Vinculados a Prestação de Garantias,0,109.586,2.187,,,
10,1.01.03.04,Vinculados ao Banco Central,,,,,,
11,1.01.03.05,Instrumentos Financeiros Derivativos,,,,,,
12,1.01.04,Relações Interfinanceiras,695.068,1.145.806,615.790,,,
13,1.01.04.01,Pagamentos e Recebimentos a Liquidar,229,285,231,,,
14,1.01.04.02,Créditos Vinculados - Depósitos no Banco Central do Brasil,690.271,1.140.647,610.991,,,
15,1.01.04.03,Créditos Vinculados - SFH-Sistema Financeiro de Habitação,176,0,71,,,
16,1.01.04.04,Correspondentes,4.392,4.874,4.497,,,
17,1.01.05,Relações Interdependências,1,0,0,,,
18,1.01.05.01,Recursos em Trânsito de Terceiros,,,,,,
19,1.01.05.02,Transferências Internas de Recursos,1,0,0,,,
20,1.01.06,Operações de Crédito,1.258.989,1.097.674,1.190.290,,,
21,1.01.06.01,Operações de Crédito - Setor Privado,1.484.769,1.355.821,1.441.700,,,
22,1.01.06.02,(Provisão para Perdas de Operações de Crédito),-225.780,-258.147,-251.410,,,
23,1.01.07,Operações de Arrendamento Mercantil,3.773,5.179,6.718,,,
24,1.01.07.01,Operações de Arrendamentos a Receber - Setor Privado,3.808,5.474,7.942,,,
25,1.01.07.02,(Provisão para Perdas de Arrendamento Mercantil),-35,-295,-1.224,,,
26,1.01.08,Outros Créditos,600.660,613.656,526.595,,,
27,1.01.08.01,Carteira de Câmbio,102.323,159.759,179.997,,,
28,1.01.08.02,Rendas a Receber,8.721,9.873,10.018,,,
29,1.01.08.03,Diversos,511.142,464.628,361.992,,,
30,1.01.08.04,(Provisão para Perdas em Outros Créditos),-21.526,-20.604,-25.412,,,
31,1.01.09,Outros Valores e Bens,84.424,73.485,85.129,,,
32,1.01.09.01,Outros Valores e Bens,80.719,69.828,80.767,,,
33,1.01.09.02,(Provisão para Desvalorização),-2.035,-1.592,-1.268,,,
34,1.01.09.03,Despesas Antecipadas,5.740,5.249,5.630,,,
35,1.02,Ativo Realizável a Longo Prazo,9.520.949,8.355.267,8.867.443,,,
