,Conta,Descrição,31/12/2017,31/12/2016,31/12/2015,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016,01/01/2015 a 31/12/2015
0,1,Ativo Total,842.632,890.597,845.4830000000001,,,
1,1.01,Ativo Circulante,252.833,344.1,442.161,,,
2,1.01.01,Caixa e Equivalentes de Caixa,227.0,4.06,2.8560000000000003,,,
3,1.01.02,Aplicações Financeiras,,,,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
5,1.01.02.01.01,Títulos para Negociação,,,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
8,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,,,
9,1.01.03,Contas a Receber,86.74799999999999,162.998,218.34,,,
10,1.01.03.01,Clientes,,,,,,
11,1.01.03.01.01,Clientes Vários,,,,,,
12,1.01.03.01.02,Efeitos a Faturar Ajustes IFRS,,,,,,
13,1.01.03.01.03,Efeitos a Faturar Ajustes IFRS (Adiantamento Clientes),,,,,,
14,1.01.03.02,Outras Contas a Receber,,,,,,
15,1.01.04,Estoques,72.79,80.389,98.67399999999999,,,
16,1.01.04.01,Estoques Materiais,,,,,,
17,1.01.04.02,Cpv Contratos Construção Ajustes IFRS,,,,,,
18,1.01.05,Ativos Biológicos,,,,,,
19,1.01.06,Tributos a Recuperar,10.554,9.102,24.331,,,
20,1.01.06.01,Tributos Correntes a Recuperar,10.554,9.102,24.331,,,
21,1.01.06.01.01,Tributos a Recuperar,9.821,8.892000000000001,23.683000000000003,,,
22,1.01.06.01.02,Imposto de Renda e Contribuição Social,733.0,210.0,648.0,,,
23,1.01.07,Despesas Antecipadas,3.633,3.0789999999999997,2.6260000000000003,,,
24,1.01.08,Outros Ativos Circulantes,78.881,84.47200000000001,95.334,,,
25,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
26,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
27,1.01.08.03,Outros,78.881,84.47200000000001,95.334,,,
28,1.01.08.03.01,Dividendos e Juros s/capital proprio,0.0,0.0,447.0,,,
29,1.01.08.03.02,Tributos a Recuperar,,,,,,
30,1.01.08.03.03,Outros Créditos,78.881,84.47200000000001,94.887,,,
31,1.01.08.03.05,Adiantamento a Fornecedores Nacionais,,,,,,
32,1.01.08.03.06,Adiantamento a Fornecedores Estrangeiros,,,,,,
33,1.01.08.03.07,Reclassificação de Dividendos,,,,,,
34,1.02,Ativo Não Circulante,589.799,546.497,403.32199999999995,,,
35,1.02.01,Ativo Realizável a Longo Prazo,84.868,32.269,28.105999999999998,,,
36,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
37,1.02.01.01.01,Títulos para Negociação,,,,,,
38,1.02.01.01.02,Títulos Disponíveis para Venda,,,,,,
39,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
40,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,,,
41,1.02.01.03,Contas a Receber,37.398,0.0,6.075,,,
42,1.02.01.03.01,Clientes,37.398,0.0,6.075,,,
43,1.02.01.03.02,Outras Contas a Receber,,,,,,
44,1.02.01.04,Estoques,,,,,,
45,1.02.01.05,Ativos Biológicos,,,,,,
46,1.02.01.06,Tributos Diferidos,,,,,,
47,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,,,,,,
48,1.02.01.06.02,Creditos Fiscais Diferidos,,,,,,
49,1.02.01.06.03,Diferido,,,,,,
50,1.02.01.07,Despesas Antecipadas,,,,,,
51,1.02.01.08,Créditos com Partes Relacionadas,30.840999999999998,19.25,9.974,,,
52,1.02.01.08.01,Créditos com Coligadas,,,,,,
53,1.02.01.08.02,Créditos com Controladas,30.840999999999998,19.25,9.974,,,
54,1.02.01.08.03,Créditos com Controladores,,,,,,
55,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,,,
56,1.02.01.09,Outros Ativos Não Circulantes,16.629,13.019,12.057,,,
57,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,,,
58,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,,,
59,1.02.01.09.03,Titulos e Valores Mobiliários,3.6010000000000004,3.048,0.0,,,
60,1.02.01.09.04,Tributos a Recuperar,6.602,3.963,3.866,,,
61,1.02.01.09.05,Outros creditos,6.426,6.007999999999999,8.191,,,
62,1.02.01.09.06,Valor Justo Titulos e Valores Mobiliários,,,,,,
63,1.02.02,Investimentos,341.131,351.55300000000005,138.786,,,
64,1.02.02.01,Participações Societárias,138.93200000000002,144.51,136.347,,,
65,1.02.02.01.01,Participações em Coligadas,,,,,,
66,1.02.02.01.02,Participações em Controladas,,,,,,
67,1.02.02.01.03,Participações em Controladas em Conjunto,,,,,,
68,1.02.02.01.04,Outras Participações Societárias,,,,,,
