,Conta,Descrição,31/12/2018,31/12/2017,31/12/2016,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016
0,1,Ativo Total,834.305,842.632,890.597,,,
1,1.01,Ativo Circulante,247.57,252.833,344.1,,,
2,1.01.01,Caixa e Equivalentes de Caixa,19.0,227.0,4.06,,,
3,1.01.02,Aplicações Financeiras,,,,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,,,,,,
5,1.01.02.01.01,Títulos para Negociação,,,,,,
6,1.01.02.01.02,Títulos Designados a Valor Justo,,,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,,,,,,
8,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
9,1.01.03,Contas a Receber,88.67200000000001,86.74799999999999,162.998,,,
10,1.01.03.01,Clientes,88.67200000000001,86.74799999999999,162.998,,,
11,1.01.03.02,Outras Contas a Receber,,,,,,
12,1.01.04,Estoques,60.813,72.79,80.389,,,
13,1.01.05,Ativos Biológicos,,,,,,
14,1.01.06,Tributos a Recuperar,5.527,10.554,9.102,,,
15,1.01.06.01,Tributos Correntes a Recuperar,5.527,10.554,9.102,,,
16,1.01.06.01.01,Tributos a Recuperar,4.79,9.821,8.892000000000001,,,
17,1.01.06.01.02,Imposto de Renda e Contr. Social,737.0,733.0,210.0,,,
18,1.01.07,Despesas Antecipadas,1.868,3.633,3.0789999999999997,,,
19,1.01.08,Outros Ativos Circulantes,90.671,78.881,84.47200000000001,,,
20,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
21,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
22,1.01.08.03,Outros,90.671,78.881,84.47200000000001,,,
23,1.01.08.03.01,Dividendos e Juros s/ capital próprio,0.0,0.0,1.041,,,
24,1.01.08.03.02,Outros Créditos,90.671,78.881,83.431,,,
25,1.02,Ativo Não Circulante,586.735,589.799,546.497,,,
