,Conta,Descrição,31/12/2016,31/12/2015,31/12/2014,01/12/2016 a 31/12/2016,01/01/2015 a 31/12/2015,01/01/2014 a 31/12/2014
0,1,Ativo Total,190.78799999999998,188.645,247.833,,,
1,1.01,Ativo Circulante,25.148000000000003,35.394,124.211,,,
2,1.01.01,Caixa e Equivalentes de Caixa,22.929000000000002,1.6269999999999998,9.685,,,
3,1.01.01.01,Caixas e equivalentes de Caixa,22.929000000000002,1.6269999999999998,9.685,,,
4,1.01.02,Aplicações Financeiras,0.0,4.015,25.25,,,
5,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0,4.015,25.25,,,
6,1.01.02.01.01,Títulos para Negociação,0.0,4.015,25.25,,,
7,1.01.02.01.02,Títulos Disponíveis para Venda,,,,,,
8,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
9,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,,,
10,1.01.03,Contas a Receber,104.0,5.8629999999999995,64.997,,,
11,1.01.03.01,Clientes,104.0,5.8629999999999995,64.997,,,
12,1.01.03.02,Outras Contas a Receber,,,,,,
13,1.01.04,Estoques,0.0,2.847,15.735999999999999,,,
14,1.01.04.01,Mercadoria para revenda,0.0,2.737,15.367,,,
15,1.01.04.02,Consórcios de bens duraveis,0.0,110.0,458.0,,,
16,1.01.04.03,Outros estoques,0.0,0.0,32.0,,,
17,1.01.04.04,(-) Provisão p/obsolescência estoques,0.0,0.0,-121.0,,,
18,1.01.04.05,(-) Provisão ajuste a valor de mercado,,,,,,
19,1.01.05,Ativos Biológicos,,,,,,
20,1.01.06,Tributos a Recuperar,1.0070000000000001,1.57,3.7569999999999997,,,
21,1.01.06.01,Tributos Correntes a Recuperar,1.0070000000000001,1.57,3.7569999999999997,,,
22,1.01.06.01.01,Impostos a recuperar,1.0070000000000001,1.57,3.7569999999999997,,,
23,1.01.07,Despesas Antecipadas,0.0,325.0,293.0,,,
24,1.01.07.01,Despesas antecipadas,0.0,325.0,293.0,,,
25,1.01.08,Outros Ativos Circulantes,1.1079999999999999,19.147000000000002,4.493,,,
26,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
27,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
28,1.01.08.02.01,Ativos de operações descontinuadas,,,,,,
29,1.01.08.02.02,Bens destinados a venda,,,,,,
30,1.01.08.03,Outros,1.1079999999999999,19.147000000000002,4.493,,,
31,1.01.08.03.01,Adiantamentos diversos,34.0,1.194,2.574,,,
32,1.01.08.03.02,Operações entre empresas ligadas,,,,,,
33,1.01.08.03.03,Dividendos a receber,,,,,,
34,1.01.08.03.04,Devedores diversos,1.074,17.953,1.919,,,
35,1.02,Ativo Não Circulante,165.64,153.251,123.62200000000001,,,
36,1.02.01,Ativo Realizável a Longo Prazo,7.2620000000000005,24.926,27.839000000000002,,,
37,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,220.0,13.555,5.756,,,
38,1.02.01.01.01,Títulos para Negociação,220.0,13.555,5.756,,,
39,1.02.01.01.02,Títulos Disponíveis para Venda,,,,,,
40,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
41,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,,,
42,1.02.01.03,Contas a Receber,,,,,,
43,1.02.01.03.01,Clientes,,,,,,
44,1.02.01.03.02,Outras Contas a Receber,,,,,,
45,1.02.01.04,Estoques,,,,,,
46,1.02.01.05,Ativos Biológicos,,,,,,
47,1.02.01.06,Tributos Diferidos,0.0,0.0,12.421,,,
48,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,0.0,0.0,12.421,,,
49,1.02.01.07,Despesas Antecipadas,,,,,,
50,1.02.01.08,Créditos com Partes Relacionadas,1.661,535.0,0.0,,,
51,1.02.01.08.01,Créditos com Coligadas,,,,,,
52,1.02.01.08.02,Créditos com Controladas,78.0,535.0,0.0,,,
53,1.02.01.08.03,Créditos com Controladores,,,,,,
54,1.02.01.08.04,Créditos com Outras Partes Relacionadas,1.5830000000000002,0.0,0.0,,,
55,1.02.01.09,Outros Ativos Não Circulantes,5.381,10.835999999999999,9.662,,,
56,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,,,
57,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,,,
58,1.02.01.09.03,Outros créditos,5.381,9.587,5.77,,,
59,1.02.01.09.04,Depósitos judiciais,0.0,1.056,3.18,,,
60,1.02.01.09.07,Impostos a recuperar,0.0,12.0,52.0,,,
61,1.02.01.09.08,Dividendos a receber,,,,,,
62,1.02.01.09.09,Adiantamento p/futuro aumento de capital,0.0,181.0,660.0,,,
63,1.02.02,Investimentos,158.17700000000002,124.831,81.839,,,
64,1.02.02.01,Participações Societárias,158.17700000000002,102.395,81.839,,,
65,1.02.02.01.01,Participações em Coligadas,0.0,0.0,81.837,,,
66,1.02.02.01.02,Participações em Controladas,158.17700000000002,0.0,0.0,,,
