,Conta,Descrição,31/12/2014,31/12/2013,31/12/2012,01/01/2014 a 31/12/2014,01/01/2013 a 31/12/2013,01/01/2012 a 31/12/2012
0,1,Ativo Total,125.29799999999999,114.156,92.26100000000001,,,
1,1.01,Ativo Circulante,73.359,71.29,57.273999999999994,,,
2,1.01.01,Caixa e Equivalentes de Caixa,10.22,6.968999999999999,2.614,,,
3,1.01.01.01,Caixa e banco,10.22,6.968999999999999,2.614,,,
4,1.01.02,Aplicações Financeiras,4.067,7.182,89.0,,,
5,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
6,1.01.02.01.01,Títulos para Negociação,,,,,,
7,1.01.02.01.02,Títulos Disponíveis para Venda,,,,,,
8,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
9,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,,,
10,1.01.03,Contas a Receber,28.326,32.875,29.939,,,
11,1.01.03.01,Clientes,28.326,32.875,29.939,,,
12,1.01.03.01.01,"Contas a Receber Clientes, liquido",28.326,32.875,29.939,,,
13,1.01.03.02,Outras Contas a Receber,,,,,,
14,1.01.04,Estoques,21.704,17.102999999999998,18.292,,,
15,1.01.05,Ativos Biológicos,,,,,,
16,1.01.06,Tributos a Recuperar,3.2110000000000003,1.939,1.911,,,
17,1.01.06.01,Tributos Correntes a Recuperar,3.2110000000000003,1.939,1.911,,,
18,1.01.07,Despesas Antecipadas,,,,,,
19,1.01.08,Outros Ativos Circulantes,5.831,5.222,4.428999999999999,,,
20,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
21,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
22,1.01.08.03,Outros,5.831,5.222,4.428999999999999,,,
23,1.02,Ativo Não Circulante,51.93899999999999,42.86600000000001,34.986999999999995,,,
24,1.02.01,Ativo Realizável a Longo Prazo,23.569000000000003,17.023,11.002,,,
25,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
26,1.02.01.01.01,Títulos para Negociação,,,,,,
27,1.02.01.01.02,Títulos Disponíveis para Venda,,,,,,
28,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
29,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,,,
30,1.02.01.03,Contas a Receber,1.0979999999999999,1.097,1.3219999999999998,,,
31,1.02.01.03.01,Clientes,,,,,,
