,Conta,Descrição,31/12/2012,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,1,Ativo Total,5.638.374,,,,,,,,,,
1,1.01,Ativo Circulante,1.500,,,,,,,,,,
2,1.01.01,Caixa e Equivalentes de Caixa,1.500,,,,,,,,,,
3,1.01.02,Aplicações Financeiras,,,,,,,,,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,,,,,,
5,1.01.02.01.01,Títulos para Negociação,,,,,,,,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,,,,,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,,,,,,
8,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,,,,,,,,
9,1.01.03,Créditos das Operações,,,,,,,,,,,
10,1.01.03.01,Seguros e Resseguros,,,,,,,,,,,
11,1.01.03.02,Previdência Complementar,,,,,,,,,,,
12,1.01.03.03,Capitalização,,,,,,,,,,,
13,1.01.03.04,Outras Operações,,,,,,,,,,,
14,1.01.04,Títulos e Créditos a Receber,,,,,,,,,,,
15,1.01.05,Outros Valores e Bens,,,,,,,,,,,
16,1.01.06,Empréstimos e Depósitos Compulsórios,,,,,,,,,,,
17,1.01.07,Despesas Antecipadas,,,,,,,,,,,
18,1.01.08,Despesas de Comercialização Diferidas,,,,,,,,,,,
19,1.01.09,Outros Ativos Circulantes,,,,,,,,,,,
20,1.01.09.01,Ativos Não Correntes a Venda,,,,,,,,,,,
21,1.01.09.02,Ativos de Operações Descontinuadas,,,,,,,,,,,
22,1.01.09.03,Outros,,,,,,,,,,,
23,1.02,Ativo Não Circulante,5.636.874,,,,,,,,,,
24,1.02.01,Ativo Realizável a Longo Prazo,,,,,,,,,,,
25,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,,,,,,
26,1.02.01.01.01,Títulos para Negociação,,,,,,,,,,,
27,1.02.01.01.02,Títulos Disponíveis para Venda,,,,,,,,,,,
28,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,,,,,,
29,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,,,,,,,,
30,1.02.01.03,Créditos das Operações,,,,,,,,,,,
31,1.02.01.04,Títulos e Créditos a Receber,,,,,,,,,,,
32,1.02.01.05,Outros Valores e Bens,,,,,,,,,,,
33,1.02.01.06,Empréstimos e Depósitos Compulsórios,,,,,,,,,,,
34,1.02.01.07,Despesas Antecipadas,,,,,,,,,,,
35,1.02.01.08,Despesas de Comercialização Diferidas,,,,,,,,,,,
36,1.02.01.09,Tributos Diferidos,,,,,,,,,,,
37,1.02.01.10,Outros Ativos Não Circulantes,,,,,,,,,,,
38,1.02.01.10.01,Ativos Não Correntes a Venda,,,,,,,,,,,
39,1.02.01.10.02,Ativos de Operações Descontinuadas,,,,,,,,,,,
40,1.02.02,Investimentos,5.636.874,,,,,,,,,,
41,1.02.02.01,Participações Societárias,5.636.874,,,,,,,,,,
42,1.02.02.01.01,Participações em Coligadas no País,5.636.874,,,,,,,,,,
43,1.02.02.01.02,Participações em Coligadas no Exterior,,,,,,,,,,,
44,1.02.02.01.03,Participações em Controladas no País,,,,,,,,,,,
45,1.02.02.01.04,Participações em Controladas no Exterior,,,,,,,,,,,
46,1.02.02.01.05,Outras Participações Societárias,,,,,,,,,,,
47,1.02.02.02,Propriedades para Investimento,,,,,,,,,,,
48,1.02.03,Imobilizado,,,,,,,,,,,
49,1.02.03.01,Imobilizado em Operação,,,,,,,,,,,
50,1.02.03.02,Imobilizado Arrendado,,,,,,,,,,,
51,1.02.03.03,Imobilizado em Andamento,,,,,,,,,,,
52,1.02.04,Intangível,,,,,,,,,,,
53,1.02.05,Diferido,,,,,,,,,,,
54,2,Passivo Total,5.638.374,,,,,,,,,,
55,2.01,Passivo Circulante,,,,,,,,,,,
56,2.01.01,Contas a Pagar,,,,,,,,,,,
57,2.01.02,Débitos de Operações,,,,,,,,,,,
58,2.01.02.01,Seguros e Resseguros,,,,,,,,,,,
59,2.01.02.02,Previdência Complementar,,,,,,,,,,,
60,2.01.02.03,Capitalização,,,,,,,,,,,
61,2.01.02.04,Outras Operações,,,,,,,,,,,
62,2.01.03,Depósitos de Terceiros,,,,,,,,,,,
63,2.01.04,Provisões Técnicas,,,,,,,,,,,
64,2.01.04.01,Seguros e Resseguros,,,,,,,,,,,
65,2.01.04.02,Previdência Complementar,,,,,,,,,,,
66,2.01.04.03,Capitalização,,,,,,,,,,,
67,2.01.04.04,Outras Provisões,,,,,,,,,,,
68,2.01.05,Outros Débitos,,,,,,,,,,,
69,2.01.06,Passivos sobre Ativos Não Correntes a Venda e Descontinuados,,,,,,,,,,,
70,2.01.06.01,Passivos sobre Ativos Não Correntes a Venda,,,,,,,,,,,
71,2.01.06.02,Passivos sobre Ativos de Operações Descontinuadas,,,,,,,,,,,
72,2.02,Passivo Não Circulante,,,,,,,,,,,
73,2.02.01,Passivo Exigível a Longo Prazo,,,,,,,,,,,
74,2.02.01.01,Contas a Pagar,,,,,,,,,,,
75,2.02.01.02,Débitos das Operações,,,,,,,,,,,
76,2.02.01.03,Provisões Técnicas,,,,,,,,,,,
77,2.02.01.03.01,Seguros e Resseguros,,,,,,,,,,,
78,2.02.01.03.02,Previdência Complementar,,,,,,,,,,,
79,2.02.01.03.03,Capitalização,,,,,,,,,,,
80,2.02.01.03.04,Outras Provisões,,,,,,,,,,,
81,2.02.01.04,Outros Passivos,,,,,,,,,,,
82,2.02.01.05,Tributos Diferidos,,,,,,,,,,,
83,2.02.01.06,Passivos sobre Ativos Não Correntes a Venda e Descontinuados,,,,,,,,,,,
84,2.02.01.06.01,Passivos sobre Ativos Não Correntes a Venda,,,,,,,,,,,
85,2.02.01.06.02,Passivos sobre Ativos de Operações Descontinuadas,,,,,,,,,,,
86,2.02.01.07,Lucros e Receitas a Apropriar,,,,,,,,,,,
87,2.02.01.07.01,Lucros a Apropriar,,,,,,,,,,,
88,2.02.01.07.02,Receitas a Apropriar,,,,,,,,,,,
89,2.02.01.07.03,Subvenções de Investimento a Apropriar,,,,,,,,,,,
90,2.02.01.08,Adiantamento para Futuro Aumento Capital,,,,,,,,,,,
91,2.03,Patrimônio Líquido,5.638.374,,,,,,,,,,
92,2.03.01,Capital Social Realizado,5.633.268,,,,,,,,,,
93,2.03.02,Reservas de Capital,,,,,,,,,,,
94,2.03.02.01,Ágio na Emissão de Ações,,,,,,,,,,,
95,2.03.02.02,Reserva Especial de Ágio na Incorporação,,,,,,,,,,,
96,2.03.02.03,Alienação de Bônus de Subscrição,,,,,,,,,,,
97,2.03.02.04,Opções Outorgadas,,,,,,,,,,,
98,2.03.02.05,Ações em Tesouraria,,,,,,,,,,,
99,2.03.02.06,Adiantamento para Futuro Aumento Capital,,,,,,,,,,,
100,2.03.03,Reservas de Reavaliação,,,,,,,,,,,
101,2.03.03.01,Ativos Próprios,,,,,,,,,,,
102,2.03.03.02,Controladas/Coligadas,,,,,,,,,,,
103,2.03.04,Reservas de Lucros,,,,,,,,,,,
104,2.03.04.01,Reserva Legal,,,,,,,,,,,
105,2.03.04.02,Reserva Estatutária,,,,,,,,,,,
106,2.03.04.03,Reserva para Contingências,,,,,,,,,,,
107,2.03.04.04,Reserva de Lucros a Realizar,,,,,,,,,,,
108,2.03.04.05,Reserva de Retenção de Lucros,,,,,,,,,,,
109,2.03.04.06,Reserva Especial para Dividendos Não Distribuídos,,,,,,,,,,,
110,2.03.04.07,Reserva de Incentivos Fiscais,,,,,,,,,,,
111,2.03.04.08,Dividendo Adicional Proposto,,,,,,,,,,,
112,2.03.04.09,Ações em Tesouraria,,,,,,,,,,,
113,2.03.05,Lucros/Prejuízos Acumulados,,,,,,,,,,,
114,2.03.06,Ajustes de Avaliação Patrimonial,5.106,,,,,,,,,,
115,2.03.07,Ajustes Acumulados de Conversão,,,,,,,,,,,
116,2.03.08,Outros Resultados Abrangentes,,,,,,,,,,,
117,,,,Justificativa para a não prestação da informação:,Justificativa para a não prestação da informação:,Justificativa para a não prestação da informação:,Justificativa para a não prestação da informação:,Justificativa para a não prestação da informação:,Justificativa para a não prestação da informação:,Justificativa para a não prestação da informação:,Justificativa para a não prestação da informação:,Justificativa para a não prestação da informação:,Justificativa para a não prestação da informação:
118,,,,A empresa não apresentou resultado no período.,A empresa não apresentou resultado no período.,A empresa não apresentou resultado no período.,A empresa não apresentou resultado no período.,A empresa não apresentou resultado no período.,A empresa não apresentou resultado no período.,A empresa não apresentou resultado no período.,A empresa não apresentou resultado no período.,A empresa não apresentou resultado no período.,A empresa não apresentou resultado no período.
