,Conta,Descrição,31/12/2019,31/12/2018,31/12/2017,01/01/2019 a 31/12/2019,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017
0,1,Ativo Total,11.748.718,10.892.930,10.801.972,,,
1,1.01,Ativo Circulante,6.257.083,5.001.290,2.832.935,,,
2,1.01.01,Caixa e Equivalentes de Caixa,4.231.195,4.428.956,2.429.600,,,
3,1.01.02,Aplicações Financeiras,,,,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,,,,,,
5,1.01.02.01.01,Títulos para Negociação,,,,,,
6,1.01.02.01.02,Títulos Designados a Valor Justo,,,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,,,,,,
8,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
9,1.01.03,Créditos das Operações,,,,,,
10,1.01.03.01,Seguros e Resseguros,,,,,,
11,1.01.03.02,Previdência Complementar,,,,,,
12,1.01.03.03,Capitalização,,,,,,
13,1.01.03.04,Outras Operações,,,,,,
14,1.01.04,Títulos e Créditos a Receber,,,,,,
15,1.01.05,Outros Valores e Bens,,,,,,
16,1.01.06,Empréstimos e Depósitos Compulsórios,,,,,,
17,1.01.07,Despesas Antecipadas,,,,,,
18,1.01.08,Despesas de Comercialização Diferidas,,,,,,
19,1.01.09,Outros Ativos Circulantes,2.025.888,572.334,403.335,,,
20,1.01.09.01,Ativos Não Correntes a Venda,,,,,,
21,1.01.09.02,Ativos de Operações Descontinuadas,,,,,,
22,1.01.09.03,Outros,2.025.888,572.334,403.335,,,
23,1.01.09.03.01,Dividendos a receber/JCP a receber,1.961.491,515.602,341.547,,,
24,1.01.09.03.02,Ativos por impostos correntes,55.532,51.401,56.033,,,
25,1.01.09.03.03,Diversos,8.865,5.331,5.755,,,
26,1.02,Ativo Não Circulante,5.491.635,5.891.640,7.969.037,,,
27,1.02.01,Ativo Realizável a Longo Prazo,7.431,18.786,28.573,,,
28,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,3.413,1.208,567,,,
29,1.02.01.01.01,Títulos Designados a Valor Justo,,,,,,
30,1.02.01.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,,,,,,
31,1.02.01.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
32,1.02.01.04,Crédito das Operações,,,,,,
33,1.02.01.05,Títulos e Créditos a Receber,,,,,,
34,1.02.01.06,Outros Valores e Bens,,,,,,
35,1.02.01.07,Empréstimos e Depósitos Compulsórios,,,,,,
36,1.02.01.08,Despesas Antecipadas,,,,,,
37,1.02.01.09,Despesas de Comercialização Diferidas,,,,,,
38,1.02.01.10,Tributos Diferidos,3.974,17.578,27.997,,,
39,1.02.01.11,Outros Ativos Não Circulantes,44,0,9,,,
40,1.02.01.11.01,Ativos Não Correntes a Venda,,,,,,
41,1.02.01.11.02,Ativos de Operações Descontinuadas,,,,,,
42,1.02.02,Investimentos,5.478.303,5.867.234,7.934.919,,,
43,1.02.02.01,Participações Societárias,5.478.303,5.867.234,7.934.919,,,
44,1.02.02.01.01,Participações em Coligadas no País,5.478.303,5.867.234,7.934.919,,,
45,1.02.02.01.02,Participações em Coligadas no Exterior,,,,,,
46,1.02.02.01.03,Participações em Controladas no País,,,,,,
47,1.02.02.01.04,Participações em Controladas no Exterior,,,,,,
48,1.02.02.01.05,Participações em Controladas em Conjunto no País,,,,,,
49,1.02.02.01.06,Participações em Controladas em Conjunto no Exterior,,,,,,
50,1.02.02.01.07,Outros Investimentos,,,,,,
51,1.02.02.02,Propriedades para Investimento,,,,,,
52,1.02.03,Imobilizado,,,,,,
53,1.02.03.01,Imobilizado em Operação,,,,,,
54,1.02.03.02,Direito de Uso em Arrendamento,,,,,,
