,Conta,Descrição,31/12/2017,31/12/2016,31/12/2015,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016,01/01/2015 a 31/12/2015
0,1,Ativo Total,214.389,163.382,131.356,,,
1,1.01,Ativo Circulante,101.478,43.35,33.931,,,
2,1.01.01,Caixa e Equivalentes de Caixa,991.0,1.4680000000000002,996.0,,,
3,1.01.02,Aplicações Financeiras,44.255,8.434,5.857,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
5,1.01.02.01.01,Títulos para Negociação,,,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,44.255,8.434,5.857,,,
8,1.01.02.02.01,Títulos Mantidos até o Vencimento,44.255,8.434,5.857,,,
9,1.01.03,Contas a Receber,48.049,27.026,19.512,,,
10,1.01.03.01,Clientes,47.948,26.85,19.342,,,
11,1.01.03.02,Outras Contas a Receber,101.0,176.0,170.0,,,
12,1.01.04,Estoques,377.0,295.0,165.0,,,
13,1.01.05,Ativos Biológicos,,,,,,
14,1.01.06,Tributos a Recuperar,937.0,1.639,2.441,,,
15,1.01.06.01,Tributos Correntes a Recuperar,937.0,1.639,2.441,,,
16,1.01.07,Despesas Antecipadas,0.0,0.0,753.0,,,
17,1.01.08,Outros Ativos Circulantes,6.869,4.488,4.207,,,
18,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
19,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
20,1.01.08.03,Outros,6.869,4.488,4.207,,,
21,1.02,Ativo Não Circulante,112.911,120.03200000000001,97.425,,,
22,1.02.01,Ativo Realizável a Longo Prazo,1.76,2.499,6.497999999999999,,,
23,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
24,1.02.01.01.01,Títulos para Negociação,,,,,,
25,1.02.01.01.02,Títulos Disponíveis para Venda,,,,,,
26,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
27,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,,,
28,1.02.01.03,Contas a Receber,1.76,2.499,6.497999999999999,,,
29,1.02.01.03.01,Clientes,,,,,,
30,1.02.01.03.02,Outras Contas a Receber,1.76,2.499,6.497999999999999,,,
31,1.02.01.04,Estoques,,,,,,
32,1.02.01.05,Ativos Biológicos,,,,,,
33,1.02.01.06,Tributos Diferidos,,,,,,
34,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,,,,,,
35,1.02.01.07,Despesas Antecipadas,,,,,,
36,1.02.01.08,Créditos com Partes Relacionadas,,,,,,
37,1.02.01.08.01,Créditos com Coligadas,,,,,,
38,1.02.01.08.02,Créditos com Controladas,,,,,,
39,1.02.01.08.03,Créditos com Controladores,,,,,,
40,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,,,
41,1.02.01.09,Outros Ativos Não Circulantes,,,,,,
42,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,,,
43,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,,,
44,1.02.02,Investimentos,120.0,120.0,0.0,,,
45,1.02.02.01,Participações Societárias,120.0,120.0,0.0,,,
46,1.02.02.01.01,Participações em Coligadas,,,,,,
47,1.02.02.01.02,Participações em Controladas,,,,,,
48,1.02.02.01.03,Participações em Controladas em Conjunto,,,,,,
49,1.02.02.01.04,Outras Participações Societárias,120.0,120.0,0.0,,,
50,1.02.02.02,Propriedades para Investimento,,,,,,
51,1.02.03,Imobilizado,110.98899999999999,117.37299999999999,90.927,,,
52,1.02.03.01,Imobilizado em Operação,110.98899999999999,117.37299999999999,90.927,,,
53,1.02.03.02,Imobilizado Arrendado,,,,,,
54,1.02.03.03,Imobilizado em Andamento,,,,,,
55,1.02.04,Intangível,42.0,40.0,0.0,,,
56,1.02.04.01,Intangíveis,42.0,40.0,0.0,,,
57,1.02.04.01.01,Contrato de Concessão,,,,,,
58,1.02.05,Diferido,,,,,,
