,Conta,Descrição,31/12/2018,31/12/2017,31/12/2016,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016
0,1,Ativo Total,44.638999999999996,54.769,60.247,,,
1,1.01,Ativo Circulante,11.198,15.095,14.540999999999999,,,
2,1.01.01,Caixa e Equivalentes de Caixa,8.0,40.0,81.0,,,
3,1.01.02,Aplicações Financeiras,696.0,4.763,4.579,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,696.0,4.763,4.579,,,
5,1.01.02.01.01,Títulos para Negociação,696.0,4.763,4.579,,,
6,1.01.02.01.02,Títulos Designados a Valor Justo,,,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,,,,,,
8,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
9,1.01.03,Contas a Receber,10.424000000000001,10.142999999999999,9.804,,,
10,1.01.03.01,Clientes,10.424000000000001,10.142999999999999,9.804,,,
11,1.01.03.01.01,Cédulas de Crédito Imobiliário,10.424000000000001,10.142999999999999,9.804,,,
12,1.01.03.02,Outras Contas a Receber,,,,,,
13,1.01.04,Estoques,,,,,,
14,1.01.05,Ativos Biológicos,,,,,,
15,1.01.06,Tributos a Recuperar,54.0,147.0,74.0,,,
16,1.01.06.01,Tributos Correntes a Recuperar,54.0,147.0,74.0,,,
17,1.01.07,Despesas Antecipadas,,,,,,
18,1.01.08,Outros Ativos Circulantes,16.0,2.0,3.0,,,
19,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
20,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
21,1.01.08.03,Outros,16.0,2.0,3.0,,,
22,1.02,Ativo Não Circulante,33.441,39.674,45.706,,,
23,1.02.01,Ativo Realizável a Longo Prazo,33.441,39.674,45.706,,,
24,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,,,,,,
25,1.02.01.01.01,Títulos Designados a Valor Justo,,,,,,
26,1.02.01.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,,,,,,
27,1.02.01.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
28,1.02.01.04,Contas a Receber,33.441,39.674,45.706,,,
29,1.02.01.04.01,Cédulas de créditos imobiliários vinculadas,32.463,38.814,44.845,,,
30,1.02.01.04.02,Impostos a compensar,978.0,860.0,861.0,,,
31,1.02.01.05,Estoques,,,,,,
32,1.02.01.06,Ativos Biológicos,,,,,,
33,1.02.01.07,Tributos Diferidos,,,,,,
34,1.02.01.07.01,Imposto de Renda e Contribuição Social Diferidos,,,,,,
35,1.02.01.08,Despesas Antecipadas,,,,,,
36,1.02.01.09,Créditos com Partes Relacionadas,,,,,,
37,1.02.01.09.01,Créditos com Coligadas,,,,,,
38,1.02.01.09.02,Créditos com Controladas,,,,,,
39,1.02.01.09.03,Créditos com Controladores,,,,,,
40,1.02.01.09.04,Créditos com Outras Partes Relacionadas,,,,,,
41,1.02.01.10,Outros Ativos Não Circulantes,,,,,,
42,1.02.01.10.01,Ativos Não-Correntes a Venda,,,,,,
43,1.02.01.10.02,Ativos de Operações Descontinuadas,,,,,,
44,1.02.02,Investimentos,,,,,,
45,1.02.02.01,Participações Societárias,,,,,,
46,1.02.02.01.01,Participações em Coligadas,,,,,,
47,1.02.02.01.02,Participações em Controladas,,,,,,
48,1.02.02.01.03,Participações em Controladas em Conjunto,,,,,,
49,1.02.02.01.04,Outros Investimentos,,,,,,
50,1.02.02.02,Propriedades para Investimento,,,,,,
51,1.02.03,Imobilizado,,,,,,
52,1.02.03.01,Imobilizado em Operação,,,,,,
53,1.02.03.02,Direito de Uso em Andamento,,,,,,
54,1.02.03.03,Imobilizado em Andamento,,,,,,
55,1.02.04,Intangível,,,,,,
56,1.02.04.01,Intangíveis,,,,,,
57,1.02.04.01.01,Contrato de Concessão,,,,,,
58,2,Passivo Total,44.638999999999996,54.769,60.247,,,
59,2.01,Passivo Circulante,11.243,11.073,10.72,,,
60,2.01.01,Obrigações Sociais e Trabalhistas,10.424000000000001,10.142999999999999,9.805,,,
61,2.01.01.01,Obrigações Sociais,10.424000000000001,10.142999999999999,9.805,,,
62,2.01.01.01.01,CRIS Vinculados a Direitos Creditórios de Aluguéis,,,,,,
63,2.01.01.01.02,Obrigações por Emissão de CRI's,10.424000000000001,10.142999999999999,9.805,,,
64,2.01.01.01.03,(-) Cédulas de Crédito Imobiliário CCI's,,,,,,
65,2.01.01.02,Obrigações Trabalhistas,,,,,,
66,2.01.02,Fornecedores,,,,,,
67,2.01.02.01,Fornecedores Nacionais,,,,,,
68,2.01.02.02,Fornecedores Estrangeiros,,,,,,
69,2.01.03,Obrigações Fiscais,39.0,54.0,6.0,,,
70,2.01.03.01,Obrigações Fiscais Federais,39.0,54.0,6.0,,,
71,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,,,,,,
72,2.01.03.01.02,Impostos Taxas e Contribuições,39.0,54.0,6.0,,,
73,2.01.03.02,Obrigações Fiscais Estaduais,,,,,,
74,2.01.03.03,Obrigações Fiscais Municipais,,,,,,
75,2.01.04,Empréstimos e Financiamentos,,,,,,
76,2.01.04.01,Empréstimos e Financiamentos,,,,,,
77,2.01.04.01.01,Em Moeda Nacional,,,,,,
78,2.01.04.01.02,Em Moeda Estrangeira,,,,,,
79,2.01.04.02,Debêntures,,,,,,
80,2.01.04.03,Financiamento por Arrendamento Financeiro,,,,,,
81,2.01.05,Outras Obrigações,780.0,876.0,909.0,,,
82,2.01.05.01,Passivos com Partes Relacionadas,,,,,,
83,2.01.05.01.01,Débitos com Coligadas,,,,,,
84,2.01.05.01.02,Débitos com Controladas,,,,,,
85,2.01.05.01.03,Débitos com Controladores,,,,,,
86,2.01.05.01.04,Débitos com Outras Partes Relacionadas,,,,,,
87,2.01.05.02,Outros,780.0,876.0,909.0,,,
88,2.01.05.02.01,Dividendos e JCP a Pagar,,,,,,
89,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,,,,,,
90,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,,,,,,
91,2.01.05.02.04,Outras,780.0,876.0,909.0,,,
92,2.01.06,Provisões,,,,,,
93,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,,,,,,
94,2.01.06.01.01,Provisões Fiscais,,,,,,
95,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,,,,,,
96,2.01.06.01.03,Provisões para Benefícios a Empregados,,,,,,
97,2.01.06.01.04,Provisões Cíveis,,,,,,
98,2.01.06.02,Outras Provisões,,,,,,
99,2.01.06.02.01,Provisões para Garantias,,,,,,
100,2.01.06.02.02,Provisões para Reestruturação,,,,,,
101,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,,,,,,
102,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,,,
103,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,,,,,,
104,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,,,,,,
105,2.02,Passivo Não Circulante,32.463,38.81,44.865,,,
106,2.02.01,Empréstimos e Financiamentos,,,,,,
107,2.02.01.01,Empréstimos e Financiamentos,,,,,,
108,2.02.01.01.01,Em Moeda Nacional,,,,,,
109,2.02.01.01.02,Em Moeda Estrangeira,,,,,,
110,2.02.01.02,Debêntures,,,,,,
111,2.02.01.03,Financiamento por Arrendamento Financeiro,,,,,,
112,2.02.02,Outras Obrigações,32.463,38.81,44.865,,,
113,2.02.02.01,Passivos com Partes Relacionadas,,,,,,
114,2.02.02.01.01,Débitos com Coligadas,,,,,,
115,2.02.02.01.02,Débitos com Controladas,,,,,,
116,2.02.02.01.03,Débitos com Controladores,,,,,,
117,2.02.02.01.04,Débitos com Outras Partes Relacionadas,,,,,,
118,2.02.02.02,Outros,32.463,38.81,44.865,,,
119,2.02.02.02.01,Obrigações por Pagamentos Baseados em Ações,,,,,,
120,2.02.02.02.02,Adiantamento para Futuro Aumento de Capital,,,,,,
121,2.02.02.02.03,CRIS Vinculados a Direitos Creditórios de Aluguéis,,,,,,
122,2.02.02.02.04,Obrigações por emissão de CRI's,32.463,38.81,44.865,,,
123,2.02.02.02.05,(-) Cédulas de Crédito Imobiliário CCI's,,,,,,
124,2.02.03,Tributos Diferidos,,,,,,
125,2.02.03.01,Imposto de Renda e Contribuição Social Diferidos,,,,,,
126,2.02.04,Provisões,,,,,,
127,2.02.04.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,,,,,,
128,2.02.04.01.01,Provisões Fiscais,,,,,,
129,2.02.04.01.02,Provisões Previdenciárias e Trabalhistas,,,,,,
130,2.02.04.01.03,Provisões para Benefícios a Empregados,,,,,,
131,2.02.04.01.04,Provisões Cíveis,,,,,,
132,2.02.04.02,Outras Provisões,,,,,,
133,2.02.04.02.01,Provisões para Garantias,,,,,,
134,2.02.04.02.02,Provisões para Reestruturação,,,,,,
135,2.02.04.02.03,Provisões para Passivos Ambientais e de Desativação,,,,,,
136,2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,,,
137,2.02.05.01,Passivos sobre Ativos Não-Correntes a Venda,,,,,,
138,2.02.05.02,Passivos sobre Ativos de Operações Descontinuadas,,,,,,
139,2.02.06,Lucros e Receitas a Apropriar,,,,,,
140,2.02.06.01,Lucros a Apropriar,,,,,,
141,2.02.06.02,Receitas a Apropriar,,,,,,
142,2.02.06.03,Subvenções de Investimento a Apropriar,,,,,,
143,2.03,Patrimônio Líquido,933.0,4.886,4.662,,,
144,2.03.01,Capital Social Realizado,611.0,3.2230000000000003,3.2230000000000003,,,
145,2.03.01.01,Capital Social Realizado,611.0,3.2230000000000003,3.2230000000000003,,,
146,2.03.02,Reservas de Capital,,,,,,
147,2.03.02.01,Ágio na Emissão de Ações,,,,,,
148,2.03.02.02,Reserva Especial de Ágio na Incorporação,,,,,,
149,2.03.02.03,Alienação de Bônus de Subscrição,,,,,,
150,2.03.02.04,Opções Outorgadas,,,,,,
151,2.03.02.05,Ações em Tesouraria,,,,,,
152,2.03.02.06,Adiantamento para Futuro Aumento de Capital,,,,,,
153,2.03.03,Reservas de Reavaliação,,,,,,
154,2.03.04,Reservas de Lucros,322.0,1.663,1.439,,,
155,2.03.04.01,Reserva Legal,,,,,,
156,2.03.04.02,Reserva Estatutária,,,,,,
157,2.03.04.03,Reserva para Contingências,,,,,,
