,Conta,Descrição,31/12/2017,31/12/2016,31/12/2015,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016,01/01/2015 a 31/12/2015
0,1,Ativo Total,201.713,208.544,190.863,,,
1,1.01,Ativo Circulante,170.861,136.666,127.853,,,
2,1.01.01,Caixa e Equivalentes de Caixa,158.553,118.206,107.113,,,
3,1.01.01.01,Disponivel,258.0,214.0,256.0,,,
4,1.01.01.02,Aplicações financeiras renda fixa,158.295,117.992,106.85700000000001,,,
5,1.01.02,Aplicações Financeiras,,,,,,
6,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
7,1.01.02.01.01,Títulos para Negociação,,,,,,
8,1.01.02.01.02,Títulos Disponíveis para Venda,,,,,,
9,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
10,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,,,
11,1.01.03,Contas a Receber,5.617000000000001,5.749,6.273,,,
12,1.01.03.01,Clientes,5.598,4.781000000000001,5.152,,,
13,1.01.03.02,Outras Contas a Receber,19.0,968.0,1.121,,,
14,1.01.04,Estoques,4.4719999999999995,8.23,13.972000000000001,,,
15,1.01.05,Ativos Biológicos,,,,,,
16,1.01.06,Tributos a Recuperar,2.13,4.409,408.0,,,
17,1.01.06.01,Tributos Correntes a Recuperar,2.13,4.409,408.0,,,
18,1.01.06.01.01,Tributos Correntes a Recuperar,1.722,4.001,0.0,,,
19,1.01.06.01.02,Tributos Antecipados a Recuperar,408.0,408.0,408.0,,,
20,1.01.07,Despesas Antecipadas,89.0,72.0,87.0,,,
21,1.01.08,Outros Ativos Circulantes,,,,,,
22,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
23,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
24,1.01.08.03,Outros,,,,,,
25,1.02,Ativo Não Circulante,30.851999999999997,71.878,63.01,,,
26,1.02.01,Ativo Realizável a Longo Prazo,30.447,28.146,18.953,,,
27,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,26.254,22.925,13.015999999999998,,,
28,1.02.01.01.01,Títulos para Negociação,,,,,,
29,1.02.01.01.02,Títulos Disponíveis para Venda,,,,,,
30,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
31,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,,,
32,1.02.01.03,Contas a Receber,,,,,,
33,1.02.01.03.01,Clientes,,,,,,
34,1.02.01.03.02,Outras Contas a Receber,,,,,,
35,1.02.01.04,Estoques,,,,,,
36,1.02.01.05,Ativos Biológicos,,,,,,
37,1.02.01.06,Tributos Diferidos,3.7910000000000004,4.8180000000000005,5.474,,,
38,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,1.87,2.312,2.346,,,
39,1.02.01.06.02,ICMS a Recuperar,1.921,2.506,3.128,,,
40,1.02.01.07,Despesas Antecipadas,,,,,,
41,1.02.01.08,Créditos com Partes Relacionadas,,,,,,
42,1.02.01.08.01,Créditos com Coligadas,,,,,,
43,1.02.01.08.02,Créditos com Controladas,,,,,,
44,1.02.01.08.03,Créditos com Controladores,,,,,,
45,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,,,
46,1.02.01.09,Outros Ativos Não Circulantes,402.0,403.0,463.0,,,
47,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,,,
48,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,,,
49,1.02.01.09.03,Depósitos para recursos,402.0,403.0,463.0,,,
50,1.02.02,Investimentos,0.0,43.166000000000004,43.31,,,
51,1.02.02.01,Participações Societárias,0.0,43.166000000000004,43.31,,,
52,1.02.02.01.01,Participações em Coligadas,,,,,,
53,1.02.02.01.02,Participações em Controladas,0.0,43.166000000000004,43.31,,,
54,1.02.02.01.03,Participações em Controladas em Conjunto,,,,,,
55,1.02.02.01.04,Outras Participações Societárias,,,,,,
56,1.02.02.02,Propriedades para Investimento,,,,,,
57,1.02.03,Imobilizado,405.0,566.0,747.0,,,
58,1.02.03.01,Imobilizado em Operação,405.0,566.0,747.0,,,
59,1.02.03.02,Imobilizado Arrendado,,,,,,
60,1.02.03.03,Imobilizado em Andamento,,,,,,
61,1.02.04,Intangível,,,,,,
62,1.02.04.01,Intangíveis,,,,,,
63,1.02.04.01.01,Contrato de Concessão,,,,,,
64,1.02.05,Diferido,,,,,,
65,2,Passivo Total,201.713,208.544,190.863,,,
66,2.01,Passivo Circulante,4.676,7.931,4.393,,,
67,2.01.01,Obrigações Sociais e Trabalhistas,386.0,402.0,308.0,,,
68,2.01.01.01,Obrigações Sociais,129.0,152.0,102.0,,,
69,2.01.01.02,Obrigações Trabalhistas,257.0,250.0,206.0,,,
70,2.01.02,Fornecedores,1.3780000000000001,1.056,495.0,,,
71,2.01.02.01,Fornecedores Nacionais,1.3780000000000001,1.056,495.0,,,
72,2.01.02.02,Fornecedores Estrangeiros,,,,,,
73,2.01.03,Obrigações Fiscais,575.0,2.2840000000000003,689.0,,,
74,2.01.03.01,Obrigações Fiscais Federais,574.0,2.283,600.0,,,
75,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,0.0,1.841,289.0,,,
76,2.01.03.01.02,IPI,239.0,136.0,21.0,,,
