,Conta,Descrição,31/12/2015,31/12/2014,31/12/2013,01/01/2015 a 31/12/2015,01/01/2014 a 31/12/2014,01/01/2013 a 31/12/2013
0,1,Ativo Total,223.825,178.90400000000002,137.982,,,
1,1.01,Ativo Circulante,121.885,109.309,92.902,,,
2,1.01.01,Caixa e Equivalentes de Caixa,16.465999999999998,5.822,18.785,,,
3,1.01.02,Aplicações Financeiras,90.03399999999999,73.47,0.0,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,90.03399999999999,73.47,0.0,,,
5,1.01.02.01.01,Títulos para Negociação,90.03399999999999,73.47,0.0,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
8,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,,,
9,1.01.03,Contas a Receber,,,,,,
10,1.01.03.01,Clientes,,,,,,
11,1.01.03.02,Outras Contas a Receber,,,,,,
12,1.01.04,Estoques,,,,,,
13,1.01.05,Ativos Biológicos,,,,,,
14,1.01.06,Tributos a Recuperar,333.0,557.0,258.0,,,
15,1.01.06.01,Tributos Correntes a Recuperar,333.0,557.0,258.0,,,
16,1.01.07,Despesas Antecipadas,663.0,965.0,1.82,,,
17,1.01.08,Outros Ativos Circulantes,14.389000000000001,28.495,72.039,,,
18,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
19,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
20,1.01.08.03,Outros,14.389000000000001,28.495,72.039,,,
21,1.01.08.03.01,Depositos Bancários no Exterior,14.014000000000001,28.362,71.798,,,
22,1.01.08.03.02,Outros Ativos,375.0,133.0,241.0,,,
23,1.02,Ativo Não Circulante,101.94,69.595,45.08,,,
24,1.02.01,Ativo Realizável a Longo Prazo,3.228,1.354,664.0,,,
25,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,,,,,,
26,1.02.01.01.01,Títulos para Negociação,,,,,,
27,1.02.01.01.02,Títulos Disponíveis para Venda,,,,,,
28,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
29,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,,,
30,1.02.01.03,Contas a Receber,,,,,,
31,1.02.01.03.01,Clientes,,,,,,
32,1.02.01.03.02,Outras Contas a Receber,,,,,,
33,1.02.01.04,Estoques,,,,,,
34,1.02.01.05,Ativos Biológicos,,,,,,
35,1.02.01.06,Tributos Diferidos,,,,,,
