,Conta,Descrição,31/03/2017,31/03/2016,31/03/2015,01/04/2016 a 31/03/2017,01/04/2015 a 31/03/2016,01/04/2014 a 31/03/2015
0,1,Ativo Total,4.877.107,5.368.380,4.926.862,,,
1,1.01,Ativo Circulante,1.692.419,2.293.110,1.568.227,,,
2,1.01.01,Caixa e Equivalentes de Caixa,290.902,860.087,577.625,,,
3,1.01.02,Aplicações Financeiras,24.790,150.732,0,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,24.790,150.732,0,,,
5,1.01.02.01.01,Títulos para Negociação,,,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
8,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,,,
9,1.01.03,Contas a Receber,118.174,83.616,231.156,,,
10,1.01.03.01,Clientes,,,,,,
11,1.01.03.02,Outras Contas a Receber,,,,,,
12,1.01.04,Estoques,431.043,506.577,242.348,,,
13,1.01.05,Ativos Biológicos,530.540,556.819,381.330,,,
14,1.01.06,Tributos a Recuperar,141.261,72.177,101.532,,,
15,1.01.06.01,Tributos Correntes a Recuperar,,,,,,
16,1.01.07,Despesas Antecipadas,,,,,,
17,1.01.08,Outros Ativos Circulantes,155.709,63.102,34.236,,,
18,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
19,1.01.08.01.01,Outros Créditos,,,,,,
20,1.01.08.01.02,Ativos Mantidos para Venda,,,,,,
21,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
22,1.01.08.03,Outros,155.709,63.102,34.236,,,
23,1.01.08.03.01,Instrumentos financeiros derivativos,132.482,46.077,21.998,,,
24,1.01.08.03.02,Outros Créditos,23.227,17.025,12.238,,,
25,1.02,Ativo Não Circulante,3.184.688,3.075.270,3.358.635,,,
26,1.02.01,Ativo Realizável a Longo Prazo,302.741,293.632,449.976,,,
27,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,13.218,4.823,11.496,,,
28,1.02.01.01.01,Títulos para Negociação,,,,,,
29,1.02.01.01.02,Títulos Disponíveis para Venda,,,,,,
30,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
31,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,,,
32,1.02.01.03,Contas a Receber,,,,,,
33,1.02.01.03.01,Clientes,,,,,,
34,1.02.01.03.02,Outras Contas a Receber,,,,,,
35,1.02.01.04,Estoques,,,,,,
36,1.02.01.05,Ativos Biológicos,,,,,,
37,1.02.01.06,Tributos Diferidos,0,1.141,155.782,,,
38,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,,,,,,
39,1.02.01.07,Despesas Antecipadas,,,,,,
40,1.02.01.08,Créditos com Partes Relacionadas,,,,,,
41,1.02.01.08.01,Créditos com Coligadas,,,,,,
42,1.02.01.08.02,Créditos com Controladas,,,,,,
43,1.02.01.08.03,Créditos com Controladores,,,,,,
44,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,,,
45,1.02.01.09,Outros Ativos Não Circulantes,289.523,287.668,282.698,,,
46,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,,,
47,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,,,
48,1.02.01.09.03,Adiantamentos a Fornecedores,9.946,8.887,8.409,,,
49,1.02.01.09.04,Depósitos Judiciais,168.519,126.252,66.148,,,
50,1.02.01.09.05,Impostos a Recuperar,101.783,140.577,67.523,,,
51,1.02.01.09.06,Outros Créditos,9.275,11.952,140.618,,,
52,1.02.01.09.07,Instrumentos financeiros derivativos,,,,,,
53,1.02.02,Investimentos,493.072,428.437,420.867,,,
54,1.02.02.01,Participações Societárias,,,,,,
55,1.02.02.01.01,Participações em Coligadas,,,,,,
56,1.02.02.01.02,Participações em Controladas,,,,,,
57,1.02.02.01.03,Participações em Controladas em Conjunto,,,,,,
58,1.02.02.01.04,Outras Participações Societárias,,,,,,
59,1.02.02.02,Propriedades para Investimento,,,,,,
60,1.02.03,Imobilizado,2.372.269,2.336.375,2.468.484,,,
61,1.02.03.01,Imobilizado em Operação,2.356.876,2.307.120,2.454.174,,,
62,1.02.03.02,Imobilizado Arrendado,,,,,,
63,1.02.03.03,Imobilizado em Andamento,15.393,29.255,14.310,,,
64,1.02.04,Intangível,16.606,16.826,19.308,,,
65,1.02.04.01,Intangíveis,,,,,,
66,1.02.04.01.01,Contrato de Concessão,,,,,,
67,1.02.05,Diferido,,,,,,
68,2,Passivo Total,4.877.107,5.368.380,4.926.862,,,
69,2.01,Passivo Circulante,1.746.482,2.090.505,2.004.549,,,
70,2.01.01,Obrigações Sociais e Trabalhistas,61.050,71.200,66.829,,,
71,2.01.01.01,Obrigações Sociais,,,,,,
72,2.01.01.02,Obrigações Trabalhistas,,,,,,
73,2.01.02,Fornecedores,320.457,225.783,127.130,,,
74,2.01.02.01,Fornecedores Nacionais,,,,,,
75,2.01.02.02,Fornecedores Estrangeiros,,,,,,
76,2.01.03,Obrigações Fiscais,20.396,14.703,39.759,,,
77,2.01.03.01,Obrigações Fiscais Federais,13.273,12.734,37.087,,,
78,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,,,,,,
79,2.01.03.02,Obrigações Fiscais Estaduais,7.123,1.969,2.672,,,
80,2.01.03.03,Obrigações Fiscais Municipais,,,,,,
81,2.01.04,Empréstimos e Financiamentos,760.635,872.813,935.339,,,
82,2.01.04.01,Empréstimos e Financiamentos,,,,,,
83,2.01.04.01.01,Em Moeda Nacional,,,,,,
