,Conta,Descrição,31/03/2018,31/03/2017,01/04/2017 a 31/03/2018,01/04/2016 a 31/03/2017
0,1,Ativo Total,5.598.412,4.877.107,,
1,1.01,Ativo Circulante,1.680.651,1.692.419,,
2,1.01.01,Caixa e Equivalentes de Caixa,520.322,290.902,,
3,1.01.02,Aplicações Financeiras,126.374,24.790,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,126.374,24.790,,
5,1.01.02.01.01,Títulos para Negociação,,,,
6,1.01.02.01.02,Títulos Disponíveis para Venda,,,,
7,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
8,1.01.02.02.01,Títulos Mantidos até o Vencimento,,,,
9,1.01.03,Contas a Receber,282.271,118.174,,
10,1.01.03.01,Clientes,,,,
11,1.01.03.02,Outras Contas a Receber,,,,
12,1.01.04,Estoques,249.407,431.043,,
13,1.01.05,Ativos Biológicos,291.845,530.540,,
14,1.01.06,Tributos a Recuperar,157.863,141.261,,
15,1.01.06.01,Tributos Correntes a Recuperar,,,,
16,1.01.07,Despesas Antecipadas,,,,
17,1.01.08,Outros Ativos Circulantes,52.569,155.709,,
18,1.01.08.01,Ativos Não-Correntes a Venda,,,,
19,1.01.08.01.01,Outros Créditos,,,,
20,1.01.08.01.02,Ativos Mantidos para Venda,,,,
21,1.01.08.02,Ativos de Operações Descontinuadas,,,,
22,1.01.08.03,Outros,52.569,155.709,,
23,1.01.08.03.01,Instrumentos financeiros derivativos,42.604,132.482,,
24,1.01.08.03.02,Outros Créditos,9.965,23.227,,
25,1.02,Ativo Não Circulante,3.917.761,3.184.688,,
26,1.02.01,Ativo Realizável a Longo Prazo,415.468,302.741,,
27,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,3.522,13.218,,
28,1.02.01.01.01,Títulos para Negociação,,,,
29,1.02.01.01.02,Títulos Disponíveis para Venda,,,,
30,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,
31,1.02.01.02.01,Títulos Mantidos até o Vencimento,,,,
32,1.02.01.03,Contas a Receber,,,,
33,1.02.01.03.01,Clientes,,,,
34,1.02.01.03.02,Outras Contas a Receber,,,,
35,1.02.01.04,Estoques,,,,
36,1.02.01.05,Ativos Biológicos,,,,
37,1.02.01.06,Tributos Diferidos,144.396,0,,
38,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,,,,
39,1.02.01.07,Despesas Antecipadas,,,,
40,1.02.01.08,Créditos com Partes Relacionadas,,,,
41,1.02.01.08.01,Créditos com Coligadas,,,,
42,1.02.01.08.02,Créditos com Controladas,,,,
43,1.02.01.08.03,Créditos com Controladores,,,,
44,1.02.01.08.04,Créditos com Outras Partes Relacionadas,,,,
45,1.02.01.09,Outros Ativos Não Circulantes,267.550,289.523,,
46,1.02.01.09.01,Ativos Não-Correntes a Venda,,,,
47,1.02.01.09.02,Ativos de Operações Descontinuadas,,,,
48,1.02.01.09.03,Adiantamentos a Fornecedores,5.976,9.946,,
49,1.02.01.09.04,Depósitos Judiciais,193.405,168.519,,
50,1.02.01.09.05,Impostos a Recuperar,61.122,101.783,,
51,1.02.01.09.06,Outros Créditos,7.047,9.275,,
52,1.02.01.09.07,Instrumentos financeiros derivativos,,,,
53,1.02.02,Investimentos,1.395.665,493.072,,
54,1.02.02.01,Participações Societárias,,,,
55,1.02.02.01.01,Participações em Coligadas,,,,
56,1.02.02.01.02,Participações em Controladas,,,,
57,1.02.02.01.03,Participações em Controladas em Conjunto,,,,
58,1.02.02.01.04,Outras Participações Societárias,,,,
59,1.02.02.02,Propriedades para Investimento,,,,
