,Conta,Descrição,31/12/2019,31/12/2018,31/12/2017,01/01/2019 a 31/12/2019,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017
0,1,Ativo Total,3.527.999,2.500.794,2.406.242,,,
1,1.01,Ativo Circulante,862.317,796.658,1.337.785,,,
2,1.01.01,Caixa e Equivalentes de Caixa,325.276,166.962,102.235,,,
3,1.01.02,Aplicações Financeiras,278.755,402.276,1.076.384,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,278.755,402.276,1.076.384,,,
5,1.01.02.01.01,Títulos para Negociação,,,,,,
6,1.01.02.01.02,Títulos Designados a Valor Justo,,,,,,
7,1.01.02.01.03,Títulos e valores mobiliários,265.622,399.790,1.073.900,,,
8,1.01.02.01.04,Títulos e valores mobiliários vinculados,13.133,2.486,2.484,,,
9,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,,,,,,
10,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
11,1.01.03,Contas a Receber,60.361,59.528,60.958,,,
12,1.01.03.01,Clientes,,,,,,
13,1.01.03.02,Outras Contas a Receber,,,,,,
14,1.01.04,Estoques,99.041,81.276,39.743,,,
15,1.01.05,Ativos Biológicos,,,,,,
16,1.01.06,Tributos a Recuperar,27.558,35.546,22.448,,,
17,1.01.06.01,Tributos Correntes a Recuperar,,,,,,
18,1.01.07,Despesas Antecipadas,,,,,,
19,1.01.08,Outros Ativos Circulantes,71.326,51.070,36.017,,,
20,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
21,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
22,1.01.08.03,Outros,71.326,51.070,36.017,,,
23,1.01.08.03.01,Instrumentos financeiros derivativos,0,90,127,,,
24,1.01.08.03.02,Pagamentos Antecipados,46.115,26.618,24.762,,,
25,1.01.08.03.03,Partes relacionadas,0,3.753,2.162,,,
26,1.01.08.03.04,Demais contas a receber,25.211,20.609,8.966,,,
27,1.02,Ativo Não Circulante,2.665.682,1.704.136,1.068.457,,,
28,1.02.01,Ativo Realizável a Longo Prazo,112.384,62.855,61.322,,,
29,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,1.366,12.361,13.285,,,
30,1.02.01.01.01,Títulos Designados a Valor Justo,1.366,12.361,13.285,,,
31,1.02.01.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,,,,,,
32,1.02.01.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
33,1.02.01.04,Contas a Receber,,,,,,
34,1.02.01.04.01,Clientes,,,,,,
35,1.02.01.04.02,Outras Contas a Receber,,,,,,
36,1.02.01.05,Estoques,,,,,,
37,1.02.01.06,Ativos Biológicos,,,,,,
