,Conta,Descrição,31/12/2019,31/12/2018,31/12/2017,01/01/2019 a 31/12/2019,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017
0,1,Ativo Total,436.11199999999997,372.905,360.175,,,
1,1.01,Ativo Circulante,63.696000000000005,57.836000000000006,59.928000000000004,,,
2,1.01.01,Caixa e Equivalentes de Caixa,2.502,43.318000000000005,52.161,,,
3,1.01.02,Aplicações Financeiras,47.918,0.0,0.0,,,
4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,47.918,0.0,0.0,,,
5,1.01.02.01.01,Títulos para Negociação,,,,,,
6,1.01.02.01.02,Títulos Designados a Valor Justo,,,,,,
7,1.01.02.01.03,Titulos e Valores Mobiliários,47.918,0.0,0.0,,,
8,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,,,,,,
9,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
10,1.01.03,Contas a Receber,1.33,1.944,39.0,,,
11,1.01.03.01,Clientes,1.33,1.944,39.0,,,
12,1.01.03.02,Outras Contas a Receber,,,,,,
13,1.01.04,Estoques,,,,,,
14,1.01.05,Ativos Biológicos,,,,,,
15,1.01.06,Tributos a Recuperar,6.257000000000001,5.997000000000001,3.717,,,
16,1.01.06.01,Tributos Correntes a Recuperar,6.257000000000001,5.997000000000001,3.717,,,
17,1.01.07,Despesas Antecipadas,785.0,652.0,786.0,,,
18,1.01.08,Outros Ativos Circulantes,4.904,5.925,3.225,,,
19,1.01.08.01,Ativos Não-Correntes a Venda,,,,,,
20,1.01.08.02,Ativos de Operações Descontinuadas,,,,,,
21,1.01.08.03,Outros,4.904,5.925,3.225,,,
22,1.01.08.03.01,Outros Créditos,1.355,965.0,1.226,,,
23,1.01.08.03.02,Adiantamentos a Fornecedor,644.0,30.0,1.0,,,
24,1.01.08.03.03,Operações com Opção,,,,,,
25,1.01.08.03.04,Dividendos a Receber,2.905,4.93,1.9980000000000002,,,
26,1.02,Ativo Não Circulante,372.416,315.069,300.247,,,
27,1.02.01,Ativo Realizável a Longo Prazo,149.922,96.887,57.522,,,
28,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,,,,,,
29,1.02.01.01.01,Títulos Designados a Valor Justo,,,,,,
30,1.02.01.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,,,,,,
31,1.02.01.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,,,,,,
32,1.02.01.04,Contas a Receber,,,,,,
33,1.02.01.04.01,Clientes,,,,,,
34,1.02.01.04.02,Outras Contas a Receber,,,,,,
35,1.02.01.05,Estoques,,,,,,
36,1.02.01.06,Ativos Biológicos,,,,,,
37,1.02.01.07,Tributos Diferidos,,,,,,
38,1.02.01.07.01,Imposto de Renda e Contribuição Social Diferidos,,,,,,
39,1.02.01.08,Despesas Antecipadas,,,,,,
40,1.02.01.09,Créditos com Partes Relacionadas,106.795,81.23899999999999,35.733000000000004,,,
41,1.02.01.09.01,Créditos com Coligadas,,,,,,
42,1.02.01.09.02,Créditos com Controladas,106.795,81.23899999999999,35.733000000000004,,,
43,1.02.01.09.03,Créditos com Controladores,,,,,,
44,1.02.01.09.04,Créditos com Outras Partes Relacionadas,,,,,,
45,1.02.01.10,Outros Ativos Não Circulantes,43.126999999999995,15.648,21.789,,,
46,1.02.01.10.01,Ativos Não-Correntes a Venda,,,,,,
47,1.02.01.10.02,Ativos de Operações Descontinuadas,,,,,,
48,1.02.01.10.03,Outros Créditos,8.093,11.743,11.51,,,
49,1.02.01.10.04,Operações com Opção,,,,,,
50,1.02.01.10.05,Tributos a Recuperar,286.0,3.905,10.279000000000002,,,
51,1.02.01.10.06,Títulos e Valores Mobiliários,34.748000000000005,0.0,0.0,,,
52,1.02.02,Investimentos,209.826,206.99099999999999,228.895,,,
53,1.02.02.01,Participações Societárias,209.826,206.99099999999999,228.895,,,
54,1.02.02.01.01,Participações em Coligadas,,,,,,
55,1.02.02.01.02,Participações em Controladas,209.826,206.99099999999999,228.895,,,
56,1.02.02.01.03,Participações em Controladas em Conjunto,,,,,,
57,1.02.02.01.04,Outros Investimentos,,,,,,
58,1.02.02.02,Propriedades para Investimento,,,,,,
59,1.02.03,Imobilizado,3.3939999999999997,2.523,3.662,,,
60,1.02.03.01,Imobilizado em Operação,991.0,2.523,3.662,,,
61,1.02.03.02,Direito de Uso em Arrendamento,2.403,0.0,0.0,,,
62,1.02.03.03,Imobilizado em Andamento,,,,,,
63,1.02.04,Intangível,9.274,8.668,10.168,,,
64,1.02.04.01,Intangíveis,9.274,8.668,10.168,,,
65,1.02.04.01.01,Contrato de Concessão,,,,,,
66,1.02.04.01.02,Vida útil indefinida,3.0189999999999997,3.0189999999999997,3.0189999999999997,,,
67,1.02.04.01.03,Vida útil definida,6.255,5.649,7.149,,,
68,2,Passivo Total,436.11199999999997,372.905,360.175,,,
69,2.01,Passivo Circulante,8.246,7.029,6.225,,,
70,2.01.01,Obrigações Sociais e Trabalhistas,,,,,,
71,2.01.01.01,Obrigações Sociais,,,,,,
72,2.01.01.02,Obrigações Trabalhistas,,,,,,
73,2.01.02,Fornecedores,2.745,2.773,865.0,,,
74,2.01.02.01,Fornecedores Nacionais,2.745,2.773,865.0,,,
75,2.01.02.02,Fornecedores Estrangeiros,,,,,,
76,2.01.03,Obrigações Fiscais,1.639,1.3,329.0,,,
77,2.01.03.01,Obrigações Fiscais Federais,1.639,1.3,329.0,,,
78,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,,,,,,
79,2.01.03.01.02,"Impostos, Taxas e Contribuições",1.639,1.3,329.0,,,
80,2.01.03.02,Obrigações Fiscais Estaduais,,,,,,
81,2.01.03.03,Obrigações Fiscais Municipais,,,,,,
82,2.01.04,Empréstimos e Financiamentos,,,,,,
83,2.01.04.01,Empréstimos e Financiamentos,,,,,,
84,2.01.04.01.01,Em Moeda Nacional,,,,,,
85,2.01.04.01.02,Em Moeda Estrangeira,,,,,,
86,2.01.04.02,Debêntures,,,,,,
87,2.01.04.03,Financiamento por Arrendamento,,,,,,
88,2.01.05,Outras Obrigações,1.219,1.1440000000000001,3.411,,,
89,2.01.05.01,Passivos com Partes Relacionadas,,,,,,
90,2.01.05.01.01,Débitos com Coligadas,,,,,,
91,2.01.05.01.02,Débitos com Controladas,,,,,,
92,2.01.05.01.03,Débitos com Controladores,,,,,,
93,2.01.05.01.04,Débitos com Outras Partes Relacionadas,,,,,,
94,2.01.05.02,Outros,1.219,1.1440000000000001,3.411,,,
95,2.01.05.02.01,Dividendos e JCP a Pagar,300.0,0.0,0.0,,,
96,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,,,,,,
97,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,,,,,,
98,2.01.05.02.04,Contas a Pagar - Aquisição de Empresas,,,,,,
99,2.01.05.02.05,Outras Contas a Pagar,180.0,525.0,2.046,,,
100,2.01.05.02.06,Adiantamento de Clientes,,,,,,
101,2.01.05.02.07,Operações com Opção,,,,,,
102,2.01.05.02.08,Provisão para riscos processuais,318.0,572.0,245.0,,,
103,2.01.05.02.09,Parcelamentos Judiciais,45.0,47.0,1.12,,,
104,2.01.05.02.10,Arrendamento Custo Amortizado,376.0,0.0,0.0,,,
105,2.01.06,Provisões,2.6430000000000002,1.8119999999999998,1.62,,,
106,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,2.6430000000000002,1.8119999999999998,1.62,,,
107,2.01.06.01.01,Provisões Fiscais,,,,,,
108,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,2.6430000000000002,1.8119999999999998,1.62,,,
109,2.01.06.01.03,Provisões para Benefícios a Empregados,,,,,,
110,2.01.06.01.04,Provisões Cíveis,,,,,,
111,2.01.06.02,Outras Provisões,,,,,,
112,2.01.06.02.01,Provisões para Garantias,,,,,,
113,2.01.06.02.02,Provisões para Reestruturação,,,,,,
114,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,,,,,,
115,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,,,
116,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,,,,,,
117,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,,,,,,
118,2.02,Passivo Não Circulante,178.793,140.874,102.834,,,
119,2.02.01,Empréstimos e Financiamentos,,,,,,
120,2.02.01.01,Empréstimos e Financiamentos,,,,,,
121,2.02.01.01.01,Em Moeda Nacional,,,,,,
122,2.02.01.01.02,Em Moeda Estrangeira,,,,,,
123,2.02.01.02,Debêntures,,,,,,
124,2.02.01.03,Financiamento por Arrendamento,,,,,,
125,2.02.02,Outras Obrigações,2.334,0.0,0.0,,,
126,2.02.02.01,Passivos com Partes Relacionadas,,,,,,
127,2.02.02.01.01,Débitos com Coligadas,,,,,,
128,2.02.02.01.02,Débitos com Controladas,,,,,,
129,2.02.02.01.03,Débitos com Controladores,,,,,,
130,2.02.02.01.04,Débitos com Outras Partes Relacionadas,,,,,,
131,2.02.02.02,Outros,2.334,0.0,0.0,,,
132,2.02.02.02.01,Obrigações por Pagamentos Baseados em Ações,,,,,,
133,2.02.02.02.02,Adiantamento para Futuro Aumento de Capital,,,,,,
134,2.02.02.02.03,Arrendamento Custo Amortizado,2.334,0.0,0.0,,,
135,2.02.02.02.04,Contas a Pagar - Aquisição de Empresas,,,,,,
136,2.02.03,Tributos Diferidos,,,,,,
137,2.02.03.01,Imposto de Renda e Contribuição Social Diferidos,,,,,,
138,2.02.04,Provisões,176.459,140.874,102.834,,,
139,2.02.04.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,645.0,382.0,422.0,,,
140,2.02.04.01.01,Provisões Fiscais,,,,,,
141,2.02.04.01.02,Provisões Previdenciárias e Trabalhistas,,,,,,
142,2.02.04.01.03,Provisões para Benefícios a Empregados,,,,,,
143,2.02.04.01.04,Provisões Cíveis,,,,,,
144,2.02.04.01.05,Provisão para riscos processuais,645.0,382.0,422.0,,,
145,2.02.04.01.06,Parcelamentos Judiciais,,,,,,
146,2.02.04.02,Outras Provisões,175.81400000000002,140.49200000000002,102.412,,,
147,2.02.04.02.01,Provisões para Garantias,,,,,,
148,2.02.04.02.02,Provisões para Reestruturação,,,,,,
149,2.02.04.02.03,Provisões para Passivos Ambientais e de Desativação,,,,,,
150,2.02.04.02.04,Provisão para Perdas em Investimentos,169.86700000000002,136.781,98.88600000000001,,,
151,2.02.04.02.05,Outras Contas a Pagar,5.831,3.549,3.5260000000000002,,,
152,2.02.04.02.06,Parcelamentos Judiciais,116.0,162.0,0.0,,,
153,2.02.04.02.07,Operações com Opção,,,,,,
154,2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,,,
155,2.02.05.01,Passivos sobre Ativos Não-Correntes a Venda,,,,,,
156,2.02.05.02,Passivos sobre Ativos de Operações Descontinuadas,,,,,,
157,2.02.06,Lucros e Receitas a Apropriar,,,,,,
158,2.02.06.01,Lucros a Apropriar,,,,,,
159,2.02.06.02,Receitas a Apropriar,,,,,,
160,2.02.06.03,Subvenções de Investimento a Apropriar,,,,,,
161,2.03,Patrimônio Líquido,249.07299999999998,225.002,251.11599999999999,,,
162,2.03.01,Capital Social Realizado,640.6709999999999,640.6709999999999,590.437,,,
163,2.03.02,Reservas de Capital,133.38,20.173,19.816,,,
164,2.03.02.01,Ágio na Emissão de Ações,,,,,,
165,2.03.02.02,Reserva Especial de Ágio na Incorporação,,,,,,
166,2.03.02.03,Alienação de Bônus de Subscrição,,,,,,
167,2.03.02.04,Opções Outorgadas,591.0,412.0,55.0,,,
168,2.03.02.05,Ações em Tesouraria,-23.717,-23.717,-23.717,,,
169,2.03.02.06,Adiantamento para Futuro Aumento de Capital,,,,,,
170,2.03.02.07,Reserva de Capital,43.478,43.478,43.478,,,
171,2.03.02.08,Debêntures,113.02799999999999,0.0,0.0,,,
172,2.03.03,Reservas de Reavaliação,,,,,,
173,2.03.04,Reservas de Lucros,-79.536,-79.528,-79.528,,,
174,2.03.04.01,Reserva Legal,,,,,,
175,2.03.04.02,Reserva Estatutária,,,,,,
